"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 24900.898923787 43704 431.419 1026.988 "2019/9/25" "10:52:51.8989" "16:06:12.0000" 18803.1011 "TransitB" NA "" 2019-09-25
2 "Spectrogram 1" 1 111198.711938 130148.391028835 437.733 1010.153 "2019/9/26" "10:51:04.7119" "16:06:52.3910" 18949.6791 "TransitB" NA "" 2019-09-25
3 "Spectrogram 1" 1 197610.233732233 216163.453565185 404.061 1035.406 "2019/9/27" "10:51:11.2337" "16:00:23.4536" 18553.2198 "TransitB" NA "" 2019-09-25
4 "Spectrogram 1" 1 284153.164859089 303464.776988234 412.479 993.317 "2019/9/28" "10:53:29.1649" "16:15:20.7770" 19311.6121 "TransitB" NA "" 2019-09-25
5 "Spectrogram 1" 1 333332.028442659 333457.562224718 544.643 1136.905 "2019/9/29" "0:33:05.0284" "0:35:11.5622" 125.5338 "TransitB" NA "very faint" 2019-09-25
6 "Spectrogram 1" 1 370371 390426 387.225 993.317 "2019/9/29" "10:50:23.0000" "16:24:36.0000" 20055 "TransitB" NA "" 2019-09-25
7 "Spectrogram 1" 1 454460.897585758 455199.142688561 420.897 841.794 "2019/9/30" "10:11:48.8976" "10:24:06.1427" 738.2451 "TransitB" NA "very faint" 2019-09-25
8 "Spectrogram 1" 1 456891.441518234 476062.908782328 420.897 1001.735 "2019/9/30" "10:52:18.4415" "16:11:49.9088" 19171.4673 "TransitB" NA "" 2019-09-25
9 "Spectrogram 1" 1 522815.624195648 525095.636938203 0 21984 "2019/10/1" "5:10:59.6242" "5:48:59.6369" 2280.0127 "CPA+Maneuver" NA "CPA ~05:27:03" 2019-09-25
10 "Spectrogram 1" 1 542966 562407 452.381 1023.81 "2019/10/1" "10:46:48.0000" "16:10:48.0000" 19441 "TransitB" NA "" 2019-09-25
11 "Spectrogram 1" 1 627805 629714 557 3569 "2019/10/2" "10:20:43.0000" "10:52:32.0000" 1909 "TransitA" NA "" 2019-09-25
12 "Spectrogram 1" 1 629826.458588256 648439.401270714 428.571 1000 "2019/10/2" "10:54:24.4586" "16:04:36.4013" 18612.9427 "TransitB" NA "" 2019-09-25
13 "Spectrogram 1" 1 716144.261140101 734368.350302574 452.381 952.381 "2019/10/3" "10:52:57.2611" "15:56:40.3503" 18224.0892 "TransitB" NA "" 2019-09-25
14 "Spectrogram 1" 1 754537.490437354 756050.726106927 511.905 702.381 "2019/10/3" "21:32:49.4904" "21:58:01.7261" 1513.2357 "TransitB" NA "very faint" 2019-09-25
15 "Spectrogram 1" 1 802510.566873938 819830 17.857 988.095 "2019/10/4" "10:52:18.5669" "15:40:57.0000" 17319.4331 "TransitB" NA "" 2019-09-25
16 "Spectrogram 1" 1 888967 905402 398.81 1005.952 "2019/10/5" "10:53:10.0000" "15:27:05.0000" 16435 "TransitB" NA "" 2019-09-25
17 "Spectrogram 1" 1 974946.210419281 990164.012596125 23.81 945 "2019/10/6" "10:46:04.2104" "14:59:42.0126" 15217.8022 "TransitB" NA "aliens at 12:59:52" 2019-09-25
18 "Spectrogram 1" 1 1054694.84657623 1056446.0277796 117.851 9524 "2019/10/7" "8:55:10.8466" "9:24:21.0278" 1751.1812 "TransitA" NA "" 2019-09-25
19 "Spectrogram 1" 1 1061473.77750572 1076492.46495849 412.479 968.063 "2019/10/7" "10:48:07.7775" "14:58:26.4650" 15018.6875 "TransitB" NA "" 2019-09-25
20 "Spectrogram 1" 1 1098542.7515837 1101233.05094106 71 9125.045 "2019/10/7" "21:05:55.7516" "21:50:45.0509" 2690.2994 "TransitA" NA "" 2019-09-25
21 "Spectrogram 1" 1 1147946.08279849 1164624.04457499 353.553 1026.988 "2019/10/8" "10:49:15.0828" "15:27:13.0446" 16677.9618 "TransitB" NA "" 2019-09-25
22 "Spectrogram 1" 1 1320989.90908039 1332908.02271153 412.479 976.481 "2019/10/10" "10:53:10.9091" "14:11:48.0227" 11918.1136 "TransitB" NA "" 2019-09-25
23 "Spectrogram 1" 1 1407597.20452992 1418852.06817915 425.106 1026.988 "2019/10/11" "10:56:33.2045" "14:04:07.0682" 11254.8636 "TransitB" NA "" 2019-09-25
24 "Spectrogram 1" 1 1494059.6590759 1506063.09089126 425.106 980.69 "2019/10/12" "10:57:30.6591" "14:17:33.0909" 12003.4318 "TransitB" NA "" 2019-09-25
25 "Spectrogram 1" 1 1580322.24625796 1593880.38635989 429.315 993.317 "2019/10/13" "10:55:08.2463" "14:41:06.3864" 13558.1401 "TransitB" NA "" 2019-09-25
26 "Spectrogram 1" 1 1610907.09088836 1611677.93180233 584.821 2916.667 "2019/10/13" "19:24:51.0909" "19:37:42.9318" 770.8409 "TransitA" NA "" 2019-09-25
27 "Spectrogram 1" 1 1666631.4545263 1680283.47727198 404.061 959.645 "2019/10/14" "10:53:32.4545" "14:41:04.4773" 13652.0227 "TransitB" NA "" 2019-09-25
28 "Spectrogram 1" 1 1752994.29067176 1767241.74999378 387.225 976.481 "2019/10/15" "10:52:51.2907" "14:50:18.7500" 14247.4593 "TransitB" NA "" 2019-09-25
29 "Spectrogram 1" 1 1839343.45452515 1854331.97725259 387.225 951.227 "2019/10/16" "10:51:55.4545" "15:01:43.9773" 14988.5227 "TransitB" NA "" 2019-09-25
30 "Spectrogram 1" 1 1886243.47254918 1887469.86127955 100 10095.238 "2019/10/16" "23:53:32.4725" "0:13:59.8613" 1226.3887 "TransitA" NA "" 2019-09-25
31 "Spectrogram 1" 1 1903387.63509643 1904945.06817857 30 21280.547 "2019/10/17" "4:39:15.6351" "5:05:12.0682" 1557.4331 "CPA" NA "looked like single vessel in spectrogram but used LTSA to find start and end times of 3 passages" 2019-09-25
32 "Spectrogram 1" 1 1904884.38635757 1905515.24999349 30 21347.89 "2019/10/17" "5:04:12.3864" "5:14:43.2500" 630.8636 "TransitA" NA "looked like single vessel in spectrogram but used LTSA to find start and end times of 3 passages" 2019-09-25
33 "Spectrogram 1" 1 1905092.49999219 1909068.11363346 59.524 6700.679 "2019/10/17" "5:07:40.5000" "6:13:56.1136" 3975.6136 "TransitA" NA "looked like single vessel in spectrogram but used LTSA to find start and end times of 3 passages" 2019-09-25
34 "Spectrogram 1" 1 1912243.0227231 1915801.20148478 71.429 16532.83 "2019/10/17" "7:06:50.0227" "8:06:09.2015" 3558.1788 "TransitA" NA "" 2019-09-25
35 "Spectrogram 1" 1 1925532.6511384 1942849.86363071 53.571 946.429 "2019/10/17" "10:48:19.6511" "15:36:57.8636" 17317.2125 "TransitB" NA "" 2019-09-25
36 "Spectrogram 1" 1 1962740.97726301 1965312.31817264 245.536 4178.571 "2019/10/17" "21:08:26.9773" "21:51:18.3182" 2571.3409 "TransitA" NA "" 2019-09-25
37 "Spectrogram 1" 1 1994304.40908415 1996153.38635757 172.568 6976 "2019/10/18" "5:54:28.4091" "6:25:17.3864" 1848.9773 "TransitA" NA "" 2019-09-25
38 "Spectrogram 1" 1 2012225.43181593 2042841.84090413 53.254 951.227 "2019/10/18" "10:53:07.4318" "19:23:22.8409" 30616.4091 "TransitB" NA "" 2019-09-25
39 "Spectrogram 1" 1 2098639.52272108 2116844.65224083 420.897 968.063 "2019/10/19" "10:53:17.5227" "15:56:41.6522" 18205.1295 "TransitB" NA "" 2019-09-25
40 "Spectrogram 1" 1 2185034.15908429 2203610.27192088 408.27 951.227 "2019/10/20" "10:53:07.1591" "16:02:42.2719" 18576.1128 "TransitB" NA "" 2019-09-25
41 "Spectrogram 1" 1 2271502.6553259 2289027.22726171 412.479 959.645 "2019/10/21" "10:54:11.6553" "15:46:16.2273" 17524.5719 "TransitB" NA "" 2019-09-25
