"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes","SiteID"
"1",2022-01-12,0,0,NA,0,NA,"GEO"
"2",2022-01-12,1,0,NA,0,NA,"GEO"
"3",2022-01-12,2,2,0,2,"; ; ; ","GEO"
"4",2022-01-12,3,1,0,2,"LTSA; LTSA; LTSA","GEO"
"5",2022-01-12,4,0,0,1,NA,"GEO"
"6",2022-01-12,5,1,0,0,"LTSA","GEO"
"7",2022-01-12,6,1,0,1,"LTSA; LTSA","GEO"
"8",2022-01-12,7,0,NA,0,NA,"GEO"
"9",2022-01-12,8,0,NA,0,NA,"GEO"
"10",2022-01-12,9,0,NA,0,NA,"GEO"
"11",2022-01-12,10,0,NA,0,NA,"GEO"
"12",2022-01-12,11,0,NA,0,NA,"GEO"
"13",2022-01-12,12,0,NA,0,NA,"GEO"
"14",2022-01-12,13,0,NA,0,NA,"GEO"
"15",2022-01-12,14,0,NA,0,NA,"GEO"
"16",2022-01-12,15,0,NA,0,NA,"GEO"
"17",2022-01-12,16,0,NA,0,NA,"GEO"
"18",2022-01-12,17,0,NA,0,NA,"GEO"
"19",2022-01-12,18,0,NA,0,NA,"GEO"
"20",2022-01-12,19,0,NA,0,NA,"GEO"
"21",2022-01-12,20,0,NA,0,NA,"GEO"
"22",2022-01-12,21,0,NA,0,NA,"GEO"
"23",2022-01-12,22,0,NA,0,NA,"GEO"
"24",2022-01-12,23,0,NA,0,NA,"GEO"
"25",2022-01-13,0,0,NA,0,NA,"GEO"
"26",2022-01-13,1,2,0,0,"; LTSA","GEO"
"27",2022-01-13,2,0,NA,0,NA,"GEO"
"28",2022-01-13,3,0,NA,0,NA,"GEO"
"29",2022-01-13,4,0,NA,0,NA,"GEO"
"30",2022-01-13,5,0,NA,0,NA,"GEO"
"31",2022-01-13,6,0,NA,0,NA,"GEO"
"32",2022-01-13,7,0,NA,0,NA,"GEO"
"33",2022-01-13,8,0,NA,0,NA,"GEO"
"34",2022-01-13,9,0,NA,0,NA,"GEO"
"35",2022-01-13,10,0,NA,0,NA,"GEO"
"36",2022-01-13,11,0,NA,0,NA,"GEO"
"37",2022-01-13,12,0,NA,0,NA,"GEO"
"38",2022-01-13,13,0,NA,0,NA,"GEO"
"39",2022-01-13,14,0,NA,0,NA,"GEO"
"40",2022-01-13,15,0,NA,0,NA,"GEO"
"41",2022-01-13,16,0,NA,0,NA,"GEO"
"42",2022-01-13,17,0,NA,0,NA,"GEO"
"43",2022-01-13,18,0,NA,0,NA,"GEO"
"44",2022-01-13,19,0,NA,0,NA,"GEO"
"45",2022-01-13,20,1,0,1,"; LTSA","GEO"
"46",2022-01-13,21,1,0,1,NA,"GEO"
"47",2022-01-13,22,1,0,1,"LTSA; LTSA","GEO"
