"","Begin_Date","Begin_Hour","Maneuver","Transit","Notes","SiteID"
"1",2018-08-10,0,0,0,NA,"EP"
"2",2018-08-10,1,0,0,NA,"EP"
"3",2018-08-10,2,0,0,NA,"EP"
"4",2018-08-10,3,0,0,NA,"EP"
"5",2018-08-10,4,0,0,NA,"EP"
"6",2018-08-10,5,0,0,NA,"EP"
"7",2018-08-10,6,0,0,NA,"EP"
"8",2018-08-10,7,0,0,NA,"EP"
"9",2018-08-10,8,1,0,"on/off","EP"
"10",2018-08-10,9,0,2,NA,"EP"
"11",2018-08-10,10,0,4,"; ; ; ","EP"
"12",2018-08-10,11,1,2,"; ; ","EP"
"13",2018-08-10,12,1,2,"; ; on/off","EP"
"14",2018-08-10,13,0,0,NA,"EP"
"15",2018-08-10,14,0,1,NA,"EP"
"16",2018-08-10,15,0,0,NA,"EP"
"17",2018-08-10,16,0,0,NA,"EP"
"18",2018-08-10,17,0,0,NA,"EP"
"19",2018-08-10,18,0,0,NA,"EP"
"20",2018-08-10,19,0,1,NA,"EP"
"21",2018-08-10,20,0,1,NA,"EP"
"22",2018-08-10,21,0,0,NA,"EP"
"23",2018-08-10,22,0,0,NA,"EP"
"24",2018-08-10,23,0,1,NA,"EP"
"25",2018-08-11,0,0,0,NA,"EP"
"26",2018-08-11,1,0,0,NA,"EP"
"27",2018-08-11,2,0,0,NA,"EP"
"28",2018-08-11,3,0,0,NA,"EP"
"29",2018-08-11,4,0,0,NA,"EP"
"30",2018-08-11,5,0,0,NA,"EP"
"31",2018-08-11,6,0,1,NA,"EP"
"32",2018-08-11,7,0,3,"; ; ","EP"
"33",2018-08-11,8,0,2,NA,"EP"
"34",2018-08-11,9,1,3,"on/off; ; on/off; ","EP"
"35",2018-08-11,10,0,2,NA,"EP"
"36",2018-08-11,11,0,0,NA,"EP"
"37",2018-08-11,12,0,0,NA,"EP"
"38",2018-08-11,13,0,1,NA,"EP"
"39",2018-08-11,14,0,0,NA,"EP"
"40",2018-08-11,15,0,0,NA,"EP"
"41",2018-08-11,16,0,0,NA,"EP"
"42",2018-08-11,17,0,0,NA,"EP"
"43",2018-08-11,18,0,0,NA,"EP"
"44",2018-08-11,19,0,0,NA,"EP"
"45",2018-08-11,20,0,0,NA,"EP"
"46",2018-08-11,21,0,0,NA,"EP"
"47",2018-08-11,22,0,0,NA,"EP"
"48",2018-08-11,23,0,0,NA,"EP"
"49",2018-08-12,0,0,0,NA,"EP"
"50",2018-08-12,1,0,1,NA,"EP"
"51",2018-08-12,2,0,0,NA,"EP"
"52",2018-08-12,3,0,0,NA,"EP"
"53",2018-08-12,4,0,0,NA,"EP"
"54",2018-08-12,5,0,0,NA,"EP"
