"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes","SiteID"
"1",2021-05-10,0,0,NA,0,NA,"TRW"
"2",2021-05-10,1,0,NA,0,NA,"TRW"
"3",2021-05-10,2,0,NA,0,NA,"TRW"
"4",2021-05-10,3,0,NA,0,NA,"TRW"
"5",2021-05-10,4,0,NA,0,NA,"TRW"
"6",2021-05-10,5,0,1,0,NA,"TRW"
"7",2021-05-10,6,0,NA,0,NA,"TRW"
"8",2021-05-10,7,0,1,0,NA,"TRW"
"9",2021-05-10,8,0,1,0,NA,"TRW"
"10",2021-05-10,9,1,0,0,NA,"TRW"
"11",2021-05-10,10,0,NA,0,NA,"TRW"
"12",2021-05-10,11,0,NA,0,NA,"TRW"
"13",2021-05-10,12,0,NA,0,NA,"TRW"
"14",2021-05-10,13,0,NA,0,NA,"TRW"
"15",2021-05-10,14,0,NA,0,NA,"TRW"
"16",2021-05-10,15,0,NA,0,NA,"TRW"
"17",2021-05-10,16,0,NA,0,NA,"TRW"
"18",2021-05-10,17,0,NA,0,NA,"TRW"
"19",2021-05-10,18,0,NA,0,NA,"TRW"
"20",2021-05-10,19,0,NA,0,NA,"TRW"
"21",2021-05-10,20,0,NA,0,NA,"TRW"
"22",2021-05-10,21,0,NA,0,NA,"TRW"
"23",2021-05-10,22,0,NA,0,NA,"TRW"
"24",2021-05-10,23,0,NA,0,NA,"TRW"
"25",2021-05-11,0,0,NA,0,NA,"TRW"
"26",2021-05-11,1,0,NA,0,NA,"TRW"
"27",2021-05-11,2,0,NA,0,NA,"TRW"
"28",2021-05-11,3,0,NA,0,NA,"TRW"
"29",2021-05-11,4,0,1,0,NA,"TRW"
"30",2021-05-11,5,0,NA,0,NA,"TRW"
"31",2021-05-11,6,0,1,0,NA,"TRW"
"32",2021-05-11,7,0,NA,0,NA,"TRW"
"33",2021-05-11,8,0,NA,0,NA,"TRW"
"34",2021-05-11,9,0,NA,0,NA,"TRW"
"35",2021-05-11,10,0,1,0,NA,"TRW"
"36",2021-05-11,11,0,NA,0,NA,"TRW"
"37",2021-05-11,12,0,NA,0,NA,"TRW"
"38",2021-05-11,13,0,NA,0,NA,"TRW"
"39",2021-05-11,14,0,NA,0,NA,"TRW"
"40",2021-05-11,15,0,NA,0,NA,"TRW"
"41",2021-05-11,16,0,NA,0,NA,"TRW"
"42",2021-05-11,17,0,NA,0,NA,"TRW"
"43",2021-05-11,18,0,NA,0,NA,"TRW"
"44",2021-05-11,19,0,NA,0,NA,"TRW"
"45",2021-05-11,20,0,NA,0,NA,"TRW"
"46",2021-05-11,21,0,NA,0,NA,"TRW"
"47",2021-05-11,22,0,2,0,NA,"TRW"
"48",2021-05-11,23,0,1,0,NA,"TRW"
"49",2021-05-12,0,0,1,0,"added on review","TRW"
"50",2021-05-12,1,0,1,0,NA,"TRW"
"51",2021-05-12,2,0,NA,0,NA,"TRW"
"52",2021-05-12,3,0,NA,0,NA,"TRW"
"53",2021-05-12,4,0,NA,0,NA,"TRW"
"54",2021-05-12,5,0,NA,0,NA,"TRW"
"55",2021-05-12,6,0,NA,0,NA,"TRW"
"56",2021-05-12,7,0,NA,0,NA,"TRW"
"57",2021-05-12,8,0,NA,0,NA,"TRW"
"58",2021-05-12,9,0,NA,0,NA,"TRW"
"59",2021-05-12,10,0,NA,0,NA,"TRW"
"60",2021-05-12,11,0,NA,0,NA,"TRW"
"61",2021-05-12,12,0,NA,0,NA,"TRW"
"62",2021-05-12,13,0,NA,0,NA,"TRW"
"63",2021-05-12,14,0,NA,0,NA,"TRW"
"64",2021-05-12,15,0,NA,0,NA,"TRW"
"65",2021-05-12,16,0,NA,0,NA,"TRW"
"66",2021-05-12,17,0,NA,0,NA,"TRW"
"67",2021-05-12,18,0,NA,0,NA,"TRW"
"68",2021-05-12,19,0,NA,0,NA,"TRW"
"69",2021-05-12,20,0,NA,0,NA,"TRW"
"70",2021-05-12,21,0,NA,0,NA,"TRW"
"71",2021-05-12,22,0,NA,0,NA,"TRW"
"72",2021-05-12,23,0,NA,0,NA,"TRW"
