"","Filename","Date","Selection","RMS","PeakFreq","PeakLev","Verified","used","ins_sm","out_sm","ins_med","out_med","ins_lg","out_lg","pins_sm","pins_med","pins_lg","pins_ovrll"
"1","805355546.181224000401_sel01_S3.wav",181224000000,"S3",133.3196504,249,118.9723674,1,1,3,0,26,0,37,0,1,1,1,1
"2","805355546.190107000401_sel01_S4.wav",190107000000,"S4",112.7989248,60,95.8687478,1,1,37,0,58,44,0,51,1,0.568627450980392,0,0.683453237410072
"3","805355546.190107000401_sel02_S5.wav",190107000000,"S5",120.3187005,103,112.9231121,1,1,7,0,42,0,48,0,1,1,1,1
"4","805355546.190120000401_sel01_S8.wav",190120000000,"S8",127.0265428,262,118.2506112,1,1,3,0,28,0,38,0,1,1,1,1
"5","805355546.190121000401_sel01_S5.wav",190121000000,"S5",121.9643352,1079,101.7807365,1,1,22,0,74,7,0,65,1,0.91358024691358,0,0.932038834951456
"6","805355546.190121000401_sel02_S8.wav",190121000000,"S8",135.5776355,285,125.4125984,1,1,2,0,15,0,24,0,1,1,1,1
"7","805355546.190217000401_sel01_S4.wav",190217000000,"S4",125.3879768,187,112.9894043,1,1,7,0,42,0,48,0,1,1,1,1
"8","805355546.190217000401_sel02_S5.wav",190217000000,"S5",126.6680665,133,110.2031482,1,1,9,0,51,0,37,16,1,1,0.69811320754717,1
"9","805355546.190107000401_sel01_S10.wav",190107000401,"S10",126.7097047,208,110.98535,1,1,8,0,49,0,40,11,1,1,0.784313725490196,1
"10","805355546.190115000401_sel01_S2.wav",190115000401,"S2",108.453007,64,90.75549181,1,1,53,0,39,79,0,16,1,0.330508474576271,0,0.538011695906433
"11","805355546.190121000401_sel01_S7.wav",190121000401,"S7",134.0818832,592,114.9345432,1,1,5,0,37,0,44,0,1,1,1,1
"12","805355546.190125000401_sel01_S5.wav",190125000401,"S5",128.1363964,438,109.670044,1,1,10,0,53,0,34,19,1,1,0.641509433962264,1
"13","805355546.190128000401_sel01_S1.wav",190128000401,"S1",121.517376,181,99.90434607,1,1,26,0,70,18,0,67,1,0.795454545454545,0,0.842105263157895
"14","805355546.190202000401_sel01_S6.wav",190202000401,"S6",137.1144344,175,123.1448348,1,1,2,0,18,0,28,0,1,1,1,1
