"","Filename","Date","Selection","RMS","PeakFreq","PeakLev","Verified","used","...9","ins_sm","out_sm","ins_med","out_med","ins_lg","out_lg","pins_sm","pins_med","pins_lg","pins_ovrll"
"1","805830683.180810080955_sel03_S16.wav",180810000000,"S16",109.4794693,165,82.74744733,1,1,NA,38,50,0,49,0,0,0.431818181818182,0,NA,0.277372262773723
"2","805830683.180810080955_sel17_S8.wav",180810000000,"S8",109.6707697,223,92.88394895,1,1,NA,50,5,0,94,0,0,0.909090909090909,0,NA,0.335570469798658
"3","805830683.180810080955_sel20_S9.wav",180810000000,"S9",109.1677047,295,92.62696526,1,1,NA,50,6,0,93,0,0,0.892857142857143,0,NA,0.335570469798658
"4","805830683.180811020935_sel04_S7.wav",180811000000,"S7",108.4988103,380,82.69817907,1,1,NA,38,50,0,49,0,0,0.431818181818182,0,NA,0.277372262773723
"5","805830683.180814020855_sel08_S10.wav",180814000000,"S10",116.0055694,243,105.8428883,1,1,NA,20,0,34,35,0,51,1,0.492753623188406,0,0.606741573033708
"6","805830683.180814020855_sel05_S5.wav",180814000000,"S5",112.4900634,143,102.1977137,1,1,NA,29,0,25,53,0,46,1,0.320512820512821,0,0.504672897196262
"7","805830683.180816020834_sel01_S1.wav",180816000000,"S1",129.434753,161,113.6472939,1,1,NA,9,0,46,2,0,44,1,0.958333333333333,0,0.964912280701754
"8","805830683.180817020824_sel04_S5.wav",180817000000,"S5",113.5722722,138,102.9514149,1,1,NA,27,0,27,49,0,50,1,0.355263157894737,0,0.524271844660194
"9","805830683.180818020816_sel09_S12.wav",180818000000,"S12",110.0508397,218,90.39214519,1,1,NA,48,15,0,84,0,0,0.761904761904762,0,NA,0.326530612244898
"10","805830683.180818020816_sel13_S16.wav",180818000000,"S16",117.5122929,112,108.8133964,1,1,NA,16,0,39,22,0,48,1,0.639344262295082,0,0.714285714285714
"11","805830683.180818020816_sel16_S18.wav",180818000000,"S18",118.8129405,73,98.42698384,1,1,NA,38,0,15,72,0,27,1,0.172413793103448,0,0.424
"12","805830683.180818020816_sel21_S20.wav",180818000000,"S20",122.9306439,249,110.8936569,1,1,NA,12,0,43,13,0,46,1,0.767857142857143,0,0.808823529411765
"13","805830683.180818020816_sel03_S4.wav",180818000000,"S4",111.1755631,232,90.13316844,1,1,NA,47,16,0,83,0,0,0.746031746031746,0,NA,0.321917808219178
"14","805830683.180819020807_sel05_S3.wav",180819000000,"S3",107.0084866,609,80.23736524,1,1,NA,33,63,0,36,0,0,0.34375,0,NA,0.25
