"","Filename","Date","Selection","RMS","PeakFreq","PeakLev","Verified","used","ins_sm","out_sm","ins_med","out_med","ins_lg","out_lg","pins_sm","pins_med","pins_lg","pins_ovrll"
"1","805568538.180810080053_sel04_S8.wav",180810000000,"S8",110.4778958,119,96.70648846,1,1,43,0,9,81,0,0,1,0.1,NA,0.390977443609023
"2","805568538.180810080053_sel07_S9.wav",180810000000,"S9",113.1295086,147,101.0064234,1,1,31,0,22,59,0,22,1,0.271604938271605,0,0.473214285714286
"3","805568538.180811015949_sel03_S14.wav",180811000000,"S14",109.2157526,189,79.11852299,1,1,30,68,0,13,0,0,0.306122448979592,0,NA,0.27027027027027
"4","805568538.180814015121_sel09_S14.wav",180814000000,"S14",128.6772731,664,112.3498797,1,1,11,0,44,7,0,45,1,0.862745098039216,0,0.887096774193548
"5","805568538.180814015121_sel01_S2.wav",180814000000,"S2",112.7892064,1604,79.79966662,1,1,32,65,0,16,0,0,0.329896907216495,0,NA,0.283185840707965
"6","805568538.180814015121_sel07_S9.wav",180814000000,"S9",111.2723714,1745,84.73776834,1,1,41,40,0,41,0,0,0.506172839506173,0,NA,0.336065573770492
"7","805568538.180816014138_sel01_S3.wav",180816000000,"S3",121.1932088,132,105.3096369,1,1,21,0,33,38,0,43,1,0.464788732394366,0,0.58695652173913
"8","805568538.180817014128_sel04_S5.wav",180817000000,"S5",129.5926794,117,123.8308534,1,1,2,0,24,0,29,1,1,1,0.966666666666667,1
"9","805568538.180818013840_sel04_S12.wav",180818000000,"S12",116.6460177,146,103.8797603,1,1,24,0,30,44,0,37,1,0.405405405405405,0,0.551020408163265
"10","805568538.180818013840_sel05_S17.wav",180818000000,"S17",110.5475051,219,85.76223243,1,1,42,36,0,45,0,0,0.538461538461538,0,NA,0.341463414634146
"11","805568538.180818013840_sel10_S23.wav",180818000000,"S23",123.1677808,174,100.580337,1,1,32,0,21,61,0,20,1,0.25609756097561,0,0.464912280701754
"12","805568538.180818013840_sel11_S25.wav",180818000000,"S25",121.069164,368,106.7692538,1,1,19,0,36,31,0,50,1,0.537313432835821,0,0.63953488372093
"13","805568538.180818013840_sel01_S7.wav",180818000000,"S7",111.4954764,235,95.92607107,1,1,46,0,6,81,0,0,1,0.0689655172413793,NA,0.390977443609023
"14","805568538.180819013434_sel02_S1.wav",180819000000,"S1",110.5016701,217,87.70755744,1,1,45,27,0,54,0,0,0.625,0,NA,0.357142857142857
