network,npz_id,Site_ID,Dep_ID,Dep,n_days,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,mean_per_day,mean_overall,Inside_transit,Inside_transit_small,n_ves_used_inout,prop_inside,total_outside,prop_inside_small,total_out_small
Northwest,DMP,DNE,202009,DAMPIER_202009_DNE,58,138,0,17,0,8,2.3793103448275863,0.10087719298245613,0,9,68,0,68,0.25,51
Northwest,DMP,DSW,202009,DAMPIER_202009_DSW,58,238,2,9,0,2,4.103448275862069,0.1739766081871345,2,7,57,0.03508771929824561,55,0.15789473684210525,48
Northwest,NMP,NGN,201909,NINGALOO_201909_NGN,55,40,1,4,0,0,0.7272727272727273,0.030864197530864196,1,4,31,0.03225806451612903,30,0.12903225806451613,27
Northwest,NMP,NGS,201909,NINGALOO_201909_NGS,56,86,0,13,0,2,1.5357142857142858,0.06515151515151515,0,11,78,0,78,0.16666666666666666,65
South-west,GMP,GEO,202201,GEOGRAPHE_202201_GEO,91,575,0,0,0,0,6.318681318681318,0.2662037037037037,0,0,2,0,2,0,2
South-west,JMP,JNE,202201,JURIEN_202201_JNE,66,286,0,0,0,0,4.333333333333333,0.18333333333333332,0,0,234,0,234,0,234
South-west,JMP,JSE,202201,JURIEN_202201_JSE,40,139,0,0,0,0,3.475,0.1485042735042735,0,0,111,0,111,0,111
South-west,MMP,MRE,202002,MURAT_202002_MRE,86,2,0,0,0,0,0.023255813953488372,9.689922480620155e-4,0,0,2,0,2,0,2
South-west,MMP,MRW,202002,MURAT_202002_MRW,78,2,0,0,0,0,0.02564102564102564,0.0010683760683760685,0,0,2,0,2,0,2
South-west,SWCMP,SWS,202201,SWC_202201_SWS,85,343,0,0,0,0,4.035294117647059,0.1701388888888889,0,0,2,0,2,0,2
South-west,TRMP,TRE,202105,TWOROCKS_202105_TRE,78,589,27,131,23,114,7.551282051282051,0.31872294372294374,4,17,424,0.06367924528301887,397,0.3089622641509434,293
South-west,TRMP,TRW,202105,TWOROCKS_202105_TRW,86,520,24,149,19,125,6.046511627906977,0.2549019607843137,5,24,407,0.05896805896805897,383,0.36609336609336607,258
Temperate East,CGMP,CG,201807,CGMP_201807_CG,35,364,32,167,12,40,10.4,0.43333333333333335,20,127,208,0.15384615384615385,176,0.8028846153846154,41
Temperate East,CGMP,CG,201812,CGMP_201812_CG,71,395,24,146,17,59,5.563380281690141,0.2318075117370892,7,87,216,0.1111111111111111,192,0.6759259259259259,70
Temperate East,CGMP,CG,201904,CGMP_201904_CG,75,473,31,237,19,67,6.306666666666667,0.2627777777777778,12,170,326,0.0950920245398773,295,0.7269938650306749,89
Temperate East,SIMP,EP,201808,SIMP_201808_EP,34,240,4,39,1,21,7.0588235294117645,0.29411764705882354,3,18,49,0.08163265306122448,45,0.7959183673469388,10
Temperate East,SIMP,EP,201812,SIMP_201812_EP,35,222,14,60,10,43,6.3428571428571425,0.2642857142857143,4,17,130,0.1076923076923077,116,0.46153846153846156,70
Temperate East,SIMP,EP,201906,SIMP_201906_EP,20,96,16,40,16,34,4.8,0.2,0,6,74,0.21621621621621623,58,0.5405405405405406,34
Temperate East,SIMP,WP,201808,SIMP_201808_WP,33,283,16,52,3,24,8.575757575757576,0.3573232323232323,13,28,63,0.25396825396825395,47,0.8253968253968254,11
Temperate East,SIMP,WP,201812,SIMP_201812_WP,35,221,10,60,8,29,6.314285714285714,0.2630952380952381,2,31,135,0.07407407407407407,125,0.4444444444444444,75
Temperate East,SIMP,WP,201906,SIMP_201906_WP,61,247,34,112,32,74,4.049180327868853,0.1687158469945355,2,38,167,0.20359281437125748,133,0.6706586826347305,55
