network,npz_id,Dep_ID,n_days,Total_ves_npz,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,mean_per_day,n_used_inout,mean_overall,Inside_transit,Inside_transit_small,total_outside,total_out_small,prop_inside,prop_inside_small,prop_maneuver,prop_maneuver_small
Northwest,DMP,202009,116,376,2,26,0,10,3.2413793103448274,125,0.13742690058479531,2,16,123,99,0.016,0.208,0,0.38461538461538464
Northwest,NMP,201909,111,126,1,17,0,2,1.135135135135135,109,0.0481651376146789,1,15,108,92,0.009174311926605505,0.1559633027522936,0,0.11764705882352941
South-west,GMP,202201,91,575,0,0,0,0,6.318681318681318,2,0.2662037037037037,0,0,2,2,0,0,NA,NA
South-west,JMP,202201,106,425,0,0,0,0,4.009433962264151,345,0.1702724358974359,0,0,345,345,0,0,NA,NA
South-west,MMP,202002,164,4,0,0,0,0,0.024390243902439025,2,0.0010162601626016261,0,0,2,2,0,0,NA,NA
South-west,SWCMP,202201,85,343,0,0,0,0,4.035294117647059,2,0.1701388888888889,0,0,2,2,0,0,NA,NA
South-west,TRMP,202105,164,1109,51,280,42,239,6.762195121951219,831,0.2852366255144033,9,41,780,551,0.061371841155234655,0.3369434416365824,0.8235294117647058,0.8535714285714285
Temperate East,CGMP,201807,35,364,32,167,12,40,10.4,208,0.43333333333333335,20,127,176,41,0.15384615384615385,0.22266666666666668,0.375,0.23952095808383234
Temperate East,CGMP,201812,71,395,24,146,17,59,5.563380281690141,216,0.2318075117370892,7,87,192,70,0.1111111111111111,0.19466666666666665,0.7083333333333334,0.4041095890410959
Temperate East,CGMP,201904,75,473,31,237,19,67,6.306666666666667,326,0.2627777777777778,12,170,295,89,0.0950920245398773,0.316,0.6129032258064516,0.28270042194092826
Temperate East,SIMP,201808,67,523,20,91,4,45,7.8059701492537314,112,0.3252487562189055,16,46,92,21,0.17857142857142858,0.14724919093851133,0.2,0.4945054945054945
Temperate East,SIMP,201812,70,443,24,120,18,72,6.328571428571428,265,0.2636904761904762,6,48,241,145,0.09056603773584905,0.1941747572815534,0.75,0.6
Temperate East,SIMP,201906,81,343,50,152,48,108,4.234567901234568,241,0.17644032921810698,2,44,191,89,0.2074688796680498,0.2459546925566343,0.96,0.7105263157894737
