network,npz_id,Site_ID,Dep,Weekday,median_prop,qt25,qt75,min_perc,max_perc
Temperate East,CGMP,CG,CGMP_201807_CG,M,0.3125,0.17708333333333334,0.4270833333333333,0.08333333333333333,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201807_CG,T,0.375,0.041666666666666664,0.375,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201807_CG,W,0.3333333333333333,0.3333333333333333,0.375,0.08333333333333333,0.4166666666666667
Temperate East,CGMP,CG,CGMP_201807_CG,R,0.4583333333333333,0.2916666666666667,0.4583333333333333,0.25,0.5416666666666666
Temperate East,CGMP,CG,CGMP_201807_CG,F,0.16666666666666666,0.08333333333333333,0.25,0.041666666666666664,0.4166666666666667
Temperate East,CGMP,CG,CGMP_201807_CG,Sa,0.25,0.16666666666666666,0.375,0.08333333333333333,0.5833333333333334
Temperate East,CGMP,CG,CGMP_201807_CG,Su,0.16666666666666666,0.125,0.375,0.041666666666666664,0.5
Temperate East,CGMP,CG,CGMP_201812_CG,M,0.20833333333333334,0.08333333333333333,0.4583333333333333,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201812_CG,T,0.20833333333333334,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.375
Temperate East,CGMP,CG,CGMP_201812_CG,W,0.20833333333333331,0.11458333333333333,0.3333333333333333,0.041666666666666664,0.5416666666666666
Temperate East,CGMP,CG,CGMP_201812_CG,R,0.25,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.625
Temperate East,CGMP,CG,CGMP_201812_CG,F,0.125,0.041666666666666664,0.3020833333333333,0.041666666666666664,0.375
Temperate East,CGMP,CG,CGMP_201812_CG,Sa,0.22916666666666669,0.14583333333333334,0.3958333333333333,0.041666666666666664,0.6666666666666666
Temperate East,CGMP,CG,CGMP_201812_CG,Su,0.20833333333333334,0.125,0.3333333333333333,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201904_CG,M,0.125,0.08333333333333333,0.25,0.041666666666666664,0.375
Temperate East,CGMP,CG,CGMP_201904_CG,T,0.2916666666666667,0.19791666666666666,0.3645833333333333,0.08333333333333333,0.5416666666666666
Temperate East,CGMP,CG,CGMP_201904_CG,W,0.2916666666666667,0.125,0.3333333333333333,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201904_CG,R,0.16666666666666666,0.125,0.4166666666666667,0.041666666666666664,0.4583333333333333
Temperate East,CGMP,CG,CGMP_201904_CG,F,0.25,0.11458333333333334,0.3229166666666667,0.041666666666666664,0.5
Temperate East,CGMP,CG,CGMP_201904_CG,Sa,0.22916666666666666,0.08333333333333333,0.4166666666666667,0.041666666666666664,0.5833333333333334
Temperate East,CGMP,CG,CGMP_201904_CG,Su,0.25,0.08333333333333333,0.375,0.041666666666666664,0.5
Temperate East,SIMP,EP,SIMP_201808_EP,M,0.08333333333333333,0.08333333333333333,0.14583333333333334,0.08333333333333333,0.20833333333333334
Temperate East,SIMP,EP,SIMP_201808_EP,T,0.16666666666666666,0.14583333333333331,0.25,0.125,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201808_EP,W,0.1875,0.13541666666666666,0.2604166666666667,0.041666666666666664,0.4166666666666667
Temperate East,SIMP,EP,SIMP_201808_EP,R,0.29166666666666663,0.20833333333333334,0.375,0.08333333333333333,0.5
Temperate East,SIMP,EP,SIMP_201808_EP,F,0.16666666666666666,0.125,0.20833333333333334,0.08333333333333333,0.375
Temperate East,SIMP,EP,SIMP_201808_EP,Sa,0.20833333333333334,0.16666666666666666,0.25,0.125,0.3333333333333333
Temperate East,SIMP,EP,SIMP_201808_EP,Su,0.16666666666666666,0.125,0.16666666666666666,0.125,0.2916666666666667
