PROJECT_NAME,npz_id,Recording schedule,Issues?,HOURS_FROM_UTC_files,HOURS_FROM_UTC_local,Start date,End date,all_dep_start,pre_site_gap_end,post_site_gap_start,all_dep_end,dep_gap_start,dep_gap_end,N days,Depth_m,SerialNo,Sensitivity,Lat_DD,Lon_DD,Sound_level_HMD,Baleen_hp,Dolphin_hp,Fish_hp,Shrimp_hp,Vessel_hp,Sound_level_PSD,Sound_level_TOL,Sound_level_BB
PARKSAUSTRALIA_CGMP_201807_CG,CGMP,Continuous,,10,10,7/1/2018,8/4/2018,NA,NA,NA,NA,NA,NA,34,37,805355546,173,-31.681,152.91,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_CGMP_201812_CG,CGMP,Duty cycled,Clipped calibration tones with mismatched timestamps,11,11,12/12/2018,2/20/2019,NA,NA,NA,NA,8/5/2018,12/11/2018,70,37,805355546,173,-31.681,152.91,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_CGMP_201904_CG,CGMP,Duty cycled,Need to clip calibration tones,10,10,4/11/2019,6/24/2019,NA,NA,6/25/2019,4/11/2022,2/21/2019,4/10/2019,74,37,805355546,173,-31.681,152.91,Pypam,manual,WMD,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_DAMPIER_202009_DNE,DMP,Continuous,,10,8,9/9/2020,11/4/2020,7/1/2018,9/8/2020,11/5/2020,4/11/2022,NA,NA,56,32,5459,176.6,-20.197,117.054,Pypam,manual,In progress,manual,Not started,Ship detector,PAMGuide,PAMGuide,
PARKSAUSTRALIA_DAMPIER_202009_DSW,DMP,Continuous,re-run pypam? wrong lat/lon (can we update this some other way?),10,8,9/9/2020,11/4/2020,7/1/2018,9/8/2020,11/5/2020,4/11/2022,NA,NA,56,30,5458,176.7,-20.21,117.044,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO,GEO,Continuous,,0,8,1/12/2022,4/3/2022,7/1/2018,1/11/2022,4/4/2022,4/11/2022,NA,NA,81,12,5458,176.7,-33.55158,115.3859,Pypam,Not started,Not started,Not started,Not started,Ship detector,,PAMGuide,
PARKSAUSTRALIA_JURIEN_202201_JNE,JMP,Continuous,,1,8,1/5/2022,3/10/2022,7/1/2018,1/4/2022,3/11/2022,4/11/2022,NA,NA,64,164,805830683,172.7,-30.678,114.753,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_JURIEN_202201_JSE,JMP,Continuous,,1,8,1/5/2022,2/12/2022,7/1/2018,1/4/2022,2/13/2022,4/11/2022,NA,NA,38,168,805568538,172.4,-30.706,114.753,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_MURAT_202002_MRE,MMP,Continuous,,10.5,10.5,2/8/2020,5/3/2020,7/1/2018,2/7/2020,5/4/2020,4/11/2022,NA,NA,85,60,5459,176.6,-32.584,132.63,MANTA & Pypam,manual (subsample),WMD,manual,Not started,Ship detector,,,
PARKSAUSTRALIA_MURAT_202002_MRW,MMP,Continuous,,10.5,10.5,2/8/2020,4/25/2020,7/1/2018,2/7/2020,4/26/2020,4/11/2022,NA,NA,77,56,5458,176.7,-32.633,132.564,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_NINGALOO_201909_NGN,NMP,Continuous,,0,8,9/25/2019,11/17/2019,7/1/2018,9/24/2019,11/18/2019,4/11/2022,NA,NA,53,97,805830683,172.7,-22.70498,113.54605,Pypam,manual,WMD,manual,Not started,Ship detector,PAMGuide,,PAMGuide
PARKSAUSTRALIA_NINGALOO_201909_NGS,NMP,Continuous,,0,8,9/25/2019,11/18/2019,7/1/2018,9/24/2019,11/19/2019,4/11/2022,NA,NA,54,70,805355546,173,-22.73808,113.55698,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_SIMP_201808_EP,SIMP,Continuous,,10,10,8/10/2018,9/12/2018,7/1/2018,8/9/2018,NA,NA,NA,NA,33,42,805830683,172.7,-29.698,153.398,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_SIMP_201808_WP,SIMP,Continuous,,10,10,8/10/2018,9/11/2018,7/1/2018,8/9/2018,NA,NA,NA,NA,32,42,805568538,172.4,-29.698,153.397,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_SIMP_201812_EP,SIMP,Duty cycled,Clipped calibration tones with mismatched timestamps,11,11,12/12/2018,1/15/2019,NA,NA,NA,NA,9/13/2018,12/11/2018,34,42,805830683,172.7,-29.698,153.398,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
