"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 0 2203.714274405 15.2 24000 "2020/9/9" "11:38:36.0000" "12:15:23.7143" 2203.7143 "CPA+Maneuver" "yes" "deployment vessel" 2020-09-09
2 "Spectrogram 1" 1 2410.248446713 4423.391288678 28.7 15834.6 "2020/9/9" "12:18:49.2484" "12:52:22.3913" 2013.1428 "TransitA+Maneuver" "" "could also e deployment vessel, sn" 2020-09-09
3 "Spectrogram 1" 1 11656.546579852 19651.385083864 35.5 2416.8 "2020/9/9" "14:52:55.5466" "17:06:10.3851" 7994.8385 "TransitB" "" "could be sn" 2020-09-09
1 "Spectrogram 1" 1 18390.670790709 24658.695641214 50.2 3306.3 "2020/9/10" "10:50:32.6708" "12:34:59.6956" 6268.0249 "TransitB" NA NA 2020-09-10
1 "Spectrogram 1" 1 26017.833483881 26109.354929725 59.2 4023.7 "2020/9/11" "12:57:25.8335" "12:58:57.3549" 91.5214 "TransitA+Maneuver" NA "LTSA" 2020-09-11
2 "Spectrogram 1" 1 28098.388498429 37568.874951559 88.8 6035.5 "2020/9/11" "13:32:06.3885" "16:09:57.8750" 9470.4865 "TransitA+Maneuver" NA "LTSA" 2020-09-11
3 "Spectrogram 1" 1 39968.67450962 45994.144444769 73.4 6290.8 "2020/9/11" "16:49:56.6745" "18:30:20.1444" 6025.4699 "TransitA+Maneuver" NA "LTSA" 2020-09-11
1 "Spectrogram 1" 1 22652.459618711 22749.950290657 223.1 3245.4 "2020/9/12" "12:01:11.4596" "12:02:49.9503" 97.4907 "TransitA+Maneuver" NA "" 2020-09-12
2 "Spectrogram 1" 1 30224.645952704 31148.683225336 81.136 10223.124 "2020/9/12" "14:07:24.6460" "14:22:48.6832" 924.0373 "TransitA+Maneuver" NA "" 2020-09-12
3 "Spectrogram 1" 1 14655.401783932 15578.705342246 88.757 5502.959 "2020/9/12" "9:47:55.4018" "10:03:18.7053" 923.3036 "TransitA+Maneuver" NA "LTSA" 2020-09-12
1 "Spectrogram 1" 1 56872.714278571 86395.470645833 35.5 826.6 "2020/9/13" "21:31:20.7143" "5:43:22.4706" 29522.7564 "TransitB" NA NA 2020-09-13
1 "Spectrogram 1" 1 63106.950305241 86396.6453125 71.7 896.4 "2020/9/14" "23:15:05.9503" "5:43:14.6453" 23289.695 "TransitB" "yes" NA 2020-09-14
1 "Spectrogram 1" 1 18604.993782686 18733.043471196 2648.8 3093.5 "2020/9/15" "10:53:17.9938" "10:55:26.0435" 128.0497 "TransitB" NA NA 2020-09-15
2 "Spectrogram 1" 1 19990.322975311 20133.652170018 111.6 1744.4 "2020/9/15" "11:16:23.3230" "11:18:46.6522" 143.3292 "TransitB" NA NA 2020-09-15
3 "Spectrogram 1" 1 61387.63353266 64213.074518181 60.9 1480.7 "2020/9/15" "22:46:18.6335" "23:33:23.0745" 2825.441 "TransitB" NA NA 2020-09-15
4 "Spectrogram 1" 1 66245.776387125 79356.149061361 43 497 "2020/9/16" "0:07:15.7764" "3:45:45.1491" 13110.3727 "TransitB" NA NA 2020-09-15
5 "Spectrogram 1" 1 76879.242227316 82889.788809252 91.3 3499.7 "2020/9/16" "3:04:28.2422" "4:44:39.7888" 6010.5466 "TransitA" NA NA 2020-09-15
1 "Spectrogram 1" 1 32478.037258049 33034.807436193 466.1 3590.3 "2020/9/16" "14:44:22.0373" "14:53:39.8074" 556.7702 "TransitA+Maneuver" NA "unable to get sound clip due to ambient noise" 2020-09-16
2 "Spectrogram 1" 1 63829.366059586 74811.857125744 96.154 2766.272 "2020/9/16" "23:26:52.3661" "2:29:52.8571" 10982.4911 "TransitB" NA "LTSA" 2020-09-16
1 "Spectrogram 1" 1 10527.906821545 12831.012407544 121.9 2911.6 "2020/9/17" "8:38:22.9068" "9:16:46.0124" 2303.1056 "TransitB" NA "" 2020-09-17
2 "Spectrogram 1" 1 79268.892851252 80916.080348106 59.2 2636 "2020/9/18" "3:44:00.8929" "4:11:28.0803" 1647.1875 "TransitA" NA "LTSA" 2020-09-17
1 "Spectrogram 1" 1 38463.925452653 39432.795018232 186.5 3643.1 "2020/9/18" "16:23:49.9255" "16:39:58.7950" 968.8696 "TransitB" NA "unable to get sound clip due to ambient noise" 2020-09-18
2 "Spectrogram 1" 1 64772.900608398 76627.18631941 50.2 2431.1 "2020/9/18" "23:42:17.9006" "2:59:49.1863" 11854.2857 "TransitA" NA "sn?" 2020-09-18
1 "Spectrogram 1" 1 22340.422341913 22498.732901346 608.5 4097.4 "2020/9/20" "11:54:47.4223" "11:57:25.7329" 158.3106 "TransitA" NA "unable to get sound clip due to ambient noise" 2020-09-20
2 "Spectrogram 1" 1 27487.422343996 39888.863346183 71 6024.3 "2020/9/20" "13:20:34.4223" "16:47:15.8633" 12401.441 "TransitA+Maneuver" NA "" 2020-09-20
3 "Spectrogram 1" 1 65280.229694183 69557.589315388 133.745 4539.451 "2020/9/20" "23:50:24.2297" "1:01:42.5893" 4277.3596 "TransitA+Maneuver" NA "LTSA" 2020-09-20
1 "Spectrogram 1" 1 48908.552788833 51888.50309199 121.7 3499 "2020/9/21" "19:17:24.5528" "20:07:04.5031" 2979.9503 "TransitB" NA "" 2020-09-21
2 "Spectrogram 1" 1 37524.974460484 41321.825979155 274.745 2263.031 "2020/9/21" "16:07:41.9745" "17:10:58.8260" 3796.8515 "TransitB" NA "LTSA" 2020-09-21
1 "Spectrogram 1" 1 40308.018626941 44705.273282635 329.6 2454.4 "2020/9/22" "16:53:57.0186" "18:07:13.2733" 4397.2547 "TransitB" NA "" 2020-09-22
2 "Spectrogram 1" 1 77306.527942495 83566.614886969 20.3 5111.6 "2020/9/23" "3:10:32.5279" "4:54:52.6149" 6260.0869 "TransitA+Maneuver" NA "m at 3:37:20" 2020-09-22
1 "Spectrogram 1" 1 29609.00620273 36670.596253778 609.6 3580.1 "2020/9/23" "13:55:26.0062" "15:53:08.5963" 7061.5901 "TransitB" NA NA 2020-09-23
2 "Spectrogram 1" 1 38380.161479322 53896.099364519 390.5 3225.2 "2020/9/23" "16:21:37.1615" "20:40:12.0994" 15515.9379 "TransitA" NA NA 2020-09-23
1 "Spectrogram 1" 1 0 7318.173909783 111.6 2342.8 "2020/9/24" "5:41:49.0000" "7:43:47.1739" 7318.1739 "TransitA" NA "" 2020-09-24
2 "Spectrogram 1" 1 11794.291922076 13969.385081781 20.3 11589.1 "2020/9/24" "8:58:23.2919" "9:34:38.3851" 2175.0932 "CPA+Maneuver" NA "" 2020-09-24
