"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 3547 4134.151067 177.5 6952.7 "2018/8/10" "9:00:09.0000" "9:09:56.1511" 587.1511 "Maneuver+TransitA" "This is the AMP boat" 2018-08-10
2 "Spectrogram 1" 1 4831.712226 4883.366896 828.4 2337.3 "2018/8/10" "9:21:34.7122" "9:22:26.3669" 51.6547 "DTransit" "" 2018-08-10
3 "Spectrogram 1" 1 6325.834145 6346.996475 2248.5 3136.1 "2018/8/10" "9:46:28.8341" "9:46:49.9965" 21.1623 "DTransit" "" 2018-08-10
4 "Spectrogram 1" 1 7484.871707 7543.8644 710.1 3757.4 "2018/8/10" "10:05:47.8717" "10:06:46.8644" 58.9927 "DTransit" "" 2018-08-10
5 "Spectrogram 1" 1 7973.661875 8131.856104 562.1 1538.5 "2018/8/10" "10:13:56.6619" "10:16:34.8561" 158.1942 "DTransit" "" 2018-08-10
6 "Spectrogram 1" 1 8778.962198 8905.244591 650.9 2071 "2018/8/10" "10:27:21.9622" "10:29:27.2446" 126.2824 "DTransit" "" 2018-08-10
7 "Spectrogram 1" 1 9557.360913 10181.82013 414.2 2337.3 "2018/8/10" "10:40:20.3609" "10:50:44.8201" 624.4592 "DTransit" "" 2018-08-10
8 "Spectrogram 1" 1 12647.42446 12775.482 0 8343.2 "2018/8/10" "11:31:50.4245" "11:33:58.4820" 128.0575 "Maneuver+TransitA" "" 2018-08-10
9 "Spectrogram 1" 1 15030.24459 15197.13667 29.6 9437.9 "2018/8/10" "12:11:32.2446" "12:14:19.1367" 166.8921 "CPA" "" 2018-08-10
10 "Spectrogram 1" 1 16812.17985 16898.51077 591.7 3784.861 "2018/8/10" "12:41:14.1799" "12:42:41.5108" 86.3309 "Maneuver+TransitA" "" 2018-08-10
11 "Spectrogram 1" 1 17817.88332 17837.26516 1153.8 1716 "2018/8/10" "12:58:00.8833" "12:58:19.2652" 19.3818 "DTransit" "" 2018-08-10
12 "Spectrogram 1" 1 47340.9856 50247.70502 680.5 4822.5 "2018/8/10" "21:10:01.9856" "21:58:28.7050" 2906.7194 "CTransit" "on/off" 2018-08-10
13 "Spectrogram 1" 1 51286.17971 51699.1286 1272.2 2426 "2018/8/10" "22:15:46.1797" "22:22:39.1286" 412.9489 "DTransit" "" 2018-08-10
14 "Spectrogram 1" 1 55184.21792 55271.51077 562.1 3017.8 "2018/8/10" "23:20:44.2179" "23:22:12.5108" 87.2928 "DTransit" "" 2018-08-10
1 "Spectrogram 1" 1 14850.762589145 14902.417259426 1124.3 1775.1 "2018/8/11" "6:07:19.7626" "6:08:11.4173" 51.6547 "DTransit" "" 2018-08-11
2 "Spectrogram 1" 1 17912.354249574 18036.646205991 79.681 3944.223 "2018/8/11" "6:58:21.3542" "7:00:25.6462" 124.292 "DTransit" "" 2018-08-11
3 "Spectrogram 1" 1 18517.482013523 18682.517965644 710.1 2189.3 "2018/8/11" "7:08:26.4820" "7:11:11.5180" 165.036 "DTransit" "on/off" 2018-08-11
4 "Spectrogram 1" 1 20089.280573308 20243.812929523 621.3 2307.7 "2018/8/11" "7:34:38.2806" "7:37:12.8129" 154.5324 "DTransit" "on/off" 2018-08-11
5 "Spectrogram 1" 1 20624.944067142 20640.267806376 1301.8 1923.1 "2018/8/11" "7:43:33.9441" "7:43:49.2678" 15.3237 "DTransit" "on/off" 2018-08-11
6 "Spectrogram 1" 1 20672.908600436 20711.038092426 0 2366.9 "2018/8/11" "7:44:21.9086" "7:45:00.0381" 38.1295 "DTransit" "" 2018-08-11
7 "Spectrogram 1" 1 21238.100708533 21503.903449164 88.8 6716 "2018/8/11" "7:53:47.1007" "7:58:12.9034" 265.8027 "CTransit" "" 2018-08-11
8 "Spectrogram 1" 1 22178.956814448 22358.079114625 591.7 8195.3 "2018/8/11" "8:09:26.9568" "8:12:25.0791" 179.1223 "DTransit" "" 2018-08-11
9 "Spectrogram 1" 1 22724.51078314 22875.73378722 769.2 4674.6 "2018/8/11" "8:18:32.5108" "8:21:03.7338" 151.223 "DTransit" "" 2018-08-11
10 "Spectrogram 1" 1 23668.417254796 23777.482001948 650.9 5591.7 "2018/8/11" "8:34:16.4173" "8:36:05.4820" 109.0647 "DTransit" "on/off" 2018-08-11
11 "Spectrogram 1" 1 23904.517977218 24342.460428824 177.5 5473.4 "2018/8/11" "8:38:12.5180" "8:45:30.4604" 437.9425 "Maneuver+TransitA" "on/off" 2018-08-11
12 "Spectrogram 1" 1 24697.539561917 24755.669051592 29.6 2751.5 "2018/8/11" "8:51:25.5396" "8:52:23.6691" 58.1295 "DTransit" "" 2018-08-11
13 "Spectrogram 1" 1 25490.561146616 25700.043155509 946.7 1893.5 "2018/8/11" "9:04:38.5611" "9:08:07.0432" 209.482 "DTransit" "" 2018-08-11
14 "Spectrogram 1" 1 25726.230202838 26692.877667899 59.2 6272.2 "2018/8/11" "9:08:34.2302" "9:24:40.8777" 966.6475 "Maneuver+TransitA" "on/off" 2018-08-11
15 "Spectrogram 1" 1 27310.661844058 27533.079122002 976.3 1834.3 "2018/8/11" "9:34:58.6618" "9:38:40.0791" 222.4173 "DTransit" "" 2018-08-11
