"","Begin_Date","Begin_Hour","Maneuver","Transit","Notes","SiteID"
"1",2018-07-01,0,0,0,NA,"CG"
"2",2018-07-01,1,0,0,NA,"CG"
"3",2018-07-01,2,0,0,NA,"CG"
"4",2018-07-01,3,0,0,NA,"CG"
"5",2018-07-01,4,0,0,NA,"CG"
"6",2018-07-01,5,0,0,NA,"CG"
"7",2018-07-01,6,0,0,NA,"CG"
"8",2018-07-01,7,0,0,NA,"CG"
"9",2018-07-01,8,0,0,NA,"CG"
"10",2018-07-01,9,0,0,NA,"CG"
"11",2018-07-01,10,0,0,NA,"CG"
"12",2018-07-01,11,0,0,NA,"CG"
"13",2018-07-01,12,0,0,NA,"CG"
"14",2018-07-01,13,0,0,NA,"CG"
"15",2018-07-01,14,0,0,NA,"CG"
"16",2018-07-01,15,1,0,"this is the park boat","CG"
"17",2018-07-01,16,0,0,NA,"CG"
"18",2018-07-01,17,0,0,NA,"CG"
"19",2018-07-01,18,0,0,NA,"CG"
"20",2018-07-01,19,0,0,NA,"CG"
"21",2018-07-01,20,0,0,NA,"CG"
"22",2018-07-01,21,0,0,NA,"CG"
"23",2018-07-01,22,0,0,NA,"CG"
"24",2018-07-01,23,0,0,NA,"CG"
"25",2018-07-02,0,0,0,NA,"CG"
"26",2018-07-02,1,0,0,NA,"CG"
"27",2018-07-02,2,0,0,NA,"CG"
"28",2018-07-02,3,0,0,NA,"CG"
"29",2018-07-02,4,0,0,NA,"CG"
"30",2018-07-02,5,0,0,NA,"CG"
"31",2018-07-02,6,0,0,NA,"CG"
"32",2018-07-02,7,0,0,NA,"CG"
"33",2018-07-02,8,0,0,NA,"CG"
"34",2018-07-02,9,0,0,NA,"CG"
"35",2018-07-02,10,0,0,NA,"CG"
"36",2018-07-02,11,0,0,NA,"CG"
"37",2018-07-02,12,0,0,NA,"CG"
"38",2018-07-02,13,0,0,NA,"CG"
"39",2018-07-02,14,0,0,NA,"CG"
"40",2018-07-02,15,0,0,NA,"CG"
"41",2018-07-02,16,0,0,NA,"CG"
"42",2018-07-02,17,0,0,NA,"CG"
"43",2018-07-02,18,0,0,NA,"CG"
"44",2018-07-02,19,0,0,NA,"CG"
"45",2018-07-02,20,0,0,NA,"CG"
"46",2018-07-02,21,0,0,NA,"CG"
"47",2018-07-02,22,0,0,NA,"CG"
"48",2018-07-02,23,0,0,NA,"CG"
"49",2018-07-03,0,0,0,NA,"CG"
"50",2018-07-03,1,0,0,NA,"CG"
"51",2018-07-03,2,0,0,NA,"CG"
"52",2018-07-03,3,0,0,NA,"CG"
"53",2018-07-03,4,0,0,NA,"CG"
"54",2018-07-03,5,0,0,NA,"CG"
"55",2018-07-03,6,0,0,NA,"CG"
"56",2018-07-03,7,0,0,NA,"CG"
"57",2018-07-03,8,0,0,NA,"CG"
"58",2018-07-03,9,0,0,NA,"CG"
"59",2018-07-03,10,0,0,NA,"CG"
"60",2018-07-03,11,0,1,NA,"CG"
"61",2018-07-03,12,0,0,NA,"CG"
"62",2018-07-03,13,0,0,NA,"CG"
"63",2018-07-03,14,0,0,NA,"CG"
"64",2018-07-03,15,0,0,NA,"CG"
"65",2018-07-03,16,0,0,NA,"CG"
"66",2018-07-03,17,0,0,NA,"CG"
"67",2018-07-03,18,0,0,NA,"CG"
"68",2018-07-03,19,0,0,NA,"CG"
"69",2018-07-03,20,0,0,NA,"CG"
"70",2018-07-03,21,0,0,NA,"CG"
"71",2018-07-03,22,0,0,NA,"CG"
"72",2018-07-03,23,0,0,NA,"CG"
"73",2018-07-04,0,0,0,NA,"CG"
"74",2018-07-04,1,0,0,NA,"CG"
"75",2018-07-04,2,0,0,NA,"CG"
"76",2018-07-04,3,0,0,NA,"CG"
"77",2018-07-04,4,0,0,NA,"CG"
"78",2018-07-04,5,0,0,NA,"CG"
"79",2018-07-04,6,0,0,NA,"CG"
"80",2018-07-04,7,0,0,NA,"CG"
"81",2018-07-04,8,0,0,NA,"CG"
"82",2018-07-04,9,0,0,NA,"CG"
"83",2018-07-04,10,0,0,NA,"CG"
"84",2018-07-04,11,0,0,NA,"CG"
"85",2018-07-04,12,0,0,NA,"CG"
"86",2018-07-04,13,0,1,NA,"CG"
"87",2018-07-04,14,0,0,NA,"CG"
"88",2018-07-04,15,0,0,NA,"CG"
"89",2018-07-04,16,0,0,NA,"CG"
"90",2018-07-04,17,0,0,NA,"CG"
"91",2018-07-04,18,0,0,NA,"CG"
"92",2018-07-04,19,0,0,NA,"CG"
"93",2018-07-04,20,0,0,NA,"CG"
"94",2018-07-04,21,0,0,NA,"CG"
"95",2018-07-04,22,0,0,NA,"CG"
"96",2018-07-04,23,0,1,NA,"CG"
"97",2018-07-05,0,0,0,NA,"CG"
"98",2018-07-05,1,0,0,NA,"CG"
"99",2018-07-05,2,0,0,NA,"CG"
"100",2018-07-05,3,0,0,NA,"CG"
"101",2018-07-05,4,0,0,NA,"CG"
"102",2018-07-05,5,0,0,NA,"CG"
"103",2018-07-05,6,0,1,NA,"CG"
"104",2018-07-05,7,0,1,NA,"CG"
"105",2018-07-05,8,0,0,NA,"CG"
"106",2018-07-05,9,0,1,"on/off","CG"
"107",2018-07-05,10,1,2,"; ; ","CG"
"108",2018-07-05,11,2,2,"; ; ; ","CG"
"109",2018-07-05,12,1,0,NA,"CG"
"110",2018-07-05,13,0,0,NA,"CG"
"111",2018-07-05,14,0,0,NA,"CG"
"112",2018-07-05,15,0,0,NA,"CG"
"113",2018-07-05,16,0,0,NA,"CG"
"114",2018-07-05,17,0,0,NA,"CG"
"115",2018-07-05,18,0,0,NA,"CG"
"116",2018-07-05,19,0,0,NA,"CG"
"117",2018-07-05,20,0,0,NA,"CG"
"118",2018-07-05,21,0,0,NA,"CG"
"119",2018-07-05,22,0,0,NA,"CG"
"120",2018-07-05,23,0,0,NA,"CG"
"121",2018-07-06,0,0,0,NA,"CG"
"122",2018-07-06,1,0,0,NA,"CG"
"123",2018-07-06,2,0,1,NA,"CG"
"124",2018-07-06,3,0,0,NA,"CG"
"125",2018-07-06,4,0,0,NA,"CG"
"126",2018-07-06,5,0,0,NA,"CG"
"127",2018-07-06,6,0,0,NA,"CG"
"128",2018-07-06,7,0,1,NA,"CG"
"129",2018-07-06,8,0,0,NA,"CG"
"130",2018-07-06,9,0,0,NA,"CG"
"131",2018-07-06,10,0,1,NA,"CG"
"132",2018-07-06,11,0,0,NA,"CG"
"133",2018-07-06,12,0,0,NA,"CG"
"134",2018-07-06,13,0,0,NA,"CG"
"135",2018-07-06,14,0,0,NA,"CG"
"136",2018-07-06,15,0,0,NA,"CG"
"137",2018-07-06,16,0,1,"on/off","CG"
"138",2018-07-06,17,0,0,NA,"CG"
"139",2018-07-06,18,0,0,NA,"CG"
"140",2018-07-06,19,0,0,NA,"CG"
"141",2018-07-06,20,0,0,NA,"CG"
"142",2018-07-06,21,0,0,NA,"CG"
"143",2018-07-06,22,0,0,NA,"CG"
"144",2018-07-06,23,0,0,NA,"CG"
"145",2018-07-07,0,0,0,NA,"CG"
"146",2018-07-07,1,0,0,NA,"CG"
"147",2018-07-07,2,0,0,NA,"CG"
"148",2018-07-07,3,0,0,NA,"CG"
"149",2018-07-07,4,0,0,NA,"CG"
"150",2018-07-07,5,0,0,NA,"CG"
"151",2018-07-07,6,1,1,"; multiple CPAs within","CG"
"152",2018-07-07,7,1,1,NA,"CG"
"153",2018-07-07,8,0,0,NA,"CG"
"154",2018-07-07,9,0,1,NA,"CG"
"155",2018-07-07,10,0,1,NA,"CG"
"156",2018-07-07,11,0,0,NA,"CG"
"157",2018-07-07,12,0,0,NA,"CG"
"158",2018-07-07,13,0,0,NA,"CG"
"159",2018-07-07,14,0,0,NA,"CG"
"160",2018-07-07,15,0,0,NA,"CG"
"161",2018-07-07,16,0,0,NA,"CG"
"162",2018-07-07,17,0,0,NA,"CG"
"163",2018-07-07,18,0,0,NA,"CG"
"164",2018-07-07,19,0,0,NA,"CG"
"165",2018-07-07,20,0,0,NA,"CG"
"166",2018-07-07,21,0,0,NA,"CG"
"167",2018-07-07,22,0,0,NA,"CG"
"168",2018-07-07,23,0,0,NA,"CG"
"169",2018-07-08,0,0,0,NA,"CG"
"170",2018-07-08,1,0,0,NA,"CG"
"171",2018-07-08,2,0,0,NA,"CG"
"172",2018-07-08,3,0,0,NA,"CG"
"173",2018-07-08,4,0,0,NA,"CG"
"174",2018-07-08,5,0,0,NA,"CG"
"175",2018-07-08,6,0,0,NA,"CG"
"176",2018-07-08,7,0,0,NA,"CG"
"177",2018-07-08,8,0,0,NA,"CG"
"178",2018-07-08,9,0,0,NA,"CG"
"179",2018-07-08,10,0,0,NA,"CG"
"180",2018-07-08,11,0,0,NA,"CG"
"181",2018-07-08,12,0,1,NA,"CG"
"182",2018-07-08,13,0,1,NA,"CG"
"183",2018-07-08,14,2,0,"; on/off","CG"
"184",2018-07-08,15,0,0,NA,"CG"
"185",2018-07-08,16,0,0,NA,"CG"
"186",2018-07-08,17,0,0,NA,"CG"
"187",2018-07-08,18,0,0,NA,"CG"
"188",2018-07-08,19,0,0,NA,"CG"
"189",2018-07-08,20,0,0,NA,"CG"
"190",2018-07-08,21,0,0,NA,"CG"
"191",2018-07-08,22,0,1,"may be small close","CG"
"192",2018-07-08,23,0,0,NA,"CG"
"193",2018-07-09,0,0,0,NA,"CG"
"194",2018-07-09,1,0,0,NA,"CG"
"195",2018-07-09,2,0,0,NA,"CG"
"196",2018-07-09,3,0,0,NA,"CG"
"197",2018-07-09,4,0,1,NA,"CG"
"198",2018-07-09,5,0,0,NA,"CG"
"199",2018-07-09,6,0,0,NA,"CG"
"200",2018-07-09,7,0,0,NA,"CG"
"201",2018-07-09,8,0,0,NA,"CG"
"202",2018-07-09,9,0,0,NA,"CG"
"203",2018-07-09,10,0,0,NA,"CG"
"204",2018-07-09,11,0,1,NA,"CG"
"205",2018-07-09,12,0,0,NA,"CG"
"206",2018-07-09,13,0,0,NA,"CG"
"207",2018-07-09,14,0,0,NA,"CG"
"208",2018-07-09,15,0,0,NA,"CG"
"209",2018-07-09,16,0,0,NA,"CG"
"210",2018-07-09,17,0,0,NA,"CG"
"211",2018-07-09,18,0,0,NA,"CG"
"212",2018-07-09,19,0,0,NA,"CG"
"213",2018-07-09,20,0,0,NA,"CG"
"214",2018-07-09,21,0,0,NA,"CG"
"215",2018-07-09,22,0,0,NA,"CG"
"216",2018-07-09,23,0,0,NA,"CG"
"217",2018-07-10,0,0,0,NA,"CG"
"218",2018-07-10,1,0,0,NA,"CG"
"219",2018-07-10,2,0,0,NA,"CG"
"220",2018-07-10,3,0,0,NA,"CG"
"221",2018-07-10,4,0,0,NA,"CG"
"222",2018-07-10,5,0,0,NA,"CG"
"223",2018-07-10,6,0,0,NA,"CG"
"224",2018-07-10,7,0,0,NA,"CG"
"225",2018-07-10,8,0,1,NA,"CG"
"226",2018-07-10,9,0,0,NA,"CG"
"227",2018-07-10,10,0,0,NA,"CG"
"228",2018-07-10,11,0,0,NA,"CG"
"229",2018-07-10,12,0,0,NA,"CG"
"230",2018-07-10,13,0,0,NA,"CG"
"231",2018-07-10,14,0,0,NA,"CG"
"232",2018-07-10,15,0,0,NA,"CG"
"233",2018-07-10,16,0,0,NA,"CG"
"234",2018-07-10,17,0,0,NA,"CG"
"235",2018-07-10,18,0,0,NA,"CG"
"236",2018-07-10,19,0,0,NA,"CG"
"237",2018-07-10,20,0,0,NA,"CG"
"238",2018-07-10,21,0,0,NA,"CG"
"239",2018-07-10,22,0,0,NA,"CG"
"240",2018-07-10,23,0,0,NA,"CG"
"241",2018-07-11,0,0,0,NA,"CG"
"242",2018-07-11,1,0,0,NA,"CG"
"243",2018-07-11,2,0,0,NA,"CG"
"244",2018-07-11,3,0,0,NA,"CG"
"245",2018-07-11,4,0,1,"on/off","CG"
"246",2018-07-11,5,0,0,NA,"CG"
"247",2018-07-11,6,0,0,NA,"CG"
"248",2018-07-11,7,0,0,NA,"CG"
"249",2018-07-11,8,0,0,NA,"CG"
"250",2018-07-11,9,0,1,"on/off, possibly small close","CG"
"251",2018-07-11,10,0,0,NA,"CG"
"252",2018-07-11,11,0,1,NA,"CG"
"253",2018-07-11,12,0,2,NA,"CG"
"254",2018-07-11,13,0,0,NA,"CG"
"255",2018-07-11,14,0,0,NA,"CG"
"256",2018-07-11,15,0,0,NA,"CG"
"257",2018-07-11,16,1,0,NA,"CG"
"258",2018-07-11,17,0,2,"small close; small","CG"
"259",2018-07-11,18,0,1,NA,"CG"
"260",2018-07-11,19,0,0,NA,"CG"
"261",2018-07-11,20,0,0,NA,"CG"
"262",2018-07-11,21,0,0,NA,"CG"
"263",2018-07-11,22,0,1,NA,"CG"
"264",2018-07-11,23,0,0,NA,"CG"
"265",2018-07-12,0,0,0,NA,"CG"
"266",2018-07-12,1,0,1,NA,"CG"
"267",2018-07-12,2,0,1,NA,"CG"
"268",2018-07-12,3,0,0,NA,"CG"
"269",2018-07-12,4,0,0,NA,"CG"
"270",2018-07-12,5,0,0,NA,"CG"
"271",2018-07-12,6,0,1,NA,"CG"
"272",2018-07-12,7,0,1,NA,"CG"
"273",2018-07-12,8,0,2,NA,"CG"
"274",2018-07-12,9,0,4,"; on/off; ; ","CG"
"275",2018-07-12,10,0,1,NA,"CG"
"276",2018-07-12,11,0,2,"; small","CG"
"277",2018-07-12,12,0,3,"; ; ","CG"
"278",2018-07-12,13,0,0,NA,"CG"
"279",2018-07-12,14,1,1,"; on/off","CG"
"280",2018-07-12,15,0,0,NA,"CG"
"281",2018-07-12,16,0,0,NA,"CG"
"282",2018-07-12,17,0,0,NA,"CG"
"283",2018-07-12,18,0,0,NA,"CG"
"284",2018-07-12,19,0,0,NA,"CG"
"285",2018-07-12,20,0,0,NA,"CG"
"286",2018-07-12,21,0,0,NA,"CG"
"287",2018-07-12,22,0,0,NA,"CG"
"288",2018-07-12,23,0,1,NA,"CG"
"289",2018-07-13,0,0,0,NA,"CG"
"290",2018-07-13,1,0,0,NA,"CG"
"291",2018-07-13,2,0,0,NA,"CG"
"292",2018-07-13,3,0,1,NA,"CG"
"293",2018-07-13,4,0,0,NA,"CG"
"294",2018-07-13,5,0,0,NA,"CG"
"295",2018-07-13,6,0,1,NA,"CG"
"296",2018-07-13,7,1,0,NA,"CG"
"297",2018-07-13,8,0,0,NA,"CG"
"298",2018-07-13,9,0,0,NA,"CG"
"299",2018-07-13,10,0,1,NA,"CG"
"300",2018-07-13,11,0,0,NA,"CG"
"301",2018-07-13,12,0,0,NA,"CG"
"302",2018-07-13,13,0,0,NA,"CG"
"303",2018-07-13,14,0,1,NA,"CG"
"304",2018-07-13,15,0,0,NA,"CG"
"305",2018-07-13,16,0,0,NA,"CG"
"306",2018-07-13,17,0,0,NA,"CG"
"307",2018-07-13,18,0,0,NA,"CG"
"308",2018-07-13,19,0,0,NA,"CG"
"309",2018-07-13,20,0,0,NA,"CG"
"310",2018-07-13,21,0,0,NA,"CG"
"311",2018-07-13,22,0,0,NA,"CG"
"312",2018-07-13,23,0,1,NA,"CG"
"313",2018-07-14,0,0,0,NA,"CG"
"314",2018-07-14,1,0,0,NA,"CG"
"315",2018-07-14,2,0,0,NA,"CG"
