"","Begin_Date","Begin_Hour","Maneuver","Transit","Notes","SiteID"
"1",2019-09-25,0,0,0,NA,"NGS"
"2",2019-09-25,1,0,0,NA,"NGS"
"3",2019-09-25,2,0,0,NA,"NGS"
"4",2019-09-25,3,0,0,NA,"NGS"
"5",2019-09-25,4,0,0,NA,"NGS"
"6",2019-09-25,5,0,0,NA,"NGS"
"7",2019-09-25,6,0,0,NA,"NGS"
"8",2019-09-25,7,0,0,NA,"NGS"
"9",2019-09-25,8,0,0,NA,"NGS"
"10",2019-09-25,9,0,0,NA,"NGS"
"11",2019-09-25,10,0,1,NA,"NGS"
"12",2019-09-25,11,0,0,NA,"NGS"
"13",2019-09-25,12,0,0,NA,"NGS"
"14",2019-09-25,13,0,0,NA,"NGS"
"15",2019-09-25,14,0,0,NA,"NGS"
"16",2019-09-25,15,0,0,NA,"NGS"
"17",2019-09-25,16,0,0,NA,"NGS"
"18",2019-09-25,17,0,0,NA,"NGS"
"19",2019-09-25,18,0,0,NA,"NGS"
"20",2019-09-25,19,0,0,NA,"NGS"
"21",2019-09-25,20,0,0,NA,"NGS"
"22",2019-09-25,21,0,0,NA,"NGS"
"23",2019-09-25,22,0,0,NA,"NGS"
"24",2019-09-25,23,0,0,NA,"NGS"
"25",2019-09-26,0,0,0,NA,"NGS"
"26",2019-09-26,1,0,0,NA,"NGS"
"27",2019-09-26,2,0,0,NA,"NGS"
"28",2019-09-26,3,0,0,NA,"NGS"
"29",2019-09-26,4,0,0,NA,"NGS"
"30",2019-09-26,5,0,0,NA,"NGS"
"31",2019-09-26,6,0,0,NA,"NGS"
"32",2019-09-26,7,0,0,NA,"NGS"
"33",2019-09-26,8,0,0,NA,"NGS"
"34",2019-09-26,9,0,0,NA,"NGS"
"35",2019-09-26,10,0,1,NA,"NGS"
"36",2019-09-26,11,0,0,NA,"NGS"
"37",2019-09-26,12,0,0,NA,"NGS"
"38",2019-09-26,13,0,0,NA,"NGS"
"39",2019-09-26,14,0,0,NA,"NGS"
"40",2019-09-26,15,0,0,NA,"NGS"
"41",2019-09-26,16,0,0,NA,"NGS"
"42",2019-09-26,17,0,0,NA,"NGS"
"43",2019-09-26,18,0,0,NA,"NGS"
"44",2019-09-26,19,0,0,NA,"NGS"
"45",2019-09-26,20,0,0,NA,"NGS"
"46",2019-09-26,21,0,0,NA,"NGS"
"47",2019-09-26,22,0,0,NA,"NGS"
"48",2019-09-26,23,0,0,NA,"NGS"
"49",2019-09-27,0,0,0,NA,"NGS"
"50",2019-09-27,1,0,0,NA,"NGS"
"51",2019-09-27,2,0,0,NA,"NGS"
"52",2019-09-27,3,0,0,NA,"NGS"
"53",2019-09-27,4,0,0,NA,"NGS"
"54",2019-09-27,5,0,0,NA,"NGS"
"55",2019-09-27,6,0,0,NA,"NGS"
"56",2019-09-27,7,0,0,NA,"NGS"
"57",2019-09-27,8,0,0,NA,"NGS"
"58",2019-09-27,9,0,0,NA,"NGS"
"59",2019-09-27,10,0,1,NA,"NGS"
"60",2019-09-27,11,0,0,NA,"NGS"
"61",2019-09-27,12,0,0,NA,"NGS"
"62",2019-09-27,13,0,0,NA,"NGS"
"63",2019-09-27,14,0,0,NA,"NGS"
"64",2019-09-27,15,0,0,NA,"NGS"
"65",2019-09-27,16,0,0,NA,"NGS"
"66",2019-09-27,17,0,0,NA,"NGS"
"67",2019-09-27,18,0,0,NA,"NGS"
"68",2019-09-27,19,0,0,NA,"NGS"
"69",2019-09-27,20,0,0,NA,"NGS"
"70",2019-09-27,21,0,0,NA,"NGS"
"71",2019-09-27,22,0,0,NA,"NGS"
"72",2019-09-27,23,0,0,NA,"NGS"
"73",2019-09-28,0,0,0,NA,"NGS"
"74",2019-09-28,1,0,0,NA,"NGS"
"75",2019-09-28,2,0,0,NA,"NGS"
"76",2019-09-28,3,0,0,NA,"NGS"
"77",2019-09-28,4,0,0,NA,"NGS"
"78",2019-09-28,5,0,0,NA,"NGS"
"79",2019-09-28,6,0,0,NA,"NGS"
"80",2019-09-28,7,0,0,NA,"NGS"
"81",2019-09-28,8,0,0,NA,"NGS"
"82",2019-09-28,9,0,0,NA,"NGS"
"83",2019-09-28,10,0,1,NA,"NGS"
"84",2019-09-28,11,0,0,NA,"NGS"
"85",2019-09-28,12,0,0,NA,"NGS"
"86",2019-09-28,13,0,0,NA,"NGS"
"87",2019-09-28,14,0,0,NA,"NGS"
"88",2019-09-28,15,0,0,NA,"NGS"
"89",2019-09-28,16,0,0,NA,"NGS"
"90",2019-09-28,17,0,0,NA,"NGS"
"91",2019-09-28,18,0,0,NA,"NGS"
"92",2019-09-28,19,0,0,NA,"NGS"
"93",2019-09-28,20,0,0,NA,"NGS"
"94",2019-09-28,21,0,0,NA,"NGS"
"95",2019-09-28,22,0,0,NA,"NGS"
"96",2019-09-28,23,0,0,NA,"NGS"
"97",2019-09-29,0,0,1,"very faint","NGS"
"98",2019-09-29,1,0,0,NA,"NGS"
"99",2019-09-29,2,0,0,NA,"NGS"
"100",2019-09-29,3,0,0,NA,"NGS"
"101",2019-09-29,4,0,0,NA,"NGS"
"102",2019-09-29,5,0,0,NA,"NGS"
"103",2019-09-29,6,0,0,NA,"NGS"
"104",2019-09-29,7,0,0,NA,"NGS"
"105",2019-09-29,8,0,0,NA,"NGS"
