PROJECT_NAME,Recording schedule,Issues?,HOURS_FROM_UTC_files,HOURS_FROM_UTC_local,Start date,End date,N days,Depth_m,SerialNo,Sensitivity,Lat_DD,Lon_DD,Sound_level_HMD,Baleen_hp,Dolphin_hp,Fish_hp,Shrimp_hp,Vessel_hp,Sound_level_PSD,Sound_level_TOL,Sound_level_BB
PARKSAUSTRALIA_CGMP_201807_CG,Continuous,,10,10,2018-07-01,2018-08-04,34,37,805355546,173,-31.681,152.91,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_CGMP_201812_CG,Duty cycled,Clipped calibration tones with mismatched timestamps,11,11,2018-12-12,2019-02-20,70,37,805355546,173,-31.681,152.91,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_CGMP_201904_CG,Duty cycled,Need to clip calibration tones,10,10,2019-04-11,2019-06-24,74,37,805355546,173,-31.681,152.91,Pypam,manual,WMD,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_DAMPIER_202009_DNE,Continuous,,10,8,2020-09-09,2020-11-04,56,32,5459,176.6,-20.197,117.054,Pypam,manual,In progress,manual,Not started,Ship detector,PAMGuide,PAMGuide,
PARKSAUSTRALIA_DAMPIER_202009_DSW,Continuous,re-run pypam? wrong lat/lon (can we update this some other way?),10,8,2020-09-09,2020-11-04,56,30,5458,176.7,-20.21,117.044,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_GEOGRAPHE_202201_GEO,Continuous,,0,8,2022-01-12,2022-04-03,81,12,5458,176.7,-33.55158,115.3859,Pypam,Not started,Not started,Not started,Not started,Ship detector,,PAMGuide,
PARKSAUSTRALIA_JURIEN_202201_JNE,Continuous,,1,8,2022-01-05,2022-03-10,64,164,805830683,172.7,-30.678,114.753,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_JURIEN_202201_JSE,Continuous,,1,8,2022-01-05,2022-02-12,38,168,805568538,172.4,-30.706,114.753,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_MURAT_202002_MRE,Continuous,,10.5,10.5,2020-02-08,2020-05-03,85,60,5459,176.6,-32.584,132.63,MANTA & Pypam,manual (subsample),WMD,manual,Not started,Ship detector,,,
PARKSAUSTRALIA_MURAT_202002_MRW,Continuous,,10.5,10.5,2020-02-08,2020-04-25,77,56,5458,176.7,-32.633,132.564,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_NINGALOO_201909_NGN,Continuous,,0,8,2019-09-25,2019-11-17,53,97,805830683,172.7,-22.70498,113.54605,Pypam,manual,WMD,manual,Not started,Ship detector,PAMGuide,,PAMGuide
PARKSAUSTRALIA_NINGALOO_201909_NGS,Continuous,,0,8,2019-09-25,2019-11-18,54,70,805355546,173,-22.73808,113.55698,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_SIMP_201808_EP,Continuous,,10,10,2018-08-10,2018-09-12,33,42,805830683,172.7,-29.698,153.398,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_SIMP_201808_WP,Continuous,,10,10,2018-08-10,2018-09-11,32,42,805568538,172.4,-29.698,153.397,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_SIMP_201812_EP,Duty cycled,Clipped calibration tones with mismatched timestamps,11,11,2018-12-12,2019-01-15,34,42,805830683,172.7,-29.698,153.398,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_SIMP_201812_WP,Duty cycled,Clipped calibration tones with mismatched timestamps,11,11,2018-12-12,2019-01-15,34,42,805568538,172.4,-29.698,153.397,Pypam,manual,manual,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_SIMP_201906_EP,Continuous,,10,10,2019-06-11,2019-06-30,19,42,805830683,172.7,-29.698,153.398,Pypam,Not started,Not started,Not started,Not started,manual,,,
PARKSAUSTRALIA_SIMP_201906_WP,Duty cycled,**missing individual selection tables??**,10,10,2019-06-10,2019-08-09,60,42,805568538,172.4,-29.698,153.397,Pypam,manual,WMD,manual,manual,manual,PAMGuide,PAMGuide,PAMGuide
PARKSAUSTRALIA_SWC_202201_SWS,Continuous,,0,8,2022-01-18,2022-04-11,83,143,5459,176.6,-33.675,114.579,MANTA & Pypam,manual,WMD,manual,Not started,Ship detector,,,
PARKSAUSTRALIA_TWOROCKS_202105_TRE,Continuous,,0,8,2021-05-10,2021-07-25,76,31,5458,176.7,-31.712,115.614,Pypam,Not started,Not started,Not started,Not started,Ship detector,,,
PARKSAUSTRALIA_TWOROCKS_202105_TRW,Continuous,,0,8,2021-05-10,2021-08-02,84,33,5459,176.6,-31.711,115.583,Pypam,manual,WMD,manual,Not started,Ship detector,,PAMGuide,
