"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 934 4520.014589279 0 8154.762 "2018/7/1" "15:00:01.0000" "15:59:47.0146" 3586.0146 "Maneuver+CPA" "this is the park boat" 2018-07-01
1 "Spectrogram 1" 1 31828.335757588 32182.554732193 119.5 4342.6 "2018/7/3" "11:35:04.3358" "11:40:58.5547" 354.219 "CPA" NA 2018-07-03
2 "Spectrogram 1" 1 125144.67152351 126613.445244891 119.5 4322.7 "2018/7/4" "13:30:16.6715" "13:54:45.4452" 1468.7737 "DTransit" NA 2018-07-03
3 "Spectrogram 1" 1 162648.065692381 163444.664215328 179.3 2848.6 "2018/7/4" "23:55:17.0657" "0:08:34.6642" 796.5985 "DTransit" NA 2018-07-03
1 "Spectrogram 1" 1 13864.072981813 14449.445244891 139.442 5996.016 "2018/7/5" "6:35:22.0730" "6:45:07.4452" 585.3723 "CTransit" "" 2018-07-05
2 "Spectrogram 1" 1 17900.014587196 18767.562025791 119.522 3964.143 "2018/7/5" "7:42:38.0146" "7:57:05.5620" 867.5474 "DTransit" "" 2018-07-05
3 "Spectrogram 1" 1 24697.445244891 25149.810212287 1294.821 1892.43 "2018/7/5" "9:35:54.4452" "9:43:26.8102" 452.365 "DTransit" "on/off" 2018-07-05
4 "Spectrogram 1" 1 26213.649617716 26681.649619799 139.442 4482.072 "2018/7/5" "10:01:10.6496" "10:08:58.6496" 468 "DTransit" "" 2018-07-05
5 "Spectrogram 1" 1 27637.357650882 27688.335747172 617.53 2669.323 "2018/7/5" "10:24:54.3577" "10:25:45.3357" 50.9781 "DTransit" "" 2018-07-05
6 "Spectrogram 1" 1 29163.810216454 29300.846696943 99.602 6115.538 "2018/7/5" "10:50:20.8102" "10:52:37.8467" 137.0365 "Maneuver+TransitA" "" 2018-07-05
7 "Spectrogram 1" 1 31111.883208683 31259.167863169 0 5657.371 "2018/7/5" "11:22:48.8832" "11:25:15.1679" 147.2847 "Maneuver+TransitA" "" 2018-07-05
8 "Spectrogram 1" 1 31753.379555125 32112.065682497 657.371 2569.721 "2018/7/5" "11:33:30.3796" "11:39:28.0657" 358.6861 "DTransit" "" 2018-07-05
9 "Spectrogram 1" 1 32418.854005657 32609.890498647 199.203 5836.653 "2018/7/5" "11:44:35.8540" "11:47:46.8905" 191.0365 "Maneuver+TransitA" "" 2018-07-05
10 "Spectrogram 1" 1 32772.678819723 32955.437941408 458.167 2629.482 "2018/7/5" "11:50:29.6788" "11:53:32.4379" 182.7591 "DTransit" "" 2018-07-05
11 "Spectrogram 1" 1 34296.240855931 34920.065676247 0 9541.833 "2018/7/5" "12:15:53.2409" "12:26:16.0657" 623.8248 "Maneuver+CPA" "" 2018-07-05
