"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 2469.538 2547.572 0 3588.2 "2018/12/12" "10:15:10.5380" "10:16:28.5720" 78.034 "TransitB" "n" "TB because it's so faint despite harmonics" "2018/12/12"
2 "Spectrogram 1" 1 3603.017 4016.887 19.6 3411.8 "2018/12/12" "11:04:03.0170" "11:10:57.8870" 413.87 "TransitB" "y" "maybe TA? -- nope TB was right" "2018/12/12"
3 "Spectrogram 1" 1 5472.455 5760.13 39.2 4352.9 "2018/12/12" "12:05:13.4550" "12:10:01.1300" 287.675 "TransitB" "n" "" "2018/12/12"
4 "Spectrogram 1" 1 6348.355 6500.471 117.6 3862.7 "2018/12/12" "12:19:49.3550" "12:22:21.4710" 152.116 "TransitB" "n" "" "2018/12/12"
5 "Spectrogram 1" 1 6786.104 7136.376 0 2627.5 "2018/12/12" "12:27:07.1040" "12:32:57.3760" 350.272 "TransitB" "unk" "too faint to get RL" "2018/12/12"
1 "Spectrogram 1" 1 5547.525 5731.244 19.6 1519.6 "2018/12/13" "3:06:28.525" "3:09:32.244" 183.72 "TransitB" "n" NA "2018/12/13"
2 "Spectrogram 1" 1 13285.697 14400.058 0 3549 "2018/12/13" "7:15:26.697" "7:34:00.058" 1114.361 "TransitB" "y" NA "2018/12/13"
1 "Spectrogram 1" 1 18118.236 19625.52 0 1185.4 "2018/12/16" "10:05:58.2355" "10:31:06.5198" 1507.2843 "TransitB" "unk" NA "2018/12/16"
1 "Spectrogram 1" 1 28803.538 29590.179 0 3607.8 "2018/12/17" "16:04:03.5376" "16:17:10.1791" 786.6416 "TransitB" "y" NA "2018/12/17"
1 "Spectrogram 1" 1 5403.495 7200.123 0 2294.1 "2018/12/18" "3:04:04.4950" "3:34:01.1230" 1796.628 "TransitB" "y" "" "2018/12/18"
2 "Spectrogram 1" 1 7203.535 8999.828 0 3156.9 "2018/12/18" "4:04:04.5350" "4:34:00.8280" 1796.293 "TransitA" "y" "" "2018/12/18"
3 "Spectrogram 1" 1 10803.106 12599.932 0 3921.6 "2018/12/18" "6:04:03.1060" "6:34:00.9320" 1796.826 "TransitB" "y" "" "2018/12/18"
4 "Spectrogram 1" 1 14403.782 14952.86 9.8 1960.8 "2018/12/18" "8:04:04.7820" "8:13:13.8600" 549.078 "TransitB" "y" "too faint for Matlab clips" "2018/12/18"
5 "Spectrogram 1" 1 16308.973 16711.137 39.2 2372.5 "2018/12/18" "9:05:49.9730" "9:12:31.1370" 402.164 "TransitB" "n" "" "2018/12/18"
6 "Spectrogram 1" 1 25352.36 27000.582 0 3529.4 "2018/12/18" "14:06:32.3600" "14:34:00.5820" 1648.222 "TransitA+Maneuver" "y" "" "2018/12/18"
7 "Spectrogram 1" 1 33885.389 34200.467 2902 4352.9 "2018/12/18" "18:28:45.3890" "18:34:00.4670" 315.078 "TransitB" "y" "" "2018/12/18"
8 "Spectrogram 1" 1 34203.979 36000.448 39.2 3568.6 "2018/12/18" "19:04:04.9790" "19:34:00.4480" 1796.469 "TransitA" "y" "" "2018/12/18"
9 "Spectrogram 1" 1 40828.349 41400.617 1333.3 2117.6 "2018/12/18" "22:24:28.3490" "22:34:00.6170" 572.268 "TransitB" "y" "" "2018/12/18"
1 "Spectrogram 1" 1 9003.121 9186.061 77.8 8832.7 "2018/12/19" "5:04:03.1210" "5:07:06.0610" 182.94 "TransitA+Maneuver" "y" "" "2018/12/19"
2 "Spectrogram 1" 1 9984.616 10800.078 48.6 2626.5 "2018/12/19" "5:20:25.6160" "5:34:00.0780" 815.462 "TransitB" "y" "" "2018/12/19"
3 "Spectrogram 1" 1 10802.465 12600.124 58.4 4455.3 "2018/12/19" "6:04:03.4650" "6:34:00.1240" 1797.659 "TransitA+Maneuver" "y" "" "2018/12/19"
4 "Spectrogram 1" 1 12603.436 14183.43 0 4552.5 "2018/12/19" "7:04:04.4360" "7:30:24.4300" 1579.994 "TransitA" "y" "" "2018/12/19"
5 "Spectrogram 1" 1 14403.28 16105.445 38.9 15155.6 "2018/12/19" "8:04:03.2800" "8:32:26.4450" 1702.165 "TransitA+Maneuver" "y" "" "2018/12/19"
6 "Spectrogram 1" 1 16203.093 18000.263 38.9 4649.8 "2018/12/19" "9:04:03.0930" "9:34:00.2630" 1797.17 "TransitA+Maneuver" "y" "" "2018/12/19"
7 "Spectrogram 1" 1 19008.627 19799.95 155.6 3891.1 "2018/12/19" "10:20:49.6270" "10:34:00.9500" 791.323 "TransitB" "y" "" "2018/12/19"
8 "Spectrogram 1" 1 20869.457 20991.581 38.9 3035 "2018/12/19" "11:21:49.4570" "11:23:52.5810" 122.124 "TransitB" "n" "" "2018/12/19"
9 "Spectrogram 1" 1 21292.301 21600.044 68.1 3025.3 "2018/12/19" "11:28:52.3010" "11:34:00.0440" 307.743 "TransitB" "y" "" "2018/12/19"
10 "Spectrogram 1" 1 21603.489 21805.027 87.5 2500 "2018/12/19" "12:04:03.4890" "12:07:25.0270" 201.538 "TransitB" "y" "" "2018/12/19"
11 "Spectrogram 1" 1 23403.567 24522.142 97.3 3988.3 "2018/12/19" "13:04:04.5670" "13:22:42.1420" 1118.575 "TransitA" "y" "" "2018/12/19"
12 "Spectrogram 1" 1 25303.01 25601.908 77.8 4533.1 "2018/12/19" "14:05:43.0100" "14:10:42.9080" 298.898 "TransitB" "unk" "" "2018/12/19"
