"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 1342.80744661 3474.521729348 86.382 24000 "2020/9/9" "10:58:31.8074" "11:34:03.5217" 2131.7143 "CPA+Maneuver" NA "Patrol Boat" "2020/9/9"
2 "Spectrogram 1" 1 4590.515514117 24540.329178041 207.317 2371.951 "2020/9/9" "11:52:39.5155" "17:25:09.3292" 19949.8137 "TransitB" NA "Masked by hbw, no sc because self noise and ambient noise occurs throughout" "2020/9/9"
3 "Spectrogram 1" 1 31527.354015217 37055.925448486 114.743 2782.53 "2020/9/9" "19:21:36.3540" "20:53:44.9254" 5528.5714 "TransitA" NA "LTSA" "2020/9/9"
1 "Spectrogram 1" 1 19503.863343659 20019.43476404 172.414 3570.027 "2020/9/10" "10:00:44.8633" "10:09:20.4348" 515.5714 "TransitB" NA "" "2020/9/10"
2 "Spectrogram 1" 1 20422.279499948 22116.180112513 786.585 3544.157 "2020/9/10" "10:16:03.2795" "10:44:16.1801" 1693.9006 "TransitA" NA "" "2020/9/10"
3 "Spectrogram 1" 1 22422.509311387 28804.788811335 500.149 3570.027 "2020/9/10" "10:49:22.5093" "12:35:45.7888" 6382.2795 "TransitA" NA "" "2020/9/10"
4 "Spectrogram 1" 1 29148.111792896 29496.372654089 457.032 5104.966 "2020/9/10" "12:41:28.1118" "12:47:16.3727" 348.2609 "TransitB" NA "no soundclip bc sn throughout" "2020/9/10"
5 "Spectrogram 1" 1 35719.422343996 35952.080739661 353.659 3804.878 "2020/9/10" "14:30:59.4223" "14:34:52.0807" 232.6584 "TransitB" NA "NO SOUNDCLIP BC SN THROUGHOUT" "2020/9/10"
6 "Spectrogram 1" 1 52807.111788043 53177.285695743 530.33 1655.7 "2020/9/10" "19:15:46.1118" "19:21:56.2857" 370.1739 "TransitB" NA "NO SOUNDCLIP BC AMBIENT THROUGHOUT" "2020/9/10"
8 "Spectrogram 1" 1 29834.57141369 33172.621091783 243.83 2581.729 "2020/9/10" "12:52:55.5714" "13:48:33.6211" 3338.0497 "TransitA+Maneuver" NA "LTSA" "2020/9/10"
7 "Spectrogram 1" 1 78179.527934161 78372.496893427 61 530.33 "2020/9/11" "2:18:37.5279" "2:21:50.4969" 192.969 "TransitB" NA "NO SOUNDCLIP BC AMBIENT THROUGHOUT" "2020/9/10"
1 "Spectrogram 1" 1 23434.617993595 24527.97824278 1241.748 1634.107 "2020/9/11" "11:06:00.6180" "11:24:13.9782" 1093.3602 "TransitB" NA "not sure if this is vessel or more self noise occuring at 1.5 kHz" "2020/9/11"
2 "Spectrogram 1" 1 46950.614899469 49941.298081056 286.585 2552.483 "2020/9/11" "17:37:55.6149" "18:27:45.2981" 2990.6832 "TransitB" NA "self noise also occuring,  NO SOUNDCLIP BC SN THROUGHOUT" "2020/9/11"
3 "Spectrogram 1" 1 50667.329188458 51099.664579645 295.346 1336.604 "2020/9/11" "18:39:51.3292" "18:47:04.6646" 432.3354 "TransitB" NA "" "2020/9/11"
6 "Spectrogram 1" 1 5744.832290864 7062.968934265 100.401 2302.041 "2020/9/11" "6:11:11.8323" "6:33:09.9689" 1318.1366 "TransitB" NA "LTSA" "2020/9/11"
7 "Spectrogram 1" 1 30075.981356392 30340.950267741 286.859 8060.73 "2020/9/11" "12:56:41.9814" "13:01:06.9503" 264.9689 "TransitA+Maneuver" NA "LTSA" "2020/9/11"
8 "Spectrogram 1" 1 31045.409898344 41117.552778416 197.933 9408.967 "2020/9/11" "13:12:51.4099" "16:00:43.5528" 10072.1429 "TransitA+Maneuver" NA "LTSA" "2020/9/11"
4 "Spectrogram 1" 1 77596.024844255 78339.279491615 128.049 591.463 "2020/9/12" "2:08:39.0248" "2:21:02.2795" 743.2546 "TransitB" NA "self noise also occuring" "2020/9/11"
5 "Spectrogram 1" 1 79347.428557143 80321.217376812 128.049 579.268 "2020/9/12" "2:37:50.4286" "2:54:04.2174" 973.7888 "TransitB" NA "self noise also occuring,  NO SOUNDCLIP BC SN THROUGHOUT" "2020/9/11"
1 "Spectrogram 1" 1 17664.93788103 18448.21736787 741.87 9917.864 "2020/9/12" "9:29:43.9379" "9:42:47.2174" 783.2795 "TransitA+Maneuver" NA "M at 9:41:47" "2020/9/12"
2 "Spectrogram 1" 1 30882.925446403 31113.906823628 890.244 5913.758 "2020/9/12" "13:10:01.9254" "13:13:52.9068" 230.9814 "TransitA" NA "" "2020/9/12"
3 "Spectrogram 1" 1 34285.422350246 35982.006192314 77.609 13967.9 "2020/9/12" "14:06:43.4224" "14:35:00.0062" 1696.5838 "TransitA+Maneuver" NA "M at 14:16:38, 14:18:33" "2020/9/12"
4 "Spectrogram 1" 1 36543.931667883 37121.832278364 82.64 9445.585 "2020/9/12" "14:44:22.9317" "14:54:00.8323" 577.9006 "TransitA" NA "" "2020/9/12"
6 "Spectrogram 1" 1 26291.515512034 28355.25464736 202.84 13144.016 "2020/9/12" "11:53:29.5155" "12:27:53.2546" 2063.7391 "TransitA+Maneuver" NA "LTSA" "2020/9/12"
