"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
2 "Spectrogram 1" 1 642.55900198 1036.881968685 24.39 24000 "2022/1/12" "2:26:42.5590" "2:33:16.8820" 394.323 "Transit" NA "" "2022/1/12"
3 "Spectrogram 1" 1 1033.416137099 1992.204957777 24.39 24000 "2022/1/12" "2:33:13.4161" "2:49:12.2050" 958.7888 "Maneuver" NA "" "2022/1/12"
4 "Spectrogram 1" 1 1484.211169915 1903.614897386 189.712 4390.244 "2022/1/12" "2:40:44.2112" "2:47:43.6149" 419.4037 "Transit" NA "" "2022/1/12"
5 "Spectrogram 1" 1 1883.031046985 2838.558987396 12.195 11555.16 "2022/1/12" "2:47:23.0310" "3:03:18.5590" 955.5279 "Maneuver" NA "" "2022/1/12"
6 "Spectrogram 1" 1 7895.515514117 8299.802779205 15.091 24000 "2022/1/12" "4:27:35.5155" "4:34:19.8028" 404.2873 "Transit" NA "" "2022/1/12"
7 "Spectrogram 1" 1 81892.111886247 82977.020964088 18.546 20652.819 "2022/1/13" "1:00:48.1119" "1:18:53.0210" 1084.9091 "Maneuver" NA "" "2022/1/12"
8 "Spectrogram 1" 1 3397.256876815 3895.164262426 14.372 4182.278 "2022/1/12" "3:12:37.2569" "3:20:55.1643" 497.9074 "Transit" NA "LTSA" "2022/1/12"
9 "Spectrogram 1" 1 4473.616314797 5385.325233565 35.93 14512.195 "2022/1/12" "3:30:33.6163" "3:45:45.3252" 911.7089 "Transit" NA "LTSA" "2022/1/12"
10 "Spectrogram 1" 1 5777.196248346 6615.476288072 14.372 4115.854 "2022/1/12" "3:52:17.1962" "4:06:15.4763" 838.28 "Maneuver" NA "LTSA" "2022/1/12"
11 "Spectrogram 1" 1 10850.604122186 11497.253278064 20.261 4214.275 "2022/1/12" "5:16:50.6041" "5:27:37.2533" 646.6492 "Maneuver" NA "LTSA" "2022/1/12"
12 "Spectrogram 1" 1 13478.024381098 13875.98309674 20.261 3160.707 "2022/1/12" "6:00:38.0244" "6:07:15.9831" 397.9587 "Maneuver" NA "LTSA" "2022/1/12"
13 "Spectrogram 1" 1 16394.266413598 17379.521563888 14.327 254.298 "2022/1/12" "6:49:14.2664" "7:05:39.5216" 985.2552 "Transit" NA "LTSA" "2022/1/12"
1 "Spectrogram 1" 1 69208.855547891 70282.8621513 2880.167 3199.227 "2022/1/13" "20:59:02.8555" "21:16:56.8622" 1074.0066 "Transit" NA "" "2022/1/13"
2 "Spectrogram 1" 1 70057.025351261 70844.205059836 28.744 24000 "2022/1/13" "21:13:10.0254" "21:26:18.2051" 787.1797 "Maneuver" NA "" "2022/1/13"
3 "Spectrogram 1" 1 71549.323025485 72302.765141492 17.247 21937.557 "2022/1/13" "21:38:03.3230" "21:50:36.7651" 753.4421 "Transit" NA "" "2022/1/13"
4 "Spectrogram 1" 1 80272.004395328 80924.226005513 27.778 24000 "2022/1/14" "0:03:25.0044" "0:14:18.2260" 652.2216 "Transit" NA "" "2022/1/13"
5 "Spectrogram 1" 1 80938.400220163 81046.191832185 21.341 2890.244 "2022/1/14" "0:14:32.4002" "0:16:20.1918" 107.7916 "Maneuver" NA "" "2022/1/13"
6 "Spectrogram 1" 1 81058.415090638 81480.174188373 21.606 22834.375 "2022/1/14" "0:16:32.4151" "0:23:34.1742" 421.7591 "Transit" NA "" "2022/1/13"
7 "Spectrogram 1" 1 81479.975731946 81682.893043504 27.499 24000 "2022/1/14" "0:23:33.9757" "0:26:56.8930" 202.9173 "Maneuver" NA "" "2022/1/13"
8 "Spectrogram 1" 1 81615.814771224 82073.281134452 15.278 24000 "2022/1/14" "0:25:49.8148" "0:33:27.2811" 457.4664 "Transit" NA "" "2022/1/13"
9 "Spectrogram 1" 1 83137.085990146 83735.809240605 15.713 21747.462 "2022/1/14" "0:51:10.0860" "1:01:09.8092" 598.7233 "Transit" NA "" "2022/1/13"
10 "Spectrogram 1" 1 817.260787152 1587.512180132 2098.214 3645.833 "2022/1/13" "1:59:14.2608" "2:12:04.5122" 770.2514 "Maneuver" NA "LTSA" "2022/1/13"
11 "Spectrogram 1" 1 66883.512190549 68368.69792849 36.828 3556.579 "2022/1/13" "20:20:17.5122" "20:45:02.6979" 1485.1857 "Maneuver" NA "LTSA" "2022/1/13"
12 "Spectrogram 1" 1 73712.213878791 74961.099430308 111.607 5177.032 "2022/1/13" "22:14:06.2139" "22:34:54.0994" 1248.8856 "Maneuver" NA "LTSA" "2022/1/13"
