"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 1340.624485639 5277.047218225 36.288 16091.345 "2022/1/5" "2:53:20.6245" "3:58:57.0472" 3936.4227 "Maneuver" NA "" 2022-01-05
2 "Spectrogram 1" 1 54559.389902972 57764.650909594 33.696 751.69 "2022/1/5" "17:40:18.3899" "18:33:43.6509" 3205.261 "Transit" NA "faint" 2022-01-05
3 "Spectrogram 1" 1 67724.241776972 71638.903102949 46.657 1171.599 "2022/1/5" "21:19:42.2418" "22:24:56.9031" 3914.6613 "Transit" NA "" 2022-01-05
4 "Spectrogram 1" 1 79788.23937887 81675.025614475 18.328 18247.917 "2022/1/6" "0:40:46.2394" "1:12:13.0256" 1886.7862 "Maneuver" NA "" 2022-01-05
1 "Spectrogram 1" 1 5820.773417951 8001.362675874 29.326 8460.398 "2022/1/6" "4:00:20.7734" "4:36:41.3627" 2180.5893 "Transit" NA NA 2022-01-06
2 "Spectrogram 1" 1 49212.344275704 50810.32344619 43.988 1145.679 "2022/1/6" "16:03:29.3443" "16:30:07.3234" 1597.9792 "Transit" NA NA 2022-01-06
1 "Spectrogram 1" 1 5177.644497598 8232.009592407 25.66 1693.548 "2022/1/7" "3:49:19.6445" "4:40:14.0096" 3054.3651 "Transit" NA NA 2022-01-07
2 "Spectrogram 1" 1 11224.795828012 15130.810237457 20.736 24000 "2022/1/7" "5:30:06.7958" "6:35:12.8102" 3906.0144 "Transit" NA NA 2022-01-07
3 "Spectrogram 1" 1 39295.182532693 54778.064832082 51.32 11906.158 "2022/1/7" "13:17:55.1825" "17:35:57.0648" 15482.8823 "Transit" NA NA 2022-01-07
4 "Spectrogram 1" 1 70077.39790359 71578.632486256 38.881 824.267 "2022/1/7" "21:50:55.3979" "22:15:56.6325" 1501.2346 "Transit" NA NA 2022-01-07
5 "Spectrogram 1" 1 72450.969561066 73012.485961066 41.473 850.44 "2022/1/7" "22:30:29.9696" "22:39:50.4860" 561.5164 "Transit" NA NA 2022-01-07
6 "Spectrogram 1" 1 73181.889499817 76340.841454447 23.328 1420.434 "2022/1/7" "22:42:39.8895" "23:35:18.8415" 3158.952 "Maneuver" NA NA 2022-01-07
7 "Spectrogram 1" 1 76515.211364175 77667.081660462 41.473 1586.325 "2022/1/7" "23:38:13.2114" "23:57:25.0817" 1151.8703 "Maneuver" NA NA 2022-01-07
8 "Spectrogram 1" 1 77959.376297722 78087.365092691 51.841 2892.71 "2022/1/8" "0:02:17.3763" "0:04:25.3651" 127.9888 "Maneuver" NA NA 2022-01-07
9 "Spectrogram 1" 1 78238.830249416 82630.05924221 29.326 1840.176 "2022/1/8" "0:06:56.8302" "1:20:08.0592" 4391.229 "Maneuver" NA NA 2022-01-07
10 "Spectrogram 1" 1 84045.385892247 86038.255400937 46.657 19326.203 "2022/1/8" "1:43:43.3859" "2:16:56.2554" 1992.8695 "Maneuver" NA NA 2022-01-07
1 "Spectrogram 1" 1 6111.02160375 6875.769407226 36.657 744.135 "2022/1/8" "4:04:43.0216" "4:17:27.7694" 764.7478 "Transit" NA NA 2022-01-08
1 "Spectrogram 1" 1 25272.86147523 30344.076843425 21.994 806.452 "2022/1/9" "9:23:52.8615" "10:48:24.0768" 5071.2154 "Transit" "" NA 2022-01-09
2 "Spectrogram 1" 1 53626.287424239 58240.686134141 36.657 1165.689 "2022/1/9" "17:16:24.2874" "18:33:19.6861" 4614.3987 "Transit" "" NA 2022-01-09
3 "Spectrogram 1" 1 68252.205763778 75594.425130688 27.493 24000 "2022/1/9" "21:20:09.2058" "23:22:31.4251" 7342.2194 "Transit" "" NA 2022-01-09
