"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 2928.217805934 3988.663351846 46.154 11938.462 "2022/1/5" "1:48:48.2178" "2:06:28.6634" 1060.4455 "Maneuver" "" "" "2022/1/5"
2 "Spectrogram 1" 1 3929.504940113 4868.712851932 65.271 8615.824 "2022/1/5" "2:05:29.5049" "2:21:08.7129" 939.2079 "Maneuver" "" "" "2022/1/5"
3 "Spectrogram 1" 1 5514.504943396 10084.455439838 38.462 16709.477 "2022/1/5" "2:31:54.5049" "3:48:04.4554" 4569.9505 "Maneuver" "" "" "2022/1/5"
4 "Spectrogram 1" 1 60721.128708557 64312.069296995 34.615 1376.139 "2022/1/5" "17:51:59.1287" "18:51:49.0693" 3590.9406 "Transit" "" "?" "2022/1/5"
5 "Spectrogram 1" 1 67908.019789965 78398.663357054 46.154 1000.828 "2022/1/5" "19:51:45.0198" "22:46:36.6634" 10490.6436 "Maneuver" "" "?" "2022/1/5"
6 "Spectrogram 1" 1 79400.009883698 80008.27722444 43.514 19407.362 "2022/1/5" "23:03:17.0099" "23:13:25.2772" 608.2673 "Maneuver" "" "?" "2022/1/5"
7 "Spectrogram 1" 1 82415.990093733 87035.198012497 48.954 18624.105 "2022/1/5" "23:53:33.9901" "1:10:31.1980" 4619.2079 "Maneuver" "" "?" "2022/1/5"
8 "Spectrogram 1" 1 96749.485146676 100744.089092169 32.636 10338.462 "2022/1/6" "3:52:25.4851" "4:59:00.0891" 3994.6039 "Transit" "" "?" "2022/1/5"
9 "Spectrogram 1" 1 183781.857134673 186227.613436099 27.473 1002.747 "2022/1/7" "4:02:53.8571" "4:43:39.6134" 2445.7563 "Transit" "" "LTSA" "2022/1/5"
10 "Spectrogram 1" 1 187205.537803353 193395.999989583 19.426 24000 "2022/1/7" "4:59:57.5378" "6:43:06.0000" 6190.4622 "Transit" "" "?" "2022/1/5"
11 "Spectrogram 1" 1 218607.348726694 233716.004189667 38.852 7925.812 "2022/1/7" "13:43:17.3487" "17:55:05.0042" 15108.6555 "Transit" "" "" "2022/1/5"
12 "Spectrogram 1" 1 256963.584014684 259376.882335172 34.341 1524.725 "2022/1/8" "0:22:32.5840" "1:02:44.8823" 2413.2983 "Transit" "" "?" "2022/1/5"
13 "Spectrogram 1" 1 261845.983189251 263307.222677324 82.418 17032.967 "2022/1/8" "1:43:53.9832" "2:08:14.2227" 1461.2395 "Transit" "" "" "2022/1/5"
14 "Spectrogram 1" 1 375716.686959996 381252.758397869 38.852 8131.868 "2022/1/9" "9:21:37.6870" "10:53:53.7584" 5536.0714 "Transit" "" "?" "2022/1/5"
15 "Spectrogram 1" 1 404939.999984375 409540.084017288 38.852 961.538 "2022/1/9" "17:28:40.0000" "18:45:19.0840" 4600.084 "Maneuver" "" "?" "2022/1/5"
16 "Spectrogram 1" 1 419520.240021177 426783.655850884 19.155 24000 "2022/1/9" "21:31:39.2400" "23:32:42.6559" 7263.4158 "Transit" "" "" "2022/1/5"
17 "Spectrogram 1" 1 433908.069292629 440429.851486696 43.784 7244.582 "2022/1/10" "1:31:25.0693" "3:20:07.8515" 6521.7822 "Maneuver" "" "?" "2022/1/5"
18 "Spectrogram 1" 1 471109.440604029 472988.326740065 42.469 2813.563 "2022/1/10" "11:51:25.4406" "12:22:44.3267" 1878.8861 "Transit" "" "" "2022/1/5"
19 "Spectrogram 1" 1 506690.099008852 507496.930677255 53.086 1696.697 "2022/1/10" "21:44:23.0990" "21:57:50.9307" 806.8317 "Maneuver" "" "" "2022/1/5"
20 "Spectrogram 1" 1 512886.782163109 516113.168302668 33.784 1826.162 "2022/1/10" "23:27:40.7822" "0:21:26.1683" 3226.3861 "Transit" "" "?" "2022/1/5"
21 "Spectrogram 1" 1 518861.108904703 521100.811869465 31.852 17751.99 "2022/1/11" "1:07:14.1089" "1:44:34.8119" 2239.703 "Maneuver" "" "?" "2022/1/5"
22 "Spectrogram 1" 1 524169.772275715 525053.782171566 26.276 3355.041 "2022/1/11" "2:35:43.7723" "2:50:27.7822" 884.0099 "Maneuver" "" "LTSA" "2022/1/5"
23 "Spectrogram 1" 1 525374.747519046 528333.712858877 53.086 17836.928 "2022/1/11" "2:55:48.7475" "3:45:07.7129" 2958.9653 "Maneuver" "" "?" "2022/1/5"
24 "Spectrogram 1" 1 605003.769788985 609344.450488277 31.852 4161.95 "2022/1/12" "1:02:51.7698" "2:15:12.4505" 4340.6807 "Maneuver" "" "?" "2022/1/5"
25 "Spectrogram 1" 1 612729.970288143 615398.534646762 47.777 12192.192 "2022/1/12" "3:11:37.9703" "3:56:06.5346" 2668.5644 "Maneuver" "" "" "2022/1/5"
26 "Spectrogram 1" 1 627275.935638339 631155.440581924 21.234 1876.877 "2022/1/12" "7:14:02.9356" "8:18:42.4406" 3879.5049 "Transit" "" "" "2022/1/5"
27 "Spectrogram 1" 1 691917.44553376 696273.831669847 33.784 24000 "2022/1/13" "1:11:20.4455" "2:23:57.8317" 4356.3861 "Transit" "" "" "2022/1/5"
28 "Spectrogram 1" 1 714492.801900698 716830.351412593 54.226 1458.679 "2022/1/13" "7:27:35.8019" "8:06:32.3514" 2337.5495 "Transit" "" "" "2022/1/5"
29 "Spectrogram 1" 1 758503.952899959 761740.336613432 18.979 574.795 "2022/1/13" "19:41:04.9529" "20:35:00.3366" 3236.3837 "Transit" "" "" "2022/1/5"
30 "Spectrogram 1" 1 785981.524740494 786808.356422494 21.866 824.614 "2022/1/14" "3:19:00.5247" "3:32:47.3564" 826.8317 "Maneuver" "" "" "2022/1/5"
31 "Spectrogram 1" 1 807526.475221414 811773.584155528 40.087 1247.229 "2022/1/14" "9:18:03.4752" "10:28:50.5842" 4247.1089 "Transit" "" "" "2022/1/5"
32 "Spectrogram 1" 1 823650.920789741 831501.98512763 43.732 3906.706 "2022/1/14" "13:46:47.9208" "15:57:38.9851" 7851.0643 "Transit" "" "" "2022/1/5"
33 "Spectrogram 1" 1 848976.999987847 856447.851471964 41.231 3257.227 "2022/1/14" "20:48:52.0000" "22:53:23.8515" 7470.8515 "Transit" "" "" "2022/1/5"
34 "Spectrogram 1" 1 863983.346523171 866692.752463112 51.02 1122.449 "2022/1/15" "0:58:57.3465" "1:44:06.7525" 2709.4059 "Maneuver" "" "" "2022/1/5"
35 "Spectrogram 1" 1 893179.217818087 897022.336625584 46.385 1257.537 "2022/1/15" "9:05:32.2178" "10:09:35.3366" 3843.1188 "Transit" "" "" "2022/1/5"
36 "Spectrogram 1" 1 934611.633654926 935833.108892327 43.514 1576.923 "2022/1/15" "20:36:02.6337" "20:56:23.1089" 1221.4752 "Transit" "" "" "2022/1/5"
37 "Spectrogram 1" 1 952886.460389456 954889.866323174 38.462 1169.446 "2022/1/16" "1:40:36.4604" "2:13:59.8663" 2003.4059 "Transit" "" "" "2022/1/5"
38 "Spectrogram 1" 1 971826.861370067 974351.881179799 23.077 859.407 "2022/1/16" "6:56:15.8614" "7:38:20.8812" 2525.0198 "Transit" "" "" "2022/1/5"
39 "Spectrogram 1" 1 990838.232675622 994222.589094558 10.879 1348.942 "2022/1/16" "12:13:06.2327" "13:09:29.5891" 3384.3564 "Transit" "" "check" "2022/1/5"
40 "Spectrogram 1" 1 1022915.42079462 1026361.08415953 27.196 4177.369 "2022/1/16" "21:07:40.4208" "22:05:06.0842" 3445.6634 "Transit" "" "check" "2022/1/5"
41 "Spectrogram 1" 1 1045306.01980662 1046629.58414817 49.283 8414.317 "2022/1/17" "3:20:51.0198" "3:42:54.5841" 1323.5643 "Maneuver" "" "" "2022/1/5"
42 "Spectrogram 1" 1 1049293.93969764 1051568.77138934 17.794 2775.801 "2022/1/17" "4:27:19.9397" "5:05:13.7714" 2274.8317 "Maneuver" "" "" "2022/1/5"
43 "Spectrogram 1" 1 1103534.67325985 1108869.57425447 11.009 20231.81 "2022/1/17" "19:31:15.6733" "21:00:10.5743" 5334.901 "Transit" "" "" "2022/1/5"
44 "Spectrogram 1" 1 1113469.48513973 1137922.5544402 11.121 7615.658 "2022/1/17" "22:16:50.4851" "5:04:22.5544" 24453.0693 "Maneuver" "" "" "2022/1/5"
45 "Spectrogram 1" 1 1145246.69305329 1149787.43563097 35.587 2164.099 "2022/1/18" "7:06:25.6931" "8:22:06.4356" 4540.7426 "Transit" "" "" "2022/1/5"
46 "Spectrogram 1" 1 1181012.27722444 1188888.3168252 9.436 1120.996 "2022/1/18" "17:02:29.2772" "19:13:44.3168" 7876.0396 "Transit" "" "" "2022/1/5"
47 "Spectrogram 1" 1 1192764.43563097 1203316.93068564 17.794 19929.842 "2022/1/18" "20:18:20.4356" "23:14:13.9307" 10552.4951 "Maneuver" "" "" "2022/1/5"
48 "Spectrogram 1" 1 1210403.28712203 1213790.06929005 17.794 9662.954 "2022/1/19" "1:12:18.2871" "2:08:45.0693" 3386.7822 "Transit" "" "" "2022/1/5"
49 "Spectrogram 1" 1 1216823.88116993 1218707.94057629 88.968 2864.769 "2022/1/19" "2:59:19.8812" "3:30:43.9406" 1884.0594 "Transit" "" "LTSA" "2022/1/5"
50 "Spectrogram 1" 1 1257394.04948793 1268613.34652535 44.484 947.018 "2022/1/19" "14:15:27.0495" "17:22:26.3465" 11219.297 "" "T" "Not sure what this is" "2022/1/5"
51 "Spectrogram 1" 1 1268342.30692151 1271124.95048174 40.179 3553.571 "2022/1/19" "17:17:55.3069" "18:04:18.9505" 2782.6436 "Transit" "" "" "2022/1/5"
52 "Spectrogram 1" 1 1283622.09900538 1311097.7920604 17.362 13857.143 "2022/1/19" "21:32:33.0990" "5:10:28.7921" 27475.6931 "Maneuver" "" "" "2022/1/5"
53 "Spectrogram 1" 1 1381608.28712203 1382403.88613225 1048.033 2954.696 "2022/1/21" "0:45:34.2871" "0:58:50.8861" 795.599 "Maneuver" "" "LTSA, no sound clip due to ambient noise" "2022/1/5"
54 "Spectrogram 1" 1 1447402.7697998 1454890.24505236 18.94 21617.264 "2022/1/21" "19:02:05.7698" "21:06:53.2451" 7487.4753 "Transit" "" "" "2022/1/5"
55 "Spectrogram 1" 1 1456859.81681259 1464865.68314876 17.857 15758.38 "2022/1/21" "21:39:42.8168" "23:53:08.6831" 8005.8663 "Transit" "" "" "2022/1/5"
56 "Spectrogram 1" 1 1468576.16583926 1470350.8440608 24.554 18285.714 "2022/1/22" "0:54:57.1658" "1:24:31.8441" 1774.6782 "Maneuver" "" "" "2022/1/5"
57 "Spectrogram 1" 1 1470555.25000595 1472814.97773008 37.881 20910.158 "2022/1/22" "1:27:56.2500" "2:05:36.9777" 2259.7277 "Maneuver" "" "" "2022/1/5"
58 "Spectrogram 1" 1 1472591.26485558 1477957.99998785 31.25 2323.351 "2022/1/22" "2:01:52.2649" "3:31:19.0000" 5366.7351 "Maneuver" "" "" "2022/1/5"
59 "Spectrogram 1" 1 1477240.32671411 1482226.51484291 11.161 21718.28 "2022/1/22" "3:19:21.3267" "4:42:27.5148" 4986.1881 "Maneuver" "" "" "2022/1/5"
60 "Spectrogram 1" 1 1483748.45542787 1483957.56434299 460.882 4250 "2022/1/22" "5:07:49.4554" "5:11:18.5643" 209.1089 "Maneuver" "" "LTSA" "2022/1/5"
61 "Spectrogram 1" 1 1484256.27721229 1486435.83166638 37.881 8939.85 "2022/1/22" "5:16:17.2772" "5:52:36.8317" 2179.5545 "Maneuver" "" "" "2022/1/5"
62 "Spectrogram 1" 1 1489485.41087735 1490881.69800285 1436.301 6489.872 "2022/1/22" "6:43:25.4109" "7:06:42.6980" 1396.2871 "Maneuver" "listen" "LTSA" "2022/1/5"
63 "Spectrogram 1" 1 1537948.67325291 1543081.14850026 55.403 11275.587 "2022/1/22" "20:11:06.6733" "21:36:38.1485" 5132.4752 "Transit" "" "" "2022/1/5"
64 "Spectrogram 1" 1 1545442.59405311 1553238.18811491 36.047 15687.098 "2022/1/22" "22:16:00.5941" "0:25:55.1881" 7795.5941 "Maneuver" "" "" "2022/1/5"
65 "Spectrogram 1" 1 1553475.04455322 1556865.98515554 31.25 8838.835 "2022/1/23" "0:29:52.0446" "1:26:22.9852" 3390.9406 "Maneuver" "" "" "2022/1/5"
66 "Spectrogram 1" 1 1557280.29207622 1559429.15346313 25.67 16364.471 "2022/1/23" "1:33:16.2921" "2:09:05.1535" 2148.8614 "Maneuver" "" "" "2022/1/5"
67 "Spectrogram 1" 1 1559674.15346486 1562654.05445428 47.351 16061.425 "2022/1/23" "2:13:10.1535" "3:02:50.0545" 2979.901 "Maneuver" "" "" "2022/1/5"
68 "Spectrogram 1" 1 1562660.24257266 1563701.87623869 34.724 4107.143 "2022/1/23" "3:02:56.2426" "3:20:18.8762" 1041.6337 "Maneuver" "" "LTSA" "2022/1/5"
69 "Spectrogram 1" 1 1630432.59405822 1632861.60395928 13.393 2323.351 "2022/1/23" "21:52:25.5941" "22:32:54.6040" 2429.0099 "Maneuver" "" "" "2022/1/5"
71 "Spectrogram 1" 1 1811876.70295435 1812722.8415657 21.397 9088.216 "2022/1/26" "0:16:21.7030" "0:30:27.8416" 846.1386 "Maneuver" "" "" "2022/1/5"
72 "Spectrogram 1" 1 1814450.18811491 1818579.3960302 9.47 6389.7 "2022/1/26" "0:59:12.1881" "2:08:01.3960" 4129.2079 "Maneuver" "" "" "2022/1/5"
73 "Spectrogram 1" 1 1818883.6534633 1819887.46533103 28.093 18179.589 "2022/1/26" "2:13:06.6535" "2:29:49.4653" 1003.8119 "Maneuver" "" "" "2022/1/5"
74 "Spectrogram 1" 1 1820634.4352334 1825402.35603187 18.94 23028.321 "2022/1/26" "2:42:16.4352" "4:01:44.3560" 4767.9208 "Maneuver" "" "" "2022/1/5"
75 "Spectrogram 1" 1 1843568.71285193 1847910.44554244 20.089 20607.112 "2022/1/26" "9:04:29.7129" "10:16:51.4455" 4341.7327 "Transit" "" "" "2022/1/5"
76 "Spectrogram 1" 1 1969812.58414338 1976658.82671533 15.784 2160.714 "2022/1/27" "20:08:26.5841" "22:02:32.8267" 6846.2426 "Transit" "" "" "2022/1/5"
77 "Spectrogram 1" 1 1991886.87127408 1994252.26731843 44.194 1964.286 "2022/1/28" "2:16:20.8713" "2:55:45.2673" 2365.396 "Transit" "" "" "2022/1/5"
78 "Spectrogram 1" 1 2002343.18810276 2007424.10890123 7.892 17285.714 "2022/1/28" "5:10:36.1881" "6:35:16.1089" 5080.9208 "Transit" "" "" "2022/1/5"
79 "Spectrogram 1" 1 2029111.61881245 2032362.5099008 18.94 1133.929 "2022/1/28" "12:36:42.6188" "13:30:53.5099" 3250.8911 "Transit" "" "" "2022/1/5"
80 "Spectrogram 1" 1 2060643.94555709 2065434.87127408 15.784 8285.714 "2022/1/28" "21:22:14.9456" "22:42:05.8713" 4790.9257 "Maneuver" "" "" "2022/1/5"
81 "Spectrogram 1" 1 2065727.14850026 2069706.35642597 40.179 3857.143 "2022/1/28" "22:46:57.1485" "23:53:16.3564" 3979.2079 "Maneuver" "" "" "2022/1/5"
82 "Spectrogram 1" 1 2070214.42573511 2073268.58413793 46.875 10357.143 "2022/1/29" "0:01:44.4257" "0:52:36.5841" 3054.1584 "Maneuver" "" "" "2022/1/5"
83 "Spectrogram 1" 1 2073329.72274754 2082498.42573511 24.554 16214.286 "2022/1/29" "0:53:37.7227" "3:26:26.4257" 9168.703 "Maneuver" "" "" "2022/1/5"
84 "Spectrogram 1" 1 2082718.17821385 2084302.28712723 15.625 5500 "2022/1/29" "3:30:06.1782" "3:56:30.2871" 1584.1089 "Maneuver" "" "LTSA" "2022/1/5"
85 "Spectrogram 1" 1 2084805.70295261 2087452.46533935 56.821 514.546 "2022/1/29" "4:04:53.7030" "4:49:00.4653" 2646.7624 "Maneuver" "" "LTSA" "2022/1/5"
86 "Spectrogram 1" 1 2091812.94554143 2099404.38118281 7.892 22571.429 "2022/1/29" "6:01:41.9455" "8:08:11.3812" 7591.4356 "Maneuver" "" "" "2022/1/5"
87 "Spectrogram 1" 1 2122999.51484985 2129374.86137302 22.321 24000 "2022/1/29" "14:41:26.5148" "16:27:41.8614" 6375.3465 "Transit" "" "" "2022/1/5"
88 "Spectrogram 1" 1 2149370.79206714 2151742.87127908 31.25 3642.857 "2022/1/29" "22:00:55.7921" "22:40:27.8713" 2372.0792 "Maneuver" "" "" "2022/1/5"
89 "Spectrogram 1" 1 2151989.02969102 2154247.20791008 31.567 23738.585 "2022/1/29" "22:44:33.0297" "23:22:12.2079" 2258.1782 "Maneuver" "" "" "2022/1/5"
90 "Spectrogram 1" 1 2168996.35643456 2174673.78217937 10.081 1520.66 "2022/1/30" "3:28:00.3564" "5:02:37.7822" 5677.4257 "Transit" "" "" "2022/1/5"
91 "Spectrogram 1" 1 2185720.29701578 2187597.61385518 25.344 1210.192 "2022/1/30" "8:06:43.2970" "8:38:00.6139" 1877.3168 "Transit" "" "" "2022/1/5"
92 "Spectrogram 1" 1 2227658.24751662 2229791.18811989 13.441 22652.33 "2022/1/30" "19:45:38.2475" "20:21:11.1881" 2132.9406 "Transit" "" "" "2022/1/5"
93 "Spectrogram 1" 1 2340605.24752009 2341048.05938753 22.176 17741.03 "2022/2/1" "3:08:00.2475" "3:15:22.0594" 442.8119 "Maneuver" "" "LTSA" "2022/1/5"
94 "Spectrogram 1" 1 2394939.19800184 2397261.37623214 22.176 2635.81 "2022/2/1" "18:13:31.1980" "18:52:12.3762" 2322.1782 "Transit" "" "" "2022/1/5"
95 "Spectrogram 1" 1 2397875.45543982 2400636.58415187 31.68 3573.55 "2022/2/1" "19:02:26.4554" "19:48:28.5842" 2761.1287 "Transit" "" "" "2022/1/5"
96 "Spectrogram 1" 1 2404368.28713712 2408854.56435185 8.961 12368.033 "2022/2/1" "20:50:39.2871" "22:05:26.5644" 4486.2772 "Transit" "" "" "2022/1/5"
97 "Spectrogram 1" 1 2437622.26731073 2447699.98017397 8.712 24000 "2022/2/2" "6:04:51.2673" "8:52:48.9802" 10077.7129 "Transit" "" "" "2022/1/5"
98 "Spectrogram 1" 1 2459108.15840321 2464439.00989011 19.008 6379.928 "2022/2/2" "12:02:56.1584" "13:31:46.0099" 5330.8515 "Transit" "" "" "2022/1/5"
99 "Spectrogram 1" 1 2162359.13859868 2164341.26732462 22.81 18450.672 "2022/1/30" "1:37:23.1386" "2:10:25.2673" 1982.1287 "Maneuver" "" "" "2022/1/5"
100 "Spectrogram 1" 1 2164536.58413971 2164821.22770863 30.413 18236.559 "2022/1/30" "2:13:40.5841" "2:18:25.2277" 284.6436 "Maneuver" "" "" "2022/1/5"
101 "Spectrogram 1" 1 2165468.26236512 2166531.00492887 21.505 9793.049 "2022/1/30" "2:29:12.2624" "2:46:55.0049" 1062.7426 "Maneuver" "" "" "2022/1/5"
102 "Spectrogram 1" 1 2485726.09900005 2489306.28711699 22.81 4288.26 "2022/2/2" "19:26:32.0990" "20:26:12.2871" 3580.1881 "Transit" "" "" "2022/1/5"
103 "Spectrogram 1" 1 2491830.4900887 2499196.97522836 13.306 13161.29 "2022/2/2" "21:08:16.4901" "23:11:03.9752" 7366.4851 "Maneuver" "" "" "2022/1/5"
104 "Spectrogram 1" 1 2499366.25245524 2501332.52968038 37.634 16301.472 "2022/2/2" "23:13:52.2525" "23:46:38.5297" 1966.2772 "Maneuver" "" "" "2022/1/5"
105 "Spectrogram 1" 1 2501647.32176066 2502658.52967691 45.699 10827.097 "2022/2/2" "23:51:53.3218" "0:08:44.5297" 1011.2079 "Maneuver" "" "" "2022/1/5"
106 "Spectrogram 1" 1 2502925.94552505 2511956.099007 18.817 16301.472 "2022/2/3" "0:13:12.9455" "2:43:41.0990" 9030.1535 "Maneuver" "" "" "2022/1/5"
107 "Spectrogram 1" 1 2513140.89108033 2513431.78711297 32.258 5462.366 "2022/2/3" "3:03:26.8911" "3:08:17.7871" 290.896 "Maneuver" "" "LTSA" "2022/1/5"
108 "Spectrogram 1" 1 2513764.99503269 2513962.78710776 59.14 6064.516 "2022/2/3" "3:13:50.9950" "3:17:08.7871" 197.7921 "Maneuver" "" "LTSA" "2022/1/5"
109 "Spectrogram 1" 1 2514418.49008156 2514715.90592622 32.258 8515.695 "2022/2/3" "3:24:43.4901" "3:29:41.9059" 297.4158 "Maneuver" "" "LTSA" "2022/1/5"
110 "Spectrogram 1" 1 2514999.50989129 2515196.70790702 37.634 7451.233 "2022/2/3" "3:34:25.5099" "3:37:42.7079" 197.198 "Maneuver" "" "LTSA" "2022/1/5"
111 "Spectrogram 1" 1 2515579.81681107 2517014.27720952 30.413 7440.86 "2022/2/3" "3:44:05.8168" "4:07:59.2772" 1434.4604 "Maneuver" "" "LTSA" "2022/1/5"
112 "Spectrogram 1" 1 2517565.2747364 2518034.7895898 30.413 6234.705 "2022/2/3" "4:17:10.2747" "4:25:00.7896" 469.5149 "Maneuver" "" "" "2022/1/5"
113 "Spectrogram 1" 1 2518383.57671817 2528312.35889097 19.008 7612.903 "2022/2/3" "4:30:49.5767" "7:16:16.3589" 9928.7822 "Maneuver" "" "" "2022/1/5"
114 "Spectrogram 1" 1 2549528.70048267 2559319.69057347 19.008 1806.452 "2022/2/3" "13:09:51.7005" "15:53:02.6906" 9790.9901 "Transit" "" "" "2022/1/5"
115 "Spectrogram 1" 1 2571059.83166675 2578641.99008906 9.409 19707.75 "2022/2/3" "19:08:41.8317" "21:15:03.9901" 7582.1584 "Transit" "" "" "2022/1/5"
116 "Spectrogram 1" 1 2578528.40592504 2589252.18809958 59.14 18752.688 "2022/2/3" "21:13:09.4059" "0:11:53.1881" 10723.7822 "Maneuver" "" "" "2022/1/5"
117 "Spectrogram 1" 1 2589222.48513272 2599440.96033272 36.29 22870.723 "2022/2/4" "0:11:23.4851" "3:01:41.9603" 10218.4752 "Maneuver" "" "" "2022/1/5"
118 "Spectrogram 1" 1 2600036.79702613 2607895.05939274 16.129 3132.559 "2022/2/4" "3:11:37.7970" "5:22:35.0594" 7858.2624 "Maneuver" "" "LTSA" "2022/1/5"
119 "Spectrogram 1" 1 2607812.46533514 2614071.95049043 18.058 5612.903 "2022/2/4" "5:21:12.4653" "7:05:31.9505" 6259.4852 "Transit" "" "" "2022/1/5"
120 "Spectrogram 1" 1 2661258.88118153 2664169.98018294 15.207 1209.677 "2022/2/4" "20:11:55.8812" "21:00:26.9802" 2911.099 "Transit" "" "" "2022/1/5"
121 "Spectrogram 1" 1 2664463.31186904 2674626.24256709 32.258 21167.584 "2022/2/4" "21:05:20.3119" "23:54:43.2426" 10162.9307 "Maneuver" "" "" "2022/1/5"
122 "Spectrogram 1" 1 2674825.5197905 2680851.59899471 26.882 18236.559 "2022/2/4" "23:58:02.5198" "1:38:27.5990" 6026.0792 "Maneuver" "" "" "2022/1/5"
