"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 30417.860094957 38098.274749755 24.948 1008.625 "2019/9/25" "13:19:18.8601" "15:27:18.2747" 7680.4147 "TransitB" NA "TB, ~13:20 - 15:20" "2019/9/25"
2 "Spectrogram 1" 1 282363.228039535 298878.865134455 17.82 976.549 "2019/9/28" "11:18:09.2280" "15:53:24.8651" 16515.6371 "TransitB" NA "TB, faint, right at 500Hz, lots of masking" "2019/9/25"
3 "Spectrogram 1" 1 365860.441518234 390484.549520344 32.076 945.598 "2019/9/29" "10:29:43.4415" "17:20:04.5495" 24624.108 "TransitB" NA "TB, ~11:00 - 15:30" "2019/9/25"
4 "Spectrogram 1" 1 519398.39787036 521112.409046097 24.948 7156.605 "2019/10/1" "5:08:31.3979" "5:37:05.4090" 1714.0112 "TransitA" NA "faint TA,  ~05:09 - 05:34" "2019/9/25"
5 "Spectrogram 1" 1 886059 891759 388.481 516.787 "2019/10/5" "10:59:12.0000" "12:34:12.0000" 5700 "TransitB" NA "faint TB, ~11:00 - 12:35" "2019/9/25"
6 "Spectrogram 1" 1 894693.345830267 900358.165060868 24.948 948.036 "2019/10/5" "13:23:06.3458" "14:57:31.1651" 5664.8192 "TransitB" NA "TB, ~13:30 - 14:53" "2019/9/25"
7 "Spectrogram 1" 1 1065639 1071091.21714263 384.917 502.531 "2019/10/7" "12:52:03.0000" "14:22:55.2171" 5452.2171 "TransitB" NA "faint TB, ~12:53 - 14:20, lots of masking from hbw song" "2019/9/25"
8 "Spectrogram 1" 1 1096359 1098803.48683205 23.166 6270.161 "2019/10/7" "21:24:02.0000" "22:04:46.4868" 2444.4868 "TransitA" NA "TA, ~21:25 - 22:01" "2019/9/25"
9 "Spectrogram 1" 1 1145559 1149759 65 545.299 "2019/10/8" "11:03:58.0000" "12:13:58.0000" 4200 "TransitB" NA "TB ~11:05 - 12:15; masked by fish chorus" "2019/9/25"
10 "Spectrogram 1" 1 1230879 1242459 397.748 600 "2019/10/9" "10:45:54.0000" "13:58:53.0000" 11580 "TransitB" NA "TB, ~10:47 - 14:00" "2019/9/25"
11 "Spectrogram 1" 1 1389879 1390122.40459663 38.492 925.403 "2019/10/11" "6:55:45.0000" "6:59:48.4046" 243.4046 "TransitB" NA "TB, ~06:57 - 06:59" "2019/9/25"
12 "Spectrogram 1" 1 1393359 1394026.49914619 100 2891.154 "2019/10/11" "7:53:45.0000" "8:04:52.4991" 667.4991 "TransitA" NA "TA, ~07:55 - 08:03" "2019/9/25"
13 "Spectrogram 1" 1 1403942.58589357 1419625.34469186 25.661 573.099 "2019/10/11" "10:50:08.5859" "15:11:30.3447" 15682.7588 "TransitB" NA "TB, ~10:52 - 14:31" "2019/9/25"
14 "Spectrogram 1" 1 1491039 1502256.66142355 29.938 519.638 "2019/10/12" "11:01:39.0000" "14:08:37.6614" 11217.6614 "TransitB" NA "TB, ~11:03 - 14:08" "2019/9/25"
15 "Spectrogram 1" 1 1577379.00839222 1588800.99997917 38.492 979.839 "2019/10/13" "11:00:34.0084" "14:10:56.0000" 11421.9916 "TransitB" NA "TB, ~11:03 - 14:00" "2019/9/25"
16 "Spectrogram 1" 1 1883499 1885317.51704821 27.218 11346.774 "2019/10/17" "0:02:18.0000" "0:32:37.5170" 1818.517 "TransitA" NA "TA, 0:04 - 0:30" "2019/9/25"
17 "Spectrogram 1" 1 1899099 1904444.14717969 30.242 10435.527 "2019/10/17" "4:22:18.0000" "5:51:22.1472" 5345.1472 "TransitA" NA "TA, 04:24 - 05:49; could be 2 separate vessels with 2nd starting ~05:00 (LTSA)" "2019/9/25"
18 "Spectrogram 1" 1 1908579 1912018.9042912 27.218 18145.161 "2019/10/17" "7:00:17.0000" "7:57:37.9043" 3439.9043 "TransitA" NA "TA, ~07:02 - 07:58" "2019/9/25"
19 "Spectrogram 1" 1 1930059 1938159.54614679 100 12180.485 "2019/10/17" "12:58:16.0000" "15:13:16.5461" 8100.5461 "TransitA" NA "TA, ~13:00 - 15:15, beginning masked by fish chorus" "2019/9/25"
20 "Spectrogram 1" 1 1958859 1960388.7767003 85.537 5029.582 "2019/10/17" "20:58:15.0000" "21:23:45.7767" 1529.7767 "TransitA" NA "faint TA, ~21:00 - 21:25" "2019/9/25"
21 "Spectrogram 1" 1 1989279 1990725.04535476 183.905 7112.903 "2019/10/18" "5:25:13.0000" "5:49:19.0454" 1446.0454 "TransitA+Maneuver" NA "faint TA+M, ~05:27 - 05:49" "2019/9/25"
22 "Spectrogram 1" 1 1990890.39394844 1992757.09847148 21.169 6604.839 "2019/10/18" "5:52:04.3939" "6:23:11.0985" 1866.7045 "TransitA" NA "TA, 05:54 - 06:10, likely same as previous" "2019/9/25"
23 "Spectrogram 1" 1 2703159 2717559 21.169 955.645 "2019/10/26" "11:42:33.0000" "15:42:33.0000" 14400 "TransitB" NA "TB, ~11:45 - 15:45, beginning masked by fish chorus" "2019/9/25"
24 "Spectrogram 1" 1 2757447.33855562 2763549.0800211 17.107 12317.344 "2019/10/27" "2:47:19.3386" "4:29:01.0800" 6101.7415 "TransitA" NA "TA, ~02:50 - 04:28" "2019/9/25"
25 "Spectrogram 1" 1 2953359 2967459 74.845 530.33 "2019/10/29" "9:12:21.0000" "13:07:19.0000" 14100 "TransitB" NA "TB, ~09:15 - 13:10, end masked by fish chorus" "2019/9/25"
26 "Spectrogram 1" 1 3004959 3011970.69052213 32.076 2856.939 "2019/10/29" "23:32:17.0000" "1:29:09.6905" 7011.6905 "TransitA" NA "TA, 23:35 - 01:23 (10/30)" "2019/9/25"
27 "Spectrogram 1" 1 3130359 3148059 25.661 523.915 "2019/10/31" "10:22:12.0000" "15:17:11.0000" 17700 "TransitB" NA "TB, ~10:25 - 15:20" "2019/9/25"
