"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 5838.01523544 5878.798066045 123.457 3106.5 "2018/8/10" "9:47:13.0152" "9:47:53.7981" 40.7828 "DTransit" "" "2018/8/10"
2 "Spectrogram 1" 1 6074.908676892 6105.771977335 621.3 1804.7 "2018/8/10" "9:51:09.9087" "9:51:40.7720" 30.8633 "DTransit" "" "2018/8/10"
3 "Spectrogram 1" 1 8294.747897373 8421.712807454 769.2 2337.3 "2018/8/10" "10:28:09.7479" "10:30:16.7128" 126.9649 "DTransit" "" "2018/8/10"
4 "Spectrogram 1" 1 9599.148614575 9760.752387178 591.7 2662.7 "2018/8/10" "10:49:54.1486" "10:52:35.7524" 161.6038 "DTransit" "" "2018/8/10"
5 "Spectrogram 1" 1 9907.971901084 10588.747576394 532.5 3609.5 "2018/8/10" "10:55:02.9719" "11:06:23.7476" 680.7757 "DTransit" "" "2018/8/10"
6 "Spectrogram 1" 1 11020.560951694 11116.853642226 650.9 4437.9 "2018/8/10" "11:13:35.5610" "11:15:11.8536" 96.2927 "DTransit" "" "2018/8/10"
7 "Spectrogram 1" 1 11353.179848571 11383.827327038 442.177 3284 "2018/8/10" "11:19:08.1798" "11:19:38.8273" 30.6475 "DTransit" "" "2018/8/10"
8 "Spectrogram 1" 1 12149.97173741 12306.806251632 442.177 7925.2 "2018/8/10" "11:32:24.9717" "11:35:01.8063" 156.8345 "Maneuver+TransitA" "" "2018/8/10"
9 "Spectrogram 1" 1 14575.048766362 14720.036547866 562.13 3339.4 "2018/8/10" "12:12:50.0488" "12:15:15.0365" 144.9878 "Maneuver+TransitA" "" "2018/8/10"
10 "Spectrogram 1" 1 16360.95215824 16484.117611611 612.245 4197.4 "2018/8/10" "12:42:35.9522" "12:44:39.1176" 123.1655 "DTransit" "" "2018/8/10"
11 "Spectrogram 1" 1 17162.390240617 17639.940933087 650.9 2307.7 "2018/8/10" "12:55:57.3902" "13:03:54.9409" 477.5507 "DTransit" "on/off" "2018/8/10"
12 "Spectrogram 1" 1 41564.560604167 44235.584988347 708.6 3755.9 "2018/8/10" "19:42:38.5606" "20:27:08.5850" 2671.0244 "DTransit" "" "2018/8/10"
13 "Spectrogram 1" 1 45716.889382054 49962.451823574 650.9 4201.2 "2018/8/10" "20:51:49.8894" "22:02:35.4518" 4245.5624 "DTransit" "" "2018/8/10"
14 "Spectrogram 1" 1 21493.512191938 21567.268280962 1242.604 3165.68 "2018/8/10" "14:08:08.5122" "14:09:22.2683" 73.7561 "DTransit" "" "2018/8/10"
15 "Spectrogram 1" 1 54778.015344341 54804.536495444 1005.917 2544.379 "2018/8/10" "23:22:50.0153" "23:23:17.5365" 26.5212 "DTransit" "" "2018/8/10"
16 "Spectrogram 1" 1 2972.913954866 3662.487024947 887.574 7781.065 "2018/8/10" "8:59:27.9140" "9:10:57.4870" 689.5731 "Maneuver+TransitA" "on/off" "2018/8/10"
17 "Spectrogram 1" 1 7063.715320514 7119.948890648 109.29 3879.781 "2018/8/10" "10:07:38.7153" "10:08:34.9489" 56.2336 "DTransit" "" "2018/8/10"
1 "Spectrogram 1" 1 17358.439021562 17513.414632131 739.6 4112.4 "2018/8/11" "6:58:53.4390" "7:01:28.4146" 154.9756 "DTransit" "" "2018/8/11"
2 "Spectrogram 1" 1 19569.655012124 19612.243889448 58.997 3254.4 "2018/8/11" "7:35:44.6550" "7:36:27.2439" 42.5889 "DTransit" "" "2018/8/11"
3 "Spectrogram 1" 1 20153.85364397 20191.609744106 88.496 3195.3 "2018/8/11" "7:45:28.8536" "7:46:06.6097" 37.7561 "DTransit" "" "2018/8/11"
