"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 3034.836865719 4117.4440219 141.4 21721.8 "2019/6/11" "11:35:28.8369" "11:53:31.4440" 1082.6072 "TransitA+Maneuver" NA "possibly patrol boat" 2019-06-11
2 "Spectrogram 1" 1 16027.163127972 16919.841970967 1171.7 1979.8 "2019/6/11" "15:12:01.1631" "15:26:53.8420" 892.6788 "TransitB" NA "" 2019-06-11
3 "Spectrogram 1" 1 42654.1404375 46236.140416667 282.8 1575.8 "2019/6/11" "22:35:47.1404" "23:35:27.1404" 3582 "TransitB" NA "" 2019-06-11
1 "Spectrogram 1" 1 9799.26846193 10627.683229167 848.5 1111.1 "2019/6/12" "7:27:49.2685" "7:41:37.6832" 828.4148 "TransitB" NA NA 2019-06-12
2 "Spectrogram 1" 1 18808.966340191 19151.532541408 141.4 1414.1 "2019/6/12" "9:57:58.9663" "10:03:41.5325" 342.5662 "TransitA" NA NA 2019-06-12
3 "Spectrogram 1" 1 19458.151416865 19701.355485278 60.6 1313.1 "2019/6/12" "10:08:48.1514" "10:12:51.3555" 243.2041 "TransitA+Maneuver" NA NA 2019-06-12
4 "Spectrogram 1" 1 20511.921707327 21453.748324768 121.2 9878.8 "2019/6/12" "10:26:21.9217" "10:42:03.7483" 941.8266 "TransitA+Maneuver" NA NA 2019-06-12
5 "Spectrogram 1" 1 22623.563975341 26499.844883794 121.2 8767.7 "2019/6/12" "11:01:31.5640" "12:06:07.8449" 3876.2809 "TransitA+Maneuver" NA NA 2019-06-12
6 "Spectrogram 1" 1 27229.259670004 31018.727109623 141.4 9570.9 "2019/6/12" "12:18:17.2597" "13:21:26.7271" 3789.4674 "TransitA+Maneuver" NA NA 2019-06-12
7 "Spectrogram 1" 1 31573.028589856 32133.820095465 57.1 6456.8 "2019/6/12" "13:30:40.0286" "13:40:01.8201" 560.7915 "TransitA+Maneuver" NA NA 2019-06-12
8 "Spectrogram 1" 1 32849.198248522 33182.283836351 228.6 5542.6 "2019/6/12" "13:51:57.1982" "13:57:30.2838" 333.0856 "TransitA+Maneuver" NA NA 2019-06-12
9 "Spectrogram 1" 1 42167.641564009 42359.531831215 700 842.8 "2019/6/12" "16:27:15.6416" "16:30:27.5318" 191.8903 "TransitB" NA NA 2019-06-12
10 "Spectrogram 1" 1 42873.18362026 49501.489400924 727.3 1030.3 "2019/6/12" "16:39:01.1836" "18:29:28.4894" 6628.3058 "TransitB" NA NA 2019-06-12
11 "Spectrogram 1" 1 83012.26940135 86253.849503581 535.7 1099.9 "2019/6/13" "3:47:57.2694" "4:41:59.8495" 3241.5801 "TransitB" NA NA 2019-06-12
1 "Spectrogram 1" 1 36.210671406 134.703710482 929.3 1090.9 "2019/6/13" "4:44:51.2107" "4:46:29.7037" 98.493 "TransitB" NA "" 2019-06-13
2 "Spectrogram 1" 1 5423.951705346 5972.365743477 20.2 4545.5 "2019/6/13" "6:14:38.9517" "6:23:47.3657" 548.414 "TransitA+Maneuver" NA "" 2019-06-13
3 "Spectrogram 1" 1 7701.300643547 8055.322585939 121.2 1434.3 "2019/6/13" "6:52:36.3006" "6:58:30.3226" 354.0219 "TransitB" NA "" 2019-06-13
4 "Spectrogram 1" 1 9450.250171879 11679.761496281 868.7 1171.7 "2019/6/13" "7:21:45.2502" "7:58:54.7615" 2229.5113 "TransitB" NA "" 2019-06-13
5 "Spectrogram 1" 1 16554.548638411 16559.947321035 0 4141.4 "2019/6/13" "9:20:09.5486" "9:20:14.9473" 5.3987 "TransitB" NA "" 2019-06-13
6 "Spectrogram 1" 1 16837.031433538 16874.822220312 60.6 4424.2 "2019/6/13" "9:24:52.0314" "9:25:29.8222" 37.7908 "TransitB" NA "" 2019-06-13
7 "Spectrogram 1" 1 30000.77247589 33670.415496312 424.2 1090.9 "2019/6/13" "13:04:14.7725" "14:05:23.4155" 3669.643 "TransitB" NA "" 2019-06-13
