"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 14280.694405464 14389.968262723 492.352 1606.1 "2018/12/12" "18:31:53.6944" "18:33:42.9683" 109.2739 "TransitB" "unk" NA "2018/12/12"
1 "Spectrogram 1" 1 14403.532999363 16199.940030058 67.601 3384.3 "2018/12/13" "8:03:56.5330" "8:33:52.9400" 1796.407 "TransitA" "y" NA "2018/12/13"
1 "Spectrogram 1" 1 14657.477234206 16199.988281453 267.7 2485.7 "2018/12/15" "8:08:10.4772" "8:33:52.9883" 1542.511 "TransitB" "y" NA "2018/12/15"
2 "Spectrogram 1" 1 16203.265264169 16898.313373158 153 2657.7 "2018/12/15" "9:03:55.2653" "9:15:30.3134" 695.0481 "TransitA" "y" NA "2018/12/15"
1 "Spectrogram 1" 1 13219.379795852 14397.378395441 210.325 1835.6 "2018/12/16" "7:14:12.3798" "7:33:50.3784" 1177.9986 "TransitB" "y" NA "2018/12/16"
2 "Spectrogram 1" 1 20724.050709688 21512.680100862 64.221 3938.8 "2018/12/16" "11:19:16.0507" "11:32:25.6801" 788.6294 "TransitA" "unk" NA "2018/12/16"
1 "Spectrogram 1" 1 11712.86215052 12072.440820004 95.6 1644.4 "2018/12/18" "6:19:05.8622" "6:25:05.4408" 359.5787 "TransitB" "n" NA "2018/12/18"
2 "Spectrogram 1" 1 12629.820544796 12735.971377763 95.6 2562.1 "2018/12/18" "7:04:22.8205" "7:06:08.9714" 106.1508 "TransitB" "unk" NA "2018/12/18"
3 "Spectrogram 1" 1 12954.464247792 13059.210659596 688.337 2428.3 "2018/12/18" "7:09:47.4642" "7:11:31.2107" 104.7464 "TransitB" "n" NA "2018/12/18"
4 "Spectrogram 1" 1 16435.638480941 16764.202849724 707.5 2562.1 "2018/12/18" "9:07:48.6385" "9:13:16.2028" 328.5644 "TransitB" "n" NA "2018/12/18"
5 "Spectrogram 1" 1 19803.464232621 20179.193746126 76.482 3154.9 "2018/12/18" "11:03:55.4642" "11:10:11.1937" 375.7295 "TransitB" "y" NA "2018/12/18"
6 "Spectrogram 1" 1 24702.202849724 25197.799727677 76.5 3021 "2018/12/18" "13:25:34.2028" "13:33:50.7997" 495.5969 "TransitA" "unk" NA "2018/12/18"
1 "Spectrogram 1" 1 10508.910256773 10733.605972326 114.7 1969.4 "2018/12/19" "5:29:01.9103" "5:32:46.6060" 224.6957 "TransitB" "unk" "" "2018/12/19"
2 "Spectrogram 1" 1 13742.239256245 13791.76852804 95.6 2428.3 "2018/12/19" "7:22:55.2393" "7:23:44.7685" 49.5293 "TransitB" "n" "" "2018/12/19"
3 "Spectrogram 1" 1 14403.23015201 14551.65408076 707.5 1338.4 "2018/12/19" "8:03:55.2302" "8:06:24.6541" 148.4239 "TransitB" "y" "" "2018/12/19"
4 "Spectrogram 1" 1 14784.132634915 15530.032479004 248.6 1204.6 "2018/12/19" "8:10:16.1326" "8:22:42.0325" 745.8998 "TransitB" "n" "too faint for RL" "2018/12/19"
5 "Spectrogram 1" 1 16261.443425918 17999.408977067 38.2 3977.055 "2018/12/19" "9:04:54.4434" "9:33:52.4090" 1737.9656 "TransitA+Maneuver" "unk" "" "2018/12/19"
6 "Spectrogram 1" 1 18003.300387652 18668.024688936 153 3460.8 "2018/12/19" "10:03:55.3004" "10:15:00.0247" 664.7243 "TransitA" "y" "not confident enough to call a CPA" "2018/12/19"
7 "Spectrogram 1" 1 19803.791932976 20568.054549388 76.5 1013.4 "2018/12/19" "11:03:56.7919" "11:16:40.0545" 764.2626 "TransitB" "y" "" "2018/12/19"
1 "Spectrogram 1" 1 16203.394017813 16928.485008425 248.6 2887.2 "2018/12/20" "9:03:56.3940" "9:16:01.4850" 725.091 "TransitA" "y" NA "2018/12/20"
1 "Spectrogram 1" 1 26269.396625108 26955.058313069 76.5 1625.2 "2018/12/21" "14:21:41.3966" "14:33:07.0583" 685.6617 "TransitB" "unk" NA "2018/12/21"
1 "Spectrogram 1" 1 14403.163941608 14685.553902111 52.6 7236.8 "2018/12/22" "8:03:55.1639" "8:08:38.5539" 282.39 "TransitA+Maneuver" "y" NA "2018/12/22"
2 "Spectrogram 1" 1 16021.302789682 16094.632194332 763.2 3552.6 "2018/12/22" "8:30:54.3028" "8:32:07.6322" 73.3294 "TransitB" "unk" NA "2018/12/22"
1 "Spectrogram 1" 1 14405.881862551 15047.300972732 86.042 1578.9 "2018/12/25" "8:03:58.8819" "8:14:39.3010" 641.4191 "TransitB" "y" NA "2018/12/25"
2 "Spectrogram 1" 1 15187.995270048 16125.282656115 77.741 2078.9 "2018/12/25" "8:17:00.9953" "8:32:37.2827" 937.2874 "TransitB" "unk" NA "2018/12/25"
3 "Spectrogram 1" 1 17082.852109585 17834.077065128 78.9 2368.4 "2018/12/25" "9:18:35.8521" "9:31:06.0771" 751.225 "TransitB" "n" NA "2018/12/25"
1 "Spectrogram 1" 1 12023.578601525 12449.305526577 1921.1 2315.8 "2018/12/26" "6:24:16.5786" "6:31:22.3055" 425.7269 "TransitB" "unk" NA "2018/12/26"
2 "Spectrogram 1" 1 14744.867237555 15673.752853042 37.181 5605.3 "2018/12/26" "8:09:37.8672" "8:25:06.7529" 928.8856 "CPA+Maneuver" "n" NA "2018/12/26"
3 "Spectrogram 1" 1 19397.873874263 19799.980078663 79.2 4564.6 "2018/12/26" "10:27:10.8739" "10:33:52.9801" 402.1062 "CPA+Maneuver" "y" NA "2018/12/26"
