"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
2 "Spectrogram 1" 1 14227.714274405 25041.689434317 14.52 22882.963 "2022/1/18" "9:22:48.7143" "12:23:01.6894" 10813.9752 "Transit" NA "" "2022/1/18"
3 "Spectrogram 1" 1 28781.291922076 32846.049684343 33.368 3078.165 "2022/1/18" "13:25:21.2919" "14:33:06.0497" 4064.7578 "Transit" NA "" "2022/1/18"
4 "Spectrogram 1" 1 12226.761258744 14089.474437124 34.392 13618.677 "2022/1/18" "8:49:27.7613" "9:20:30.4744" 1862.7132 "Maneuver" NA "LTSA" "2022/1/18"
1 "Spectrogram 1" 1 11839.658376915 16656.838506095 45.732 5605.115 "2022/1/19" "7:34:33.6584" "8:54:50.8385" 4817.1801 "Transit" NA NA "2022/1/19"
2 "Spectrogram 1" 1 17725.242221066 26027.863348266 61.081 5101.626 "2022/1/19" "9:12:39.2422" "11:31:00.8633" 8302.6211 "Transit" NA NA "2022/1/19"
3 "Spectrogram 1" 1 35529.099364519 42582.726696532 25.151 6438.696 "2022/1/19" "14:09:21.0994" "16:06:55.7267" 7053.6273 "Transit" NA NA "2022/1/19"
4 "Spectrogram 1" 1 45102.372661737 47627.720493802 14.372 17154.472 "2022/1/19" "16:48:53.3727" "17:30:58.7205" 2525.3478 "Transit" NA NA "2022/1/19"
5 "Spectrogram 1" 1 47533.13043442 51262.05588499 28.744 24000 "2022/1/19" "17:29:24.1304" "18:31:33.0559" 3728.9255 "Transit" NA NA "2022/1/19"
1 "Spectrogram 1" 1 29221.751540787 30404.832280448 25.407 1753.395 "2022/1/20" "12:24:02.7515" "12:43:45.8323" 1183.0807 "Transit" NA NA "2022/1/20"
2 "Spectrogram 1" 1 36726.105577666 49706.732895173 15.244 3119.919 "2022/1/20" "14:29:07.1056" "18:05:27.7329" 12980.6273 "Transit" NA NA "2022/1/20"
3 "Spectrogram 1" 1 50043.490678196 54073.478255577 38.11 1207.255 "2022/1/20" "18:11:04.4907" "19:18:14.4783" 4029.9876 "Transit" NA NA "2022/1/20"
4 "Spectrogram 1" 1 55462.024838005 62093.180118763 81.301 3061.255 "2022/1/20" "19:41:22.0248" "21:31:53.1801" 6631.1553 "Transit" NA NA "2022/1/20"
5 "Spectrogram 1" 1 74253.037262215 75612.875764143 20.325 20465.855 "2022/1/21" "0:54:32.0373" "1:17:11.8758" 1359.8385 "Maneuver" NA NA "2022/1/20"
1 "Spectrogram 1" 1 2806.956505888 12077.515507867 40.65 14715.447 "2022/1/21" "5:03:39.9565" "7:38:10.5155" 9270.559 "Transit" "" "" "2022/1/21"
2 "Spectrogram 1" 1 12560.558997813 13638.099358269 25.151 24000 "2022/1/21" "7:46:13.5590" "8:04:11.0994" 1077.5404 "Maneuver" "" "" "2022/1/21"
3 "Spectrogram 1" 1 37156.540370872 44747.565214402 162.602 6654.277 "2022/1/21" "14:36:07.5404" "16:42:37.5652" 7591.0248 "Transit" "" "" "2022/1/21"
4 "Spectrogram 1" 1 64010.086938225 65781.354020212 43.116 22764.228 "2022/1/21" "22:03:40.0869" "22:33:10.3540" 1771.2671 "Maneuver" "" "" "2022/1/21"
6 "Spectrogram 1" 1 60655.745338056 63036.329175958 20.325 8623.253 "2022/1/21" "21:07:45.7453" "21:47:26.3292" 2380.5838 "Maneuver" "" "LTSA" "2022/1/21"
7 "Spectrogram 1" 1 66401.416147516 71154.981358476 28.744 7926.829 "2022/1/21" "22:43:30.4161" "0:02:43.9814" 4753.5652 "Maneuver" "" "LTSA" "2022/1/21"
5 "Spectrogram 1" 1 71054.254655694 75253.968936348 21.558 11066.509 "2022/1/22" "0:01:02.2547" "1:11:02.9689" 4199.7143 "Maneuver" "" "" "2022/1/21"
8 "Spectrogram 1" 1 79621.409932285 82552.950297723 114.977 16096.74 "2022/1/22" "2:23:50.4099" "3:12:41.9503" 2931.5404 "Maneuver" "" "LTSA" "2022/1/21"
9 "Spectrogram 1" 1 82844.385085947 86396.1643125 0 7073.171 "2022/1/22" "3:17:33.3851" "4:16:44.1643" 3551.7792 "Transit" "partial; sound clip" "LTSA" "2022/1/21"
10 "Spectrogram 1" 1 83183.555632428 84518.238857764 2227.674 7459.35 "2022/1/22" "3:23:12.5556" "3:45:26.2389" 1334.6832 "Maneuver" "" "LTSA" "2022/1/21"
1 "Spectrogram 1" 1 0 2580.372653403 172.764 5487.805 "2022/1/22" "4:16:44.0000" "4:59:44.3727" 2580.3727 "Transit" NA "" "2022/1/22"
2 "Spectrogram 1" 1 1228.080728623 6634.90059736 172.465 7825.203 "2022/1/22" "4:37:12.0807" "6:07:18.9006" 5406.8199 "Maneuver" NA "" "2022/1/22"
3 "Spectrogram 1" 1 30787.536958401 33157.161642009 12.96 1986.804 "2022/1/22" "12:49:50.5370" "13:29:20.1616" 2369.6247 "Transit" NA "" "2022/1/22"
4 "Spectrogram 1" 1 51559.102349546 53935.307048639 23.328 21980.445 "2022/1/22" "18:36:00.1023" "19:15:36.3070" 2376.2047 "Transit" NA "" "2022/1/22"
5 "Spectrogram 1" 1 60114.407787148 62580.45894366 124.633 2932.551 "2022/1/22" "20:58:35.4078" "21:39:41.4589" 2466.0512 "Transit" NA "" "2022/1/22"
