"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 0 1142.77174698 18.075 16262.8 "2021/5/10" "5:36:04.0000" "5:55:06.7717" 1142.7717 "Maneuver" "yes" "" 2021-05-10
2 "Spectrogram 1" 1 1160.682449421 5435.196 25.4 8213.6 "2021/5/10" "5:55:24.6824" "7:06:39.1960" 4274.5136 "Maneuver" "" "" 2021-05-10
3 "Spectrogram 1" 1 8141.249847558 9890.106926302 20.5 10431.2 "2021/5/10" "7:51:45.2498" "8:20:54.1069" 1748.8571 "Maneuver" "" "" 2021-05-10
4 "Spectrogram 1" 1 12483.112455864 13279.022049557 51.3 5071.9 "2021/5/10" "9:04:07.1125" "9:17:23.0220" 795.9096 "" "" "" 2021-05-10
5 "Spectrogram 1" 1 13341.436595806 14212.356115445 21.8 11827.5 "2021/5/10" "9:18:25.4366" "9:32:56.3561" 870.9195 "Maneuver" "" "" 2021-05-10
6 "Spectrogram 1" 1 14598.175292413 15335.198725924 43.6 10831.7 "2021/5/10" "9:39:22.1753" "9:51:39.1987" 737.0234 "" "" "" 2021-05-10
7 "Spectrogram 1" 1 27720.2414515 28073.017633395 326.7 1452.8 "2021/5/10" "13:18:03.2415" "13:23:56.0176" 352.7762 "" "" "" 2021-05-10
8 "Spectrogram 1" 1 79790.028663382 80126.928331128 43.6 7172.7 "2021/5/11" "3:45:51.0287" "3:51:28.9283" 336.8997 "" "" "" 2021-05-10
9 "Spectrogram 1" 1 10791.14856718 12072.290078334 78.886 9150.794 "2021/5/10" "8:35:55.1486" "8:57:16.2901" 1281.1415 "" "" "LTSA" 2021-05-10
10 "Spectrogram 1" 1 6983.879559171 8115.134429086 28.686 10344.828 "2021/5/10" "7:32:27.8796" "7:51:19.1344" 1131.2549 "" "" "added on review" 2021-05-10
11 "Spectrogram 1" 1 15036.32311236 16121.672155845 20.284 10843.26 "2021/5/10" "9:46:40.3231" "10:04:45.6722" 1085.349 "" "" "" 2021-05-10
1 "Spectrogram 1" 1 59988.972430242 61280.30870421 36.2 4539.9 "2021/5/11" "22:10:59.9724" "22:32:30.3087" 1291.3363 NA NA "" 2021-05-11
2 "Spectrogram 1" 1 64147.815875264 69148.087094186 35.8 3537.8 "2021/5/11" "23:20:17.8159" "0:43:37.0871" 5000.2712 NA NA "" 2021-05-11
