"Selection" "View" "Channel" "Begin_Time" "End_Time" "Low_Freq" "High_Freq" "Begin_Date" "Begin_Clock" "End_Clock" "Delta_Time_s" "Behavior" "Partial" "Notes" "Begin_file_date"
1 "Spectrogram 1" 1 6311.807023849 6968.16914319 36.4 22120.6 "2022/11/22" "15:55:11.8070" "16:06:08.1691" 656.3621 "Maneuver" NA NA "2022/11/22"
2 "Spectrogram 1" 1 9308.8570439 11029.74924871 20.8 12390.9 "2022/11/22" "16:45:08.8570" "17:13:49.7492" 1720.8922 "Maneuver" NA NA "2022/11/22"
1 "Spectrogram 1" 1 2344.009520684 4914.032155747 76.3 2886.7 "2022/11/23" "2:38:04.0095" "3:20:54.0322" 2570.0226 "Transit" NA NA "2022/11/23"
2 "Spectrogram 1" 1 8457.198923975 11987.313276355 154.1 3389.2 "2022/11/23" "4:19:57.1989" "5:18:47.3133" 3530.1144 "Transit" NA NA "2022/11/23"
3 "Spectrogram 1" 1 22259.833231772 24970.403795774 77 14850.8 "2022/11/23" "8:09:58.8332" "8:55:09.4038" 2710.5706 "Maneuver" NA NA "2022/11/23"
4 "Spectrogram 1" 1 26012.688496302 26385.574732455 1176.5 7298.5 "2022/11/23" "9:12:31.6885" "9:18:44.5747" 372.8862 "Maneuver" NA NA "2022/11/23"
5 "Spectrogram 1" 1 26679.610471685 26778.358543329 141.6 8873.5 "2022/11/23" "9:23:38.6105" "9:25:17.3585" 98.7481 "Maneuver" NA NA "2022/11/23"
6 "Spectrogram 1" 1 47823.242404519 50026.693256849 27.2 19349.2 "2022/11/23" "15:16:01.2424" "15:52:45.6933" 2203.4509 "Transit" NA NA "2022/11/23"
1 "Spectrogram 1" 1 20507.842752457 25714.570564001 123.2 3373.8 "2022/11/24" "7:40:34.8428" "9:07:21.5706" 5206.7278 "Maneuver" NA "" "2022/11/24"
2 "Spectrogram 1" 1 25798.095290178 28166.923148662 27.2 9063.2 "2022/11/24" "9:08:44.0953" "9:48:13.9231" 2368.8279 "Transit" NA "LTSA" "2022/11/24"
3 "Spectrogram 1" 1 28463.612253598 29764.007726586 98.3 8740.7 "2022/11/24" "9:53:10.6123" "10:14:50.0077" 1300.3955 "Maneuver" NA "LTSA" "2022/11/24"
4 "Spectrogram 1" 1 30974.240011875 32259.090519419 154.1 7066.1 "2022/11/24" "10:35:00.2400" "10:56:25.0905" 1284.8505 "Maneuver" NA "" "2022/11/24"
5 "Spectrogram 1" 1 33254.836788987 34735.02856724 26.6 6396.4 "2022/11/24" "11:13:01.8368" "11:37:41.0286" 1480.1918 "Maneuver" NA "LTSA" "2022/11/24"
