Site,Behavior,Filename,Date,Start_Time,End_Time,Delta_Time_s,Weekday
CGMP,TB,805355546.190419092105_sel08_S5.wav,4/19/2019,7:43:01,7:51:04,483.1031,Friday
CGMP,TB,805355546.190523002105_sel23_S17.wav,5/23/2019,18:31:55,18:51:05,1148.6159,Thursday
CGMP,TB,805355546.190610002105_sel01_S5.wav,6/10/2019,10:31:04,10:45:39,875.1898,Monday
CGMP,TB,805355546.190621002105_sel05_S3.wav,6/21/2019,11:32:32,11:38:04,330.6086,Friday
CGMP,TAM,805355546.190421002105_sel01_S5.wav,4/21/2019,8:32:57,8:42:00,541.6854,Sunday
CGMP,TAM,805355546.190424002105_sel03_S5.wav,4/24/2019,9:28:09,9:51:04,1375.703,Wednesday
CGMP,TAM,805355546.190425002105_sel03_S11.wav,4/25/2019,6:29:26,6:51:05,1298.8969,Thursday
CGMP,TAM,805355546.190426002105_sel01_S2.wav,4/26/2019,6:33:02,6:46:53,829.5538,Friday
CGMP,TAM,805355546.190426002105_sel04_S9.wav,4/26/2019,11:21:08,11:51:04,1796.6159,Friday
CGMP,TAM,805355546.190508002105_sel02_S4.wav,5/8/2019,8:24:37,8:51:05,1588.2663,Wednesday
CGMP,TAM,805355546.190517002105_sel02_S10.wav,5/17/2019,18:35:22,18:38:13,170.8222,Friday
CGMP,TAM,805355546.190518002105_sel01_S6.wav,5/18/2019,10:33:51,10:44:44,653.0037,Saturday
CGMP,TAM,805355546.190518002105_sel03_S10.wav,5/18/2019,13:21:09,13:24:09,181.7513,Saturday
CGMP,TAM,805355546.190519002105_sel01_S8.wav,5/19/2019,9:32:45,9:51:05,1100.0882,Sunday
CGMP,TAM,805355546.190521002105_sel02_S6.wav,5/21/2019,11:33:58,11:50:35,997.0183,Tuesday
CGMP,TAM,805355546.190522002105_sel05_S13.wav,5/22/2019,15:25:09,15:32:46,457.387,Wednesday
CGMP,TAM,805355546.190523002105_sel01_S4.wav,5/23/2019,7:23:16,7:30:41,444.0878,Thursday
CGMP,TAM,805355546.190610002105_sel01_S3.wav,6/10/2019,8:21:08,8:43:09,1321.7623,Monday
CGMP,TAM,805355546.190610002105_sel05_S7.wav,6/10/2019,12:21:07,12:36:14,906.8886,Monday
CGMP,TAM,805355546.190612002105_sel01_S1.wav,6/12/2019,6:28:34,6:51:05,1350.8849,Wednesday
CGMP,TAM,805355546.190613002105_sel02_S3.wav,6/13/2019,8:21:08,8:34:15,786.1083,Thursday
CGMP,TAM,805355546.190613002105_sel05_S7.wav,6/13/2019,11:23:21,11:51:04,1664.4904,Thursday
CGMP,TAM,805355546.190614002105_sel01_S7.wav,6/14/2019,17:34:26,17:37:04,156.3995,Friday
CGMP,TAM,805355546.190614002105_sel03_S8.wav,6/14/2019,18:26:31,18:46:52,1222.2975,Friday
CGMP,TAM,805355546.190615002105_sel01_S5.wav,6/15/2019,6:24:10,6:51:05,1614.5115,Saturday
CGMP,TAM,805355546.190615002105_sel06_S16.wav,6/15/2019,15:32:49,15:42:39,591.0653,Saturday
CGMP,TA,805355546.190504002105_sel01_S1.wav,5/4/2019,8:21:08,8:36:53,944.3087,Saturday
CGMP,TA,805355546.190513002105_sel01_S1.wav,5/13/2019,10:21:09,10:51:05,1795.9576,Monday
CGMP,TA,805355546.190514002105_sel05_S12.wav,5/14/2019,14:21:09,14:30:46,577.6459,Tuesday
CGMP,TA,805355546.190514002105_sel09_S17.wav,5/14/2019,23:21:09,23:49:42,1712.6993,Tuesday
CGMP,TA,805355546.190515002105_sel01_S1.wav,5/15/2019,14:21:09,14:30:31,563.425,Wednesday
CGMP,TA,805355546.190521002105_sel04_S3.wav,5/21/2019,9:43:52,9:48:41,290.515,Tuesday
CGMP,TA,805355546.190605002105_sel02_S1.wav,6/5/2019,17:21:09,17:32:22,673.5383,Wednesday
CGMP,TA,805355546.190615002105_sel09_S9.wav,6/15/2019,10:21:07,10:34:49,821.201,Saturday
CGMP,TA,805355546.190618002105_sel02_S3.wav,6/18/2019,13:31:23,13:51:04,1182.5003,Tuesday
CGMP,TA,805355546.190620002105_sel01_S4.wav,6/20/2019,23:21:08,23:45:24,1455.6478,Thursday
CGMP,CPAM,805355546.190420092105_sel02_S9.wav,4/20/2019,10:31:20,10:51:04,1185.664,Saturday
CGMP,CPAM,805355546.190514002105_sel01_S9.wav,5/14/2019,11:40:19,11:51:04,644.9319,Tuesday
CGMP,CPAM,805355546.190514002105_sel02_S11.wav,5/14/2019,13:28:15,13:51:04,1368.8559,Tuesday
