Site,Behavior,Filename,Date,Start_Time,End_Time,Delta_Time_s,Weekday
EP,TAM,805830683.190611104454_sel01_S1.wav,6/11/2019,11:35:29,11:53:31,1082.6072,Tuesday
EP,TAM,805830683.190613044415_sel10_S11.wav,6/13/2019,19:05:06,19:07:01,114.2019,Thursday
EP,TAM,805830683.190613044415_sel12_S12.wav,6/13/2019,19:21:23,19:24:35,191.8903,Thursday
EP,TAM,805830683.190613044415_sel16_S13.wav,6/13/2019,19:35:13,19:37:43,150.0176,Thursday
EP,TAM,805830683.190613044415_sel17_S14.wav,6/13/2019,19:45:53,19:49:13,199.5274,Thursday
EP,TAM,805830683.190613044415_sel23_S15.wav,6/13/2019,19:52:55,19:54:02,67.8127,Thursday
EP,TAM,805830683.190613044415_sel26_S16.wav,6/13/2019,20:02:46,20:05:34,168.0571,Thursday
EP,TAM,805830683.190613044415_sel30_S17.wav,6/13/2019,20:12:02,20:13:55,113.7674,Thursday
EP,TAM,805830683.190613044415_sel33_S18.wav,6/13/2019,20:22:32,20:25:06,153.1382,Thursday
EP,TAM,805830683.190613044415_sel37_S19.wav,6/13/2019,20:31:51,20:38:11,380.5903,Thursday
EP,TAM,805830683.190613044415_sel39_S20.wav,6/13/2019,20:47:32,20:49:07,94.7604,Thursday
EP,TAM,805830683.190613044415_sel42_S21.wav,6/13/2019,20:56:48,20:59:29,161.1823,Thursday
EP,TAM,805830683.190613044415_sel45_S23.wav,6/13/2019,21:18:14,21:20:42,147.5171,Thursday
EP,TAM,805830683.190613044415_sel48_S24.wav,6/13/2019,21:28:51,21:33:54,303.7372,Thursday
EP,TAM,805830683.190613044415_sel51_S27.wav,6/13/2019,21:46:27,21:47:47,81.3192,Thursday
EP,TAM,805830683.190615044358_sel21_S14.wav,6/15/2019,13:32:38,13:33:57,79.6727,Saturday
EP,TAM,805830683.190615044358_sel23_S15.wav,6/15/2019,13:44:04,13:45:01,57.6851,Saturday
EP,CPAM,805830683.190613044415_sel01_S8.wav,6/13/2019,17:42:19,17:46:53,274.8852,Thursday
EP,CPAM,805830683.190613044415_sel03_S25.wav,6/13/2019,21:40:39,21:42:03,83.257,Thursday
