Site,Behavior,Filename,Date,Start_Time,End_Time,Delta_Time,Weekday
TRW,MANEUVER,5459.210510054651_sel09_S4.wav,5/10/2021,9:39:53,10:01:46,1313.6179,Monday
TRW,MANEUVER,5459.210514051838_sel16_S4.wav,5/15/2021,3:17:11,4:32:50,4539.0141,Saturday
TRW,MANEUVER,5459.210516051819_sel02_S1.wav,5/16/2021,2:02:32,2:21:25,1133.0448,Sunday
TRW,MANEUVER,5459.210516051819_sel04_S2.wav,5/16/2021,2:42:20,2:56:57,876.2264,Sunday
TRW,MANEUVER,5459.210517051810_sel10_S4.wav,5/17/2021,22:35:20,0:29:16,6835.6274,Monday
TRW,TRANSIT,5459.210517051810_sel11_S5.wav,5/18/2021,0:32:52,1:00:43,1671.0495,Tuesday
TRW,MANEUVER,5459.210517051810_sel13_S6.wav,5/18/2021,1:40:52,2:35:42,3290.8797,Tuesday
TRW,MANEUVER,5459.210517051810_sel15_S8.wav,5/18/2021,4:20:52,5:18:02,3429.7197,Tuesday
TRW,TRANSIT,5459.210518051801_sel01_S2.wav,5/18/2021,8:54:05,10:14:36,4831.0259,Tuesday
TRW,MANEUVER,5459.210518051801_sel05_S3.wav,5/18/2021,23:11:44,23:59:12,2850.092,Tuesday
TRW,MANEUVER,5459.210519051750_sel05_S2.wav,5/19/2021,5:58:45,6:11:14,748.7618,Wednesday
TRW,MANEUVER,5459.210519051750_sel13_S6.wav,5/19/2021,23:54:57,0:51:02,3365.342,Wednesday
TRW,MANEUVER,5459.210519051750_sel16_S8.wav,5/20/2021,1:17:14,1:38:37,1283.6887,Thursday
TRW,MANEUVER,5459.210519051750_sel18_S9.wav,5/20/2021,1:49:22,2:13:17,1434.7571,Thursday
TRW,MANEUVER,5459.210519051750_sel32_S12.wav,5/20/2021,7:19:02,7:20:25,82.4684,
TRW,MANEUVER,5459.210520051740_sel02_S1.wav,5/20/2021,5:49:39,6:34:37,2698.0684,Thursday
TRW,MANEUVER,5459.210520051740_sel03_S2.wav,5/20/2021,6:47:36,7:10:01,1345.033,Thursday
TRW,MANEUVER,5459.210520051740_sel04_S3.wav,5/20/2021,7:19:02,7:59:31,2429.5755,Thursday
TRW,TRANSIT,5459.210520051740_sel07_S6.wav,5/20/2021,22:33:57,23:47:23,4407.1132,Thursday
TRW,MANEUVER,5459.210520051740_sel10_S9.wav,5/21/2021,3:38:48,5:17:31,5923.1991,Friday
