Site,Behavior,Filename,Date,Start_Time,End_Time,Delta_Time_s,Weekday
TRE,MANEUVER,5458.210510053604_sel01_S1.wav,5/10/2021,5:36:04,5:55:07,1142.7717,Monday
TRE,MANEUVER,5458.210517053015_sel04_S4.wav,5/17/2021,23:28:53,0:05:07,2176.6694,Monday
TRW,MANEUVER,5459.210517051810_sel13_S6.wav,5/18/2021,1:40:52,2:35:42,3290.8797,Tuesday
TRE,MANEUVER,5458.210519052957_sel01_S1.wav,5/19/2021,5:33:33,5:49:44,971.1213,Wednesday
TRW,MANEUVER,5459.210519051750_sel39_S15.wav,5/20/2021,1:49:26,1:56:42,435.8362,Thursday
TRW,MANEUVER,5459.210520051740_sel03_S2.wav,5/20/2021,6:47:36,7:10:01,1345.033,Thursday
TRW,MANEUVER,5459.210520051740_sel04_S3.wav,5/20/2021,7:19:02,7:59:31,2429.5755,Thursday
TRE,TRANSIT,5458.210520052947_sel08_S6.wav,5/20/2021,22:30:04,23:00:26,1821.908,Thursday
TRE,TRANSIT,5458.210524052912_sel02_S1.wav,5/24/2021,23:00:09,23:39:33,2365.9079,Monday
TRW,MANEUVER,5459.210524051702_sel14_S5.wav,5/25/2021,3:57:24,4:37:43,2418.237,Tuesday
TRW,MANEUVER,5459.210525051654_sel17_S7.wav,5/26/2021,0:43:24,0:52:29,545.0094,Wednesday
TRW,TRANSIT,5459.210527051634_sel12_S9.wav,5/28/2021,4:33:53,4:59:15,1522.6344,Friday
TRW,MANEUVER,5459.210601051550_sel05_S4.wav,6/2/2021,0:33:11,2:42:36,7765.2288,Wednesday
TRW,MANEUVER,5459.210602051539_sel03_S4.wav,6/2/2021,7:39:40,8:24:57,2716.5354,Wednesday
TRE,MANEUVER,5458.210602052747_sel18_S7.wav,6/2/2021,21:48:26,22:41:48,3201.8986,Wednesday
TRE,MANEUVER,5458.210602052747_sel21_S10.wav,6/3/2021,1:01:41,1:20:32,1131.2406,Thursday
TRE,MANEUVER,5458.210603052735_sel01_S1.wav,6/3/2021,6:08:13,6:24:36,982.7125,Thursday
TRW,TRANSIT,5459.210603051529_sel24_S5.wav,6/3/2021,8:35:26,9:02:13,1607.158,Thursday
TRE,MANEUVER,5458.210604052722_sel01_S1.wav,6/4/2021,8:11:18,8:25:02,824.5401,Friday
TRW,MANEUVER,5459.210604051521_sel50_S11.wav,6/5/2021,4:25:45,4:51:47,1561.5849,Saturday
TRE,MANEUVER,5458.210605052709_sel01_S1.wav,6/5/2021,5:27:09,6:10:20,2590.7901,Saturday
TRE,MANEUVER,5458.210606052659_sel07_S3.wav,6/7/2021,1:12:10,1:36:04,1435.1391,Monday
TRW,MANEUVER,5459.210611051416_sel12_S7.wav,6/11/2021,4:25:24,4:38:40,795.6722,Friday
TRW,MANEUVER,5459.210611051416_sel15_S8.wav,6/11/2021,5:00:44,5:08:41,477.6156,Friday
TRE,MANEUVER,5458.210611052613_sel30_S19.wav,6/12/2021,0:20:50,0:35:17,868.541,Friday
TRW,MANEUVER,5459.210611051416_sel31_S15.wav,6/12/2021,1:11:24,1:26:07,881.5082,Saturday
TRW,MANEUVER,5459.210611051416_sel34_S17.wav,6/12/2021,1:38:29,1:47:46,557.1311,Saturday
TRW,MANEUVER,5459.210611051416_sel35_S18.wav,6/12/2021,1:45:44,1:56:00,617.0867,Saturday
TRW,MANEUVER,5459.210611051416_sel13_S30.wav,6/12/2021,2:26:06,2:46:12,1206.2248,Saturday
TRW,MANEUVER,5459.210612051407_sel03_S4.wav,6/12/2021,7:01:30,8:07:56,3986.7028,Saturday
TRW,MANEUVER,5459.210612051407_sel20_S13.wav,6/12/2021,22:52:21,23:57:44,3923.7665,Saturday
TRE,MANEUVER,5458.210612052602_sel20_S11.wav,6/13/2021,1:21:45,1:49:27,1660.7999,Saturday
TRE,MANEUVER,5458.210612052602_sel21_S12.wav,6/13/2021,3:03:07,3:23:59,1253.731,Saturday
TRE,MANEUVER,5458.210612052602_sel22_S31.wav,6/13/2021,3:49:28,4:46:24,3415.9666,Saturday
TRW,MANEUVER,5459.210613051359_sel15_S6.wav,6/13/2021,5:41:12,5:52:38,686.4402,Sunday
TRE,MANEUVER,5458.210613052550_sel12_S1.wav,6/13/2021,5:45:13,6:10:31,1517.4865,Sunday
TRE,MANEUVER,5458.210613052550_sel01_S2.wav,6/13/2021,6:20:48,6:31:29,641.5259,Sunday
TRW,MANEUVER,5459.210613051359_sel04_S3.wav,6/13/2021,6:41:01,6:59:02,1081.2099,Sunday
TRE,MANEUVER,5458.210615052531_sel07_S3.wav,6/16/2021,1:59:54,2:36:22,2186.6816,Wednesday
TRE,MANEUVER,5458.210616052522_sel01_S1.wav,6/16/2021,5:38:52,6:33:43,3291.3679,Wednesday
TRW,MANEUVER,5459.210616051333_sel33_S7.wav,6/16/2021,23:27:55,23:59:28,1892.1014,Wednesday
TRW,MANEUVER,5459.210617051324_sel03_S2.wav,6/17/2021,5:56:51,7:34:38,5866.9174,Thursday
TRE,TRANSIT,5458.210617052511_sel05_S3.wav,6/17/2021,22:59:09,23:27:45,1717.4407,Thursday
TRW,MANEUVER,5459.210617051324_sel12_S6.wav,6/18/2021,2:12:17,2:19:43,446.625,Friday
TRE,MANEUVER,5458.210623052412_sel11_S13.wav,6/24/2021,3:05:34,3:20:16,883.3131,Thursday
TRW,MANEUVER,5459.210624051223_sel01_S1.wav,6/24/2021,5:14:39,6:45:09,5429.441,Thursday
