"","Begin_Date","Begin_Hour","Maneuver","Transit","Notes","SiteID"
"1",2018-07-01,0,0,0,NA,"CGMP"
"2",2018-07-01,1,0,0,NA,"CGMP"
"3",2018-07-01,2,0,0,NA,"CGMP"
"4",2018-07-01,3,0,0,NA,"CGMP"
"5",2018-07-01,4,0,0,NA,"CGMP"
"6",2018-07-01,5,0,0,NA,"CGMP"
"7",2018-07-01,6,0,0,NA,"CGMP"
"8",2018-07-01,7,0,0,NA,"CGMP"
"9",2018-07-01,8,0,0,NA,"CGMP"
"10",2018-07-01,9,0,0,NA,"CGMP"
"11",2018-07-01,10,0,0,NA,"CGMP"
"12",2018-07-01,11,0,0,NA,"CGMP"
"13",2018-07-01,12,0,0,NA,"CGMP"
"14",2018-07-01,13,0,0,NA,"CGMP"
"15",2018-07-01,14,0,0,NA,"CGMP"
"16",2018-07-01,15,1,0,"this is the park boat","CGMP"
"17",2018-07-01,16,0,0,NA,"CGMP"
"18",2018-07-01,17,0,0,NA,"CGMP"
"19",2018-07-01,18,0,0,NA,"CGMP"
"20",2018-07-01,19,0,0,NA,"CGMP"
"21",2018-07-01,20,0,0,NA,"CGMP"
"22",2018-07-01,21,0,0,NA,"CGMP"
"23",2018-07-01,22,0,0,NA,"CGMP"
"24",2018-07-01,23,0,0,NA,"CGMP"
"25",2018-07-02,0,0,0,NA,"CGMP"
"26",2018-07-02,1,0,0,NA,"CGMP"
"27",2018-07-02,2,0,0,NA,"CGMP"
"28",2018-07-02,3,0,0,NA,"CGMP"
"29",2018-07-02,4,0,0,NA,"CGMP"
"30",2018-07-02,5,0,0,NA,"CGMP"
"31",2018-07-02,6,0,0,NA,"CGMP"
"32",2018-07-02,7,0,0,NA,"CGMP"
"33",2018-07-02,8,0,0,NA,"CGMP"
"34",2018-07-02,9,0,0,NA,"CGMP"
"35",2018-07-02,10,0,0,NA,"CGMP"
"36",2018-07-02,11,0,0,NA,"CGMP"
"37",2018-07-02,12,0,0,NA,"CGMP"
"38",2018-07-02,13,0,0,NA,"CGMP"
"39",2018-07-02,14,0,0,NA,"CGMP"
"40",2018-07-02,15,0,0,NA,"CGMP"
"41",2018-07-02,16,0,0,NA,"CGMP"
"42",2018-07-02,17,0,0,NA,"CGMP"
"43",2018-07-02,18,0,0,NA,"CGMP"
"44",2018-07-02,19,0,0,NA,"CGMP"
"45",2018-07-02,20,0,0,NA,"CGMP"
"46",2018-07-02,21,0,0,NA,"CGMP"
"47",2018-07-02,22,0,0,NA,"CGMP"
"48",2018-07-02,23,0,0,NA,"CGMP"
"49",2018-07-03,0,0,0,NA,"CGMP"
"50",2018-07-03,1,0,0,NA,"CGMP"
"51",2018-07-03,2,0,0,NA,"CGMP"
"52",2018-07-03,3,0,0,NA,"CGMP"
"53",2018-07-03,4,0,0,NA,"CGMP"
"54",2018-07-03,5,0,0,NA,"CGMP"
"55",2018-07-03,6,0,0,NA,"CGMP"
"56",2018-07-03,7,0,0,NA,"CGMP"
"57",2018-07-03,8,0,0,NA,"CGMP"
"58",2018-07-03,9,0,0,NA,"CGMP"
"59",2018-07-03,10,0,0,NA,"CGMP"
"60",2018-07-03,11,0,1,NA,"CGMP"
"61",2018-07-03,12,0,0,NA,"CGMP"
"62",2018-07-03,13,0,0,NA,"CGMP"
"63",2018-07-03,14,0,0,NA,"CGMP"
"64",2018-07-03,15,0,0,NA,"CGMP"
"65",2018-07-03,16,0,0,NA,"CGMP"
"66",2018-07-03,17,0,0,NA,"CGMP"
"67",2018-07-03,18,0,0,NA,"CGMP"
"68",2018-07-03,19,0,0,NA,"CGMP"
"69",2018-07-03,20,0,0,NA,"CGMP"
"70",2018-07-03,21,0,0,NA,"CGMP"
"71",2018-07-03,22,0,0,NA,"CGMP"
"72",2018-07-03,23,0,0,NA,"CGMP"
"73",2018-07-04,0,0,0,NA,"CGMP"
"74",2018-07-04,1,0,0,NA,"CGMP"
"75",2018-07-04,2,0,0,NA,"CGMP"
"76",2018-07-04,3,0,0,NA,"CGMP"
"77",2018-07-04,4,0,0,NA,"CGMP"
"78",2018-07-04,5,0,0,NA,"CGMP"
"79",2018-07-04,6,0,0,NA,"CGMP"
"80",2018-07-04,7,0,0,NA,"CGMP"
"81",2018-07-04,8,0,0,NA,"CGMP"
"82",2018-07-04,9,0,0,NA,"CGMP"
"83",2018-07-04,10,0,0,NA,"CGMP"
"84",2018-07-04,11,0,0,NA,"CGMP"
"85",2018-07-04,12,0,0,NA,"CGMP"
"86",2018-07-04,13,0,1,NA,"CGMP"
"87",2018-07-04,14,0,0,NA,"CGMP"
"88",2018-07-04,15,0,0,NA,"CGMP"
"89",2018-07-04,16,0,0,NA,"CGMP"
"90",2018-07-04,17,0,0,NA,"CGMP"
"91",2018-07-04,18,0,0,NA,"CGMP"
"92",2018-07-04,19,0,0,NA,"CGMP"
"93",2018-07-04,20,0,0,NA,"CGMP"
"94",2018-07-04,21,0,0,NA,"CGMP"
"95",2018-07-04,22,0,0,NA,"CGMP"
"96",2018-07-04,23,0,1,NA,"CGMP"
"97",2018-07-05,0,0,0,NA,"CGMP"
"98",2018-07-05,1,0,0,NA,"CGMP"
"99",2018-07-05,2,0,0,NA,"CGMP"
"100",2018-07-05,3,0,0,NA,"CGMP"
"101",2018-07-05,4,0,0,NA,"CGMP"
"102",2018-07-05,5,0,0,NA,"CGMP"
