"","Begin_Date","Begin_Hour","Maneuver","Transit","Notes","SiteID"
"1",2022-01-05,0,0,0,NA,"JNE"
"2",2022-01-05,1,0,0,NA,"JNE"
"3",2022-01-05,2,1,0,NA,"JNE"
"4",2022-01-05,3,0,0,NA,"JNE"
"5",2022-01-05,4,0,0,NA,"JNE"
"6",2022-01-05,5,0,0,NA,"JNE"
"7",2022-01-05,6,0,0,NA,"JNE"
"8",2022-01-05,7,0,0,NA,"JNE"
"9",2022-01-05,8,0,0,NA,"JNE"
"10",2022-01-05,9,0,0,NA,"JNE"
"11",2022-01-05,10,0,0,NA,"JNE"
"12",2022-01-05,11,0,0,NA,"JNE"
"13",2022-01-05,12,0,0,NA,"JNE"
"14",2022-01-05,13,0,0,NA,"JNE"
"15",2022-01-05,14,0,0,NA,"JNE"
"16",2022-01-05,15,0,0,NA,"JNE"
"17",2022-01-05,16,0,0,NA,"JNE"
"18",2022-01-05,17,0,1,"faint","JNE"
"19",2022-01-05,18,0,0,NA,"JNE"
"20",2022-01-05,19,0,0,NA,"JNE"
"21",2022-01-05,20,0,0,NA,"JNE"
"22",2022-01-05,21,0,1,NA,"JNE"
"23",2022-01-05,22,0,0,NA,"JNE"
"24",2022-01-05,23,0,0,NA,"JNE"
"25",2022-01-06,0,1,0,NA,"JNE"
"26",2022-01-06,1,0,0,NA,"JNE"
"27",2022-01-06,2,0,0,NA,"JNE"
"28",2022-01-06,3,0,0,NA,"JNE"
"29",2022-01-06,4,0,1,NA,"JNE"
"30",2022-01-06,5,0,0,NA,"JNE"
"31",2022-01-06,6,0,0,NA,"JNE"
"32",2022-01-06,7,0,0,NA,"JNE"
"33",2022-01-06,8,0,0,NA,"JNE"
"34",2022-01-06,9,0,0,NA,"JNE"
"35",2022-01-06,10,0,0,NA,"JNE"
"36",2022-01-06,11,0,0,NA,"JNE"
"37",2022-01-06,12,0,0,NA,"JNE"
"38",2022-01-06,13,0,0,NA,"JNE"
"39",2022-01-06,14,0,0,NA,"JNE"
"40",2022-01-06,15,0,0,NA,"JNE"
"41",2022-01-06,16,0,1,NA,"JNE"
"42",2022-01-06,17,0,0,NA,"JNE"
"43",2022-01-06,18,0,0,NA,"JNE"
"44",2022-01-06,19,0,0,NA,"JNE"
"45",2022-01-06,20,0,0,NA,"JNE"
"46",2022-01-06,21,0,0,NA,"JNE"
"47",2022-01-06,22,0,0,NA,"JNE"
"48",2022-01-06,23,0,0,NA,"JNE"
"49",2022-01-07,0,0,0,NA,"JNE"
"50",2022-01-07,1,0,0,NA,"JNE"
"51",2022-01-07,2,0,0,NA,"JNE"
"52",2022-01-07,3,0,1,NA,"JNE"
