"","Begin_Date","Begin_Hour","Transit","Notes","SiteID"
"1",2020-02-08,0,0,NA,"MRW"
"2",2020-02-08,1,0,NA,"MRW"
"3",2020-02-08,2,0,NA,"MRW"
"4",2020-02-08,3,0,NA,"MRW"
"5",2020-02-08,4,0,NA,"MRW"
"6",2020-02-08,5,0,NA,"MRW"
"7",2020-02-08,6,0,NA,"MRW"
"8",2020-02-08,7,0,NA,"MRW"
"9",2020-02-08,8,0,NA,"MRW"
"10",2020-02-08,9,0,NA,"MRW"
"11",2020-02-08,10,0,NA,"MRW"
"12",2020-02-08,11,0,NA,"MRW"
"13",2020-02-08,12,0,NA,"MRW"
"14",2020-02-08,13,0,NA,"MRW"
"15",2020-02-08,14,0,NA,"MRW"
"16",2020-02-08,15,0,NA,"MRW"
"17",2020-02-08,16,0,NA,"MRW"
"18",2020-02-08,17,0,NA,"MRW"
"19",2020-02-08,18,0,NA,"MRW"
"20",2020-02-08,19,0,NA,"MRW"
"21",2020-02-08,20,0,NA,"MRW"
"22",2020-02-08,21,0,NA,"MRW"
"23",2020-02-08,22,0,NA,"MRW"
"24",2020-02-08,23,0,NA,"MRW"
"25",2020-02-09,0,0,NA,"MRW"
"26",2020-02-09,1,0,NA,"MRW"
"27",2020-02-09,2,0,NA,"MRW"
"28",2020-02-09,3,0,NA,"MRW"
"29",2020-02-09,4,0,NA,"MRW"
"30",2020-02-09,5,0,NA,"MRW"
"31",2020-02-09,6,0,NA,"MRW"
"32",2020-02-09,7,0,NA,"MRW"
"33",2020-02-09,8,0,NA,"MRW"
"34",2020-02-09,9,0,NA,"MRW"
"35",2020-02-09,10,0,NA,"MRW"
"36",2020-02-09,11,0,NA,"MRW"
"37",2020-02-09,12,0,NA,"MRW"
"38",2020-02-09,13,0,NA,"MRW"
"39",2020-02-09,14,0,NA,"MRW"
"40",2020-02-09,15,0,NA,"MRW"
"41",2020-02-09,16,0,NA,"MRW"
"42",2020-02-09,17,0,NA,"MRW"
"43",2020-02-09,18,0,NA,"MRW"
"44",2020-02-09,19,0,NA,"MRW"
"45",2020-02-09,20,0,NA,"MRW"
"46",2020-02-09,21,0,NA,"MRW"
"47",2020-02-09,22,0,NA,"MRW"
"48",2020-02-09,23,0,NA,"MRW"
"49",2020-02-10,0,0,NA,"MRW"
"50",2020-02-10,1,0,NA,"MRW"
"51",2020-02-10,2,0,NA,"MRW"
"52",2020-02-10,3,0,NA,"MRW"
"53",2020-02-10,4,0,NA,"MRW"
"54",2020-02-10,5,0,NA,"MRW"
"55",2020-02-10,6,0,NA,"MRW"
"56",2020-02-10,7,0,NA,"MRW"
"57",2020-02-10,8,0,NA,"MRW"
"58",2020-02-10,9,0,NA,"MRW"
"59",2020-02-10,10,0,NA,"MRW"
"60",2020-02-10,11,0,NA,"MRW"
"61",2020-02-10,12,0,NA,"MRW"
"62",2020-02-10,13,0,NA,"MRW"
"63",2020-02-10,14,0,NA,"MRW"
"64",2020-02-10,15,0,NA,"MRW"
"65",2020-02-10,16,0,NA,"MRW"
"66",2020-02-10,17,0,NA,"MRW"
"67",2020-02-10,18,0,NA,"MRW"
"68",2020-02-10,19,0,NA,"MRW"
"69",2020-02-10,20,0,NA,"MRW"
"70",2020-02-10,21,0,NA,"MRW"
"71",2020-02-10,22,0,NA,"MRW"
"72",2020-02-10,23,0,NA,"MRW"
"73",2020-02-11,0,0,NA,"MRW"
"74",2020-02-11,1,0,NA,"MRW"
"75",2020-02-11,2,0,NA,"MRW"
"76",2020-02-11,3,0,NA,"MRW"
"77",2020-02-11,4,0,NA,"MRW"
"78",2020-02-11,5,0,NA,"MRW"
"79",2020-02-11,6,0,NA,"MRW"
"80",2020-02-11,7,0,NA,"MRW"
"81",2020-02-11,8,0,NA,"MRW"
"82",2020-02-11,9,0,NA,"MRW"
"83",2020-02-11,10,0,NA,"MRW"
"84",2020-02-11,11,0,NA,"MRW"
"85",2020-02-11,12,0,NA,"MRW"
"86",2020-02-11,13,0,NA,"MRW"
"87",2020-02-11,14,0,NA,"MRW"
"88",2020-02-11,15,0,NA,"MRW"
"89",2020-02-11,16,0,NA,"MRW"
"90",2020-02-11,17,0,NA,"MRW"
"91",2020-02-11,18,0,NA,"MRW"
"92",2020-02-11,19,0,NA,"MRW"
"93",2020-02-11,20,0,NA,"MRW"
"94",2020-02-11,21,0,NA,"MRW"
"95",2020-02-11,22,0,NA,"MRW"
"96",2020-02-11,23,0,NA,"MRW"
"97",2020-02-12,0,0,NA,"MRW"
"98",2020-02-12,1,0,NA,"MRW"
"99",2020-02-12,2,0,NA,"MRW"
"100",2020-02-12,3,0,NA,"MRW"
"101",2020-02-12,4,0,NA,"MRW"
"102",2020-02-12,5,0,NA,"MRW"
"103",2020-02-12,6,0,NA,"MRW"
"104",2020-02-12,7,0,NA,"MRW"
"105",2020-02-12,8,0,NA,"MRW"
"106",2020-02-12,9,0,NA,"MRW"
"107",2020-02-12,10,0,NA,"MRW"
"108",2020-02-12,11,0,NA,"MRW"
"109",2020-02-12,12,0,NA,"MRW"
"110",2020-02-12,13,0,NA,"MRW"
"111",2020-02-12,14,0,NA,"MRW"
"112",2020-02-12,15,0,NA,"MRW"
"113",2020-02-12,16,0,NA,"MRW"
"114",2020-02-12,17,0,NA,"MRW"
"115",2020-02-12,18,0,NA,"MRW"
"116",2020-02-12,19,0,NA,"MRW"
"117",2020-02-12,20,0,NA,"MRW"
"118",2020-02-12,21,0,NA,"MRW"
"119",2020-02-12,22,0,NA,"MRW"
"120",2020-02-12,23,0,NA,"MRW"
"121",2020-02-13,0,0,NA,"MRW"
"122",2020-02-13,1,0,NA,"MRW"
"123",2020-02-13,2,0,NA,"MRW"
"124",2020-02-13,3,0,NA,"MRW"
"125",2020-02-13,4,0,NA,"MRW"
"126",2020-02-13,5,0,NA,"MRW"
"127",2020-02-13,6,0,NA,"MRW"
"128",2020-02-13,7,0,NA,"MRW"
"129",2020-02-13,8,0,NA,"MRW"
"130",2020-02-13,9,0,NA,"MRW"
"131",2020-02-13,10,0,NA,"MRW"
"132",2020-02-13,11,0,NA,"MRW"
"133",2020-02-13,12,0,NA,"MRW"
"134",2020-02-13,13,0,NA,"MRW"
"135",2020-02-13,14,0,NA,"MRW"
"136",2020-02-13,15,0,NA,"MRW"
"137",2020-02-13,16,0,NA,"MRW"
"138",2020-02-13,17,0,NA,"MRW"
"139",2020-02-13,18,0,NA,"MRW"
"140",2020-02-13,19,0,NA,"MRW"
"141",2020-02-13,20,0,NA,"MRW"
"142",2020-02-13,21,0,NA,"MRW"
"143",2020-02-13,22,0,NA,"MRW"
"144",2020-02-13,23,0,NA,"MRW"
"145",2020-02-14,0,0,NA,"MRW"
"146",2020-02-14,1,0,NA,"MRW"
"147",2020-02-14,2,0,NA,"MRW"
"148",2020-02-14,3,0,NA,"MRW"
"149",2020-02-14,4,0,NA,"MRW"
"150",2020-02-14,5,0,NA,"MRW"
"151",2020-02-14,6,0,NA,"MRW"
"152",2020-02-14,7,0,NA,"MRW"
"153",2020-02-14,8,0,NA,"MRW"
"154",2020-02-14,9,0,NA,"MRW"
"155",2020-02-14,10,0,NA,"MRW"
"156",2020-02-14,11,0,NA,"MRW"
"157",2020-02-14,12,0,NA,"MRW"
"158",2020-02-14,13,0,NA,"MRW"
"159",2020-02-14,14,0,NA,"MRW"
"160",2020-02-14,15,0,NA,"MRW"
"161",2020-02-14,16,0,NA,"MRW"
"162",2020-02-14,17,0,NA,"MRW"
"163",2020-02-14,18,0,NA,"MRW"
"164",2020-02-14,19,0,NA,"MRW"
"165",2020-02-14,20,0,NA,"MRW"
"166",2020-02-14,21,0,NA,"MRW"
"167",2020-02-14,22,0,NA,"MRW"
"168",2020-02-14,23,0,NA,"MRW"
"169",2020-02-15,0,0,NA,"MRW"
"170",2020-02-15,1,0,NA,"MRW"
"171",2020-02-15,2,0,NA,"MRW"
"172",2020-02-15,3,0,NA,"MRW"
"173",2020-02-15,4,0,NA,"MRW"
"174",2020-02-15,5,0,NA,"MRW"
"175",2020-02-15,6,0,NA,"MRW"
"176",2020-02-15,7,0,NA,"MRW"
"177",2020-02-15,8,0,NA,"MRW"
"178",2020-02-15,9,0,NA,"MRW"
