SiteID,Begin_Date,Weekday,Begin_hour,TR,M,PresentTotal,Low_baleen,Humpback,Mid_baleen,Dolphin,Fish_chorus,SnappingShrimp,Notes
JNE,1/5/22,Wednesday,0,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,1,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,2,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,3,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,4,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,5,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,6,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,7,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,8,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,9,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,10,0,1,1,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,11,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,12,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,13,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,14,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,15,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,16,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,17,0,0,0,0,0,0,0,0,0,faint
JNE,1/5/22,Wednesday,18,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,19,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,20,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,21,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,22,0,0,0,0,0,0,0,0,0,
JNE,1/5/22,Wednesday,23,0,0,0,0,0,0,0,0,0,
JNE,1/6/22,Thursday,0,0,0,0,0,0,0,0,0,0,
JNE,1/6/22,Thursday,1,1,0,1,0,0,0,0,0,0,
