"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes"
"1",2021-05-10,0,0,NA,0,NA
"2",2021-05-10,1,0,NA,0,NA
"3",2021-05-10,2,0,NA,0,NA
"4",2021-05-10,3,0,NA,0,NA
"5",2021-05-10,4,0,NA,0,NA
"6",2021-05-10,5,0,1,0,NA
"7",2021-05-10,6,0,NA,0,NA
"8",2021-05-10,7,0,1,0,NA
"9",2021-05-10,8,0,1,0,NA
"10",2021-05-10,9,1,0,0,NA
"11",2021-05-10,10,0,NA,0,NA
"12",2021-05-10,11,0,NA,0,NA
"13",2021-05-10,12,0,NA,0,NA
"14",2021-05-10,13,0,NA,0,NA
"15",2021-05-10,14,0,NA,0,NA
"16",2021-05-10,15,0,NA,0,NA
"17",2021-05-10,16,0,NA,0,NA
"18",2021-05-10,17,0,NA,0,NA
"19",2021-05-10,18,0,NA,0,NA
"20",2021-05-10,19,0,NA,0,NA
"21",2021-05-10,20,0,NA,0,NA
"22",2021-05-10,21,0,NA,0,NA
"23",2021-05-10,22,0,NA,0,NA
"24",2021-05-10,23,0,NA,0,NA
"25",2021-05-11,0,0,NA,0,NA
"26",2021-05-11,1,0,NA,0,NA
"27",2021-05-11,2,0,NA,0,NA
"28",2021-05-11,3,0,NA,0,NA
"29",2021-05-11,4,0,1,0,NA
"30",2021-05-11,5,0,NA,0,NA
"31",2021-05-11,6,0,1,0,NA
"32",2021-05-11,7,0,NA,0,NA
"33",2021-05-11,8,0,NA,0,NA
"34",2021-05-11,9,0,NA,0,NA
"35",2021-05-11,10,0,1,0,NA
"36",2021-05-11,11,0,NA,0,NA
"37",2021-05-11,12,0,NA,0,NA
"38",2021-05-11,13,0,NA,0,NA
"39",2021-05-11,14,0,NA,0,NA
"40",2021-05-11,15,0,NA,0,NA
"41",2021-05-11,16,0,NA,0,NA
"42",2021-05-11,17,0,NA,0,NA
"43",2021-05-11,18,0,NA,0,NA
"44",2021-05-11,19,0,NA,0,NA
"45",2021-05-11,20,0,NA,0,NA
"46",2021-05-11,21,0,NA,0,NA
"47",2021-05-11,22,0,2,0,NA
"48",2021-05-11,23,0,1,0,NA
"49",2021-05-12,0,0,1,0,"added on review"
"50",2021-05-12,1,0,1,0,NA
"51",2021-05-12,2,0,NA,0,NA
"52",2021-05-12,3,0,NA,0,NA
"53",2021-05-12,4,0,NA,0,NA
"54",2021-05-12,5,0,NA,0,NA
"55",2021-05-12,6,0,NA,0,NA
"56",2021-05-12,7,0,NA,0,NA
"57",2021-05-12,8,0,NA,0,NA
"58",2021-05-12,9,0,NA,0,NA
"59",2021-05-12,10,0,NA,0,NA
"60",2021-05-12,11,0,NA,0,NA
"61",2021-05-12,12,0,NA,0,NA
"62",2021-05-12,13,0,NA,0,NA
"63",2021-05-12,14,0,NA,0,NA
"64",2021-05-12,15,0,NA,0,NA
"65",2021-05-12,16,0,NA,0,NA
"66",2021-05-12,17,0,NA,0,NA
"67",2021-05-12,18,0,NA,0,NA
"68",2021-05-12,19,0,NA,0,NA
"69",2021-05-12,20,0,NA,0,NA
"70",2021-05-12,21,0,NA,0,NA
"71",2021-05-12,22,0,NA,0,NA
"72",2021-05-12,23,0,NA,0,NA
"73",2021-05-13,0,0,NA,0,NA
"74",2021-05-13,1,0,NA,0,NA
"75",2021-05-13,2,0,NA,0,NA
"76",2021-05-13,3,0,1,0,NA
"77",2021-05-13,4,0,NA,0,NA
"78",2021-05-13,5,0,1,0,NA
"79",2021-05-13,6,0,NA,0,NA
