"","Begin_Date","Begin_Hour","Maneuver","Transit","Notes","SiteID"
"1",2018-12-12,0,0,0,NA,"EP"
"2",2018-12-12,1,0,0,NA,"EP"
"3",2018-12-12,2,0,0,NA,"EP"
"4",2018-12-12,3,0,0,NA,"EP"
"5",2018-12-12,4,0,0,NA,"EP"
"6",2018-12-12,5,0,0,NA,"EP"
"7",2018-12-12,6,0,0,NA,"EP"
"8",2018-12-12,7,0,0,NA,"EP"
"9",2018-12-12,8,0,0,NA,"EP"
"10",2018-12-12,9,0,0,NA,"EP"
"11",2018-12-12,10,1,0,"possibly patrol boat","EP"
"12",2018-12-12,11,0,0,NA,"EP"
"13",2018-12-12,12,0,0,NA,"EP"
"14",2018-12-12,13,0,0,NA,"EP"
"15",2018-12-12,14,0,0,NA,"EP"
"16",2018-12-12,15,0,0,NA,"EP"
"17",2018-12-12,16,0,0,NA,"EP"
"18",2018-12-12,17,0,0,NA,"EP"
"19",2018-12-12,18,0,0,NA,"EP"
"20",2018-12-12,19,0,0,NA,"EP"
"21",2018-12-12,20,0,0,NA,"EP"
"22",2018-12-12,21,0,0,NA,"EP"
"23",2018-12-12,22,0,0,NA,"EP"
"24",2018-12-12,23,0,0,NA,"EP"
"25",2018-12-13,0,0,0,NA,"EP"
"26",2018-12-13,1,0,0,NA,"EP"
"27",2018-12-13,2,0,0,NA,"EP"
"28",2018-12-13,3,0,0,NA,"EP"
"29",2018-12-13,4,0,0,NA,"EP"
"30",2018-12-13,5,0,0,NA,"EP"
"31",2018-12-13,6,0,0,NA,"EP"
"32",2018-12-13,7,0,0,NA,"EP"
"33",2018-12-13,8,0,1,NA,"EP"
"34",2018-12-13,9,0,0,NA,"EP"
"35",2018-12-13,10,0,0,NA,"EP"
"36",2018-12-13,11,0,0,NA,"EP"
"37",2018-12-13,12,0,0,NA,"EP"
"38",2018-12-13,13,0,0,NA,"EP"
"39",2018-12-13,14,0,0,NA,"EP"
"40",2018-12-13,15,0,0,NA,"EP"
"41",2018-12-13,16,0,0,NA,"EP"
"42",2018-12-13,17,0,0,NA,"EP"
"43",2018-12-13,18,0,0,NA,"EP"
"44",2018-12-13,19,0,0,NA,"EP"
"45",2018-12-13,20,0,0,NA,"EP"
"46",2018-12-13,21,0,0,NA,"EP"
"47",2018-12-13,22,0,0,NA,"EP"
"48",2018-12-13,23,0,0,NA,"EP"
"49",2018-12-14,0,0,0,NA,"EP"
"50",2018-12-14,1,0,0,NA,"EP"
"51",2018-12-14,2,0,0,NA,"EP"
"52",2018-12-14,3,0,0,NA,"EP"
"53",2018-12-14,4,0,0,NA,"EP"
"54",2018-12-14,5,0,0,NA,"EP"
"55",2018-12-14,6,0,0,NA,"EP"
"56",2018-12-14,7,0,0,NA,"EP"
"57",2018-12-14,8,0,0,NA,"EP"
"58",2018-12-14,9,0,0,NA,"EP"
"59",2018-12-14,10,0,0,NA,"EP"
"60",2018-12-14,11,0,0,NA,"EP"
"61",2018-12-14,12,0,0,NA,"EP"
"62",2018-12-14,13,0,0,NA,"EP"
"63",2018-12-14,14,0,0,NA,"EP"
"64",2018-12-14,15,0,0,NA,"EP"
"65",2018-12-14,16,0,0,NA,"EP"
"66",2018-12-14,17,0,0,NA,"EP"
"67",2018-12-14,18,0,0,NA,"EP"
"68",2018-12-14,19,0,0,NA,"EP"
"69",2018-12-14,20,0,0,NA,"EP"
"70",2018-12-14,21,0,0,NA,"EP"
"71",2018-12-14,22,0,0,NA,"EP"
"72",2018-12-14,23,0,0,NA,"EP"
"73",2018-12-15,0,0,0,NA,"EP"
"74",2018-12-15,1,0,0,NA,"EP"
"75",2018-12-15,2,0,0,NA,"EP"
"76",2018-12-15,3,0,1,NA,"EP"
"77",2018-12-15,4,0,0,NA,"EP"
"78",2018-12-15,5,0,0,NA,"EP"
"79",2018-12-15,6,0,0,NA,"EP"
"80",2018-12-15,7,0,0,NA,"EP"
"81",2018-12-15,8,0,2,"too faint for RL; ","EP"
"82",2018-12-15,9,0,0,NA,"EP"
"83",2018-12-15,10,0,0,NA,"EP"
"84",2018-12-15,11,0,0,NA,"EP"
"85",2018-12-15,12,0,0,NA,"EP"
"86",2018-12-15,13,0,0,NA,"EP"
"87",2018-12-15,14,0,0,NA,"EP"
"88",2018-12-15,15,0,0,NA,"EP"
"89",2018-12-15,16,0,0,NA,"EP"
"90",2018-12-15,17,0,0,NA,"EP"
"91",2018-12-15,18,0,0,NA,"EP"
"92",2018-12-15,19,0,0,NA,"EP"
"93",2018-12-15,20,0,0,NA,"EP"
"94",2018-12-15,21,0,0,NA,"EP"
"95",2018-12-15,22,0,0,NA,"EP"
"96",2018-12-15,23,0,0,NA,"EP"
"97",2018-12-16,0,0,0,NA,"EP"
"98",2018-12-16,1,0,0,NA,"EP"
"99",2018-12-16,2,0,0,NA,"EP"
"100",2018-12-16,3,0,0,NA,"EP"
"101",2018-12-16,4,0,0,NA,"EP"
"102",2018-12-16,5,0,0,NA,"EP"
"103",2018-12-16,6,0,0,NA,"EP"
"104",2018-12-16,7,0,2,NA,"EP"
"105",2018-12-16,8,0,0,NA,"EP"
"106",2018-12-16,9,0,0,NA,"EP"
"107",2018-12-16,10,0,0,NA,"EP"
"108",2018-12-16,11,1,0,NA,"EP"
"109",2018-12-16,12,0,0,NA,"EP"
"110",2018-12-16,13,0,0,NA,"EP"
"111",2018-12-16,14,0,0,NA,"EP"
"112",2018-12-16,15,0,0,NA,"EP"
"113",2018-12-16,16,0,0,NA,"EP"
"114",2018-12-16,17,0,0,NA,"EP"
"115",2018-12-16,18,0,0,NA,"EP"
"116",2018-12-16,19,0,0,NA,"EP"
"117",2018-12-16,20,0,0,NA,"EP"
"118",2018-12-16,21,0,0,NA,"EP"
"119",2018-12-16,22,0,0,NA,"EP"
"120",2018-12-16,23,0,0,NA,"EP"
"121",2018-12-17,0,0,0,NA,"EP"
"122",2018-12-17,1,0,0,NA,"EP"
"123",2018-12-17,2,0,0,NA,"EP"
"124",2018-12-17,3,0,0,NA,"EP"
"125",2018-12-17,4,0,0,NA,"EP"
"126",2018-12-17,5,0,0,NA,"EP"
"127",2018-12-17,6,0,0,NA,"EP"
"128",2018-12-17,7,0,0,NA,"EP"
"129",2018-12-17,8,0,0,NA,"EP"
"130",2018-12-17,9,0,0,NA,"EP"
"131",2018-12-17,10,0,0,NA,"EP"
"132",2018-12-17,11,0,0,NA,"EP"
"133",2018-12-17,12,0,0,NA,"EP"
"134",2018-12-17,13,0,0,NA,"EP"
"135",2018-12-17,14,0,0,NA,"EP"
"136",2018-12-17,15,0,0,NA,"EP"
"137",2018-12-17,16,0,0,NA,"EP"
"138",2018-12-17,17,0,0,NA,"EP"
"139",2018-12-17,18,0,0,NA,"EP"
"140",2018-12-17,19,0,0,NA,"EP"
