"","Begin_Date","Begin_Hour","Maneuver","Transit","Notes","SiteID"
"1",2022-01-18,0,0,0,NA,"SWS"
"2",2022-01-18,1,0,0,NA,"SWS"
"3",2022-01-18,2,0,0,NA,"SWS"
"4",2022-01-18,3,0,0,NA,"SWS"
"5",2022-01-18,4,0,0,NA,"SWS"
"6",2022-01-18,5,0,0,NA,"SWS"
"7",2022-01-18,6,0,0,NA,"SWS"
"8",2022-01-18,7,0,0,NA,"SWS"
"9",2022-01-18,8,1,0,"LTSA","SWS"
"10",2022-01-18,9,0,1,NA,"SWS"
"11",2022-01-18,10,0,0,NA,"SWS"
"12",2022-01-18,11,0,0,NA,"SWS"
"13",2022-01-18,12,0,0,NA,"SWS"
"14",2022-01-18,13,0,1,NA,"SWS"
"15",2022-01-18,14,0,0,NA,"SWS"
"16",2022-01-18,15,0,0,NA,"SWS"
"17",2022-01-18,16,0,0,NA,"SWS"
"18",2022-01-18,17,0,0,NA,"SWS"
"19",2022-01-18,18,0,0,NA,"SWS"
"20",2022-01-18,19,0,0,NA,"SWS"
"21",2022-01-18,20,0,0,NA,"SWS"
"22",2022-01-18,21,0,0,NA,"SWS"
"23",2022-01-18,22,0,0,NA,"SWS"
"24",2022-01-18,23,0,0,NA,"SWS"
"25",2022-01-19,0,0,0,NA,"SWS"
"26",2022-01-19,1,0,0,NA,"SWS"
"27",2022-01-19,2,0,0,NA,"SWS"
"28",2022-01-19,3,0,0,NA,"SWS"
"29",2022-01-19,4,0,0,NA,"SWS"
"30",2022-01-19,5,0,0,NA,"SWS"
"31",2022-01-19,6,0,0,NA,"SWS"
"32",2022-01-19,7,0,1,NA,"SWS"
"33",2022-01-19,8,0,0,NA,"SWS"
"34",2022-01-19,9,0,1,NA,"SWS"
"35",2022-01-19,10,0,0,NA,"SWS"
"36",2022-01-19,11,0,0,NA,"SWS"
"37",2022-01-19,12,0,0,NA,"SWS"
"38",2022-01-19,13,0,0,NA,"SWS"
"39",2022-01-19,14,0,1,NA,"SWS"
"40",2022-01-19,15,0,0,NA,"SWS"
"41",2022-01-19,16,0,1,NA,"SWS"
"42",2022-01-19,17,0,1,NA,"SWS"
"43",2022-01-19,18,0,0,NA,"SWS"
"44",2022-01-19,19,0,0,NA,"SWS"
"45",2022-01-19,20,0,0,NA,"SWS"
"46",2022-01-19,21,0,0,NA,"SWS"
"47",2022-01-19,22,0,0,NA,"SWS"
"48",2022-01-19,23,0,0,NA,"SWS"
"49",2022-01-20,0,0,0,NA,"SWS"
"50",2022-01-20,1,0,0,NA,"SWS"
"51",2022-01-20,2,0,0,NA,"SWS"
"52",2022-01-20,3,0,0,NA,"SWS"
"53",2022-01-20,4,0,0,NA,"SWS"
"54",2022-01-20,5,0,0,NA,"SWS"
"55",2022-01-20,6,0,0,NA,"SWS"
"56",2022-01-20,7,0,0,NA,"SWS"
"57",2022-01-20,8,0,0,NA,"SWS"
"58",2022-01-20,9,0,0,NA,"SWS"
"59",2022-01-20,10,0,0,NA,"SWS"
