"","Begin_Date","Begin_Hour","Maneuver","Not_Assigned","Transit","Notes","SiteID"
"1",2021-05-10,0,0,NA,0,NA,"TRE"
"2",2021-05-10,1,0,NA,0,NA,"TRE"
"3",2021-05-10,2,0,NA,0,NA,"TRE"
"4",2021-05-10,3,0,NA,0,NA,"TRE"
"5",2021-05-10,4,0,NA,0,NA,"TRE"
"6",2021-05-10,5,2,0,0,NA,"TRE"
"7",2021-05-10,6,0,NA,0,NA,"TRE"
"8",2021-05-10,7,1,1,0,"; added on review","TRE"
"9",2021-05-10,8,0,1,0,"LTSA","TRE"
"10",2021-05-10,9,1,3,0,"; ; ; ","TRE"
"11",2021-05-10,10,0,NA,0,NA,"TRE"
"12",2021-05-10,11,0,NA,0,NA,"TRE"
"13",2021-05-10,12,0,NA,0,NA,"TRE"
"14",2021-05-10,13,0,1,0,NA,"TRE"
"15",2021-05-10,14,0,NA,0,NA,"TRE"
"16",2021-05-10,15,0,NA,0,NA,"TRE"
"17",2021-05-10,16,0,NA,0,NA,"TRE"
"18",2021-05-10,17,0,NA,0,NA,"TRE"
"19",2021-05-10,18,0,NA,0,NA,"TRE"
"20",2021-05-10,19,0,NA,0,NA,"TRE"
"21",2021-05-10,20,0,NA,0,NA,"TRE"
"22",2021-05-10,21,0,NA,0,NA,"TRE"
"23",2021-05-10,22,0,NA,0,NA,"TRE"
"24",2021-05-10,23,0,NA,0,NA,"TRE"
"25",2021-05-11,0,0,NA,0,NA,"TRE"
"26",2021-05-11,1,0,NA,0,NA,"TRE"
"27",2021-05-11,2,0,NA,0,NA,"TRE"
"28",2021-05-11,3,0,1,0,NA,"TRE"
"29",2021-05-11,4,0,NA,0,NA,"TRE"
"30",2021-05-11,5,0,NA,0,NA,"TRE"
"31",2021-05-11,6,0,1,0,"LTSA","TRE"
"32",2021-05-11,7,0,NA,0,NA,"TRE"
"33",2021-05-11,8,0,1,0,"LTSA","TRE"
"34",2021-05-11,9,0,NA,0,NA,"TRE"
"35",2021-05-11,10,0,NA,0,NA,"TRE"
"36",2021-05-11,11,0,1,0,"LTSA","TRE"
"37",2021-05-11,12,0,1,0,"LTSA","TRE"
"38",2021-05-11,13,0,1,0,"LTSA","TRE"
"39",2021-05-11,14,0,NA,0,NA,"TRE"
"40",2021-05-11,15,0,NA,0,NA,"TRE"
"41",2021-05-11,16,0,NA,0,NA,"TRE"
"42",2021-05-11,17,0,NA,0,NA,"TRE"
"43",2021-05-11,18,0,NA,0,NA,"TRE"
"44",2021-05-11,19,0,NA,0,NA,"TRE"
"45",2021-05-11,20,0,NA,0,NA,"TRE"
"46",2021-05-11,21,0,NA,0,NA,"TRE"
"47",2021-05-11,22,0,1,0,NA,"TRE"
"48",2021-05-11,23,0,1,0,NA,"TRE"
"49",2021-05-12,0,0,1,0,NA,"TRE"
"50",2021-05-12,1,0,1,0,"LTSA","TRE"
"51",2021-05-12,2,0,NA,0,NA,"TRE"
"52",2021-05-12,3,0,NA,0,NA,"TRE"
"53",2021-05-12,4,0,NA,0,NA,"TRE"
"54",2021-05-12,5,0,NA,0,NA,"TRE"
"55",2021-05-12,6,0,NA,0,NA,"TRE"
"56",2021-05-12,7,0,NA,0,NA,"TRE"
"57",2021-05-12,8,0,NA,0,NA,"TRE"
"58",2021-05-12,9,0,NA,0,NA,"TRE"
"59",2021-05-12,10,0,NA,0,NA,"TRE"
"60",2021-05-12,11,0,NA,0,NA,"TRE"
"61",2021-05-12,12,0,NA,0,NA,"TRE"
"62",2021-05-12,13,0,NA,0,NA,"TRE"
"63",2021-05-12,14,0,NA,0,NA,"TRE"
"64",2021-05-12,15,0,NA,0,NA,"TRE"
"65",2021-05-12,16,0,NA,0,NA,"TRE"
"66",2021-05-12,17,0,NA,0,NA,"TRE"
"67",2021-05-12,18,0,NA,0,NA,"TRE"
"68",2021-05-12,19,0,NA,0,NA,"TRE"
"69",2021-05-12,20,0,NA,0,NA,"TRE"
"70",2021-05-12,21,0,NA,0,NA,"TRE"
"71",2021-05-12,22,0,NA,0,NA,"TRE"
"72",2021-05-12,23,0,1,0,NA,"TRE"
"73",2021-05-13,0,0,NA,0,NA,"TRE"
"74",2021-05-13,1,0,NA,0,NA,"TRE"
"75",2021-05-13,2,0,1,0,NA,"TRE"
"76",2021-05-13,3,0,NA,0,NA,"TRE"
"77",2021-05-13,4,0,NA,0,NA,"TRE"
"78",2021-05-13,5,0,1,0,NA,"TRE"
