"","SiteID","Total_Vessels","Begin_Hour_loc","Begin_Date_loc","ves_yn","Weekday","Week","Month","Day_month","trans_inside","man_inside","total_inside"
"1","Cod Grounds",1,9,2019-04-17,"Y","Wednesday",16,4,17,NA,NA,NA
"2","Cod Grounds",0,10,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"3","Cod Grounds",0,11,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"4","Cod Grounds",0,12,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"5","Cod Grounds",1,13,2019-04-17,"Y","Wednesday",16,4,17,NA,NA,NA
"6","Cod Grounds",1,14,2019-04-17,"Y","Wednesday",16,4,17,NA,NA,NA
"7","Cod Grounds",0,15,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"8","Cod Grounds",0,16,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"9","Cod Grounds",1,17,2019-04-17,"Y","Wednesday",16,4,17,NA,NA,NA
"10","Cod Grounds",0,18,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"11","Cod Grounds",0,19,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"12","Cod Grounds",0,20,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"13","Cod Grounds",0,21,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"14","Cod Grounds",0,22,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"15","Cod Grounds",0,23,2019-04-17,"N","Wednesday",16,4,17,NA,NA,NA
"16","Cod Grounds",0,0,2019-04-18,"N","Thursday",16,4,18,NA,NA,NA
"17","Cod Grounds",0,1,2019-04-18,"N","Thursday",16,4,18,NA,NA,NA
"18","Cod Grounds",0,2,2019-04-18,"N","Thursday",16,4,18,NA,NA,NA
"19","Cod Grounds",0,3,2019-04-18,"N","Thursday",16,4,18,NA,NA,NA
"20","Cod Grounds",0,4,2019-04-18,"N","Thursday",16,4,18,NA,NA,NA
"21","Cod Grounds",0,5,2019-04-18,"N","Thursday",16,4,18,NA,NA,NA
"22","Cod Grounds",1,6,2019-04-18,"Y","Thursday",16,4,18,NA,NA,NA
"23","Cod Grounds",1,7,2019-04-18,"Y","Thursday",16,4,18,NA,NA,NA
"24","Cod Grounds",0,8,2019-04-18,"N","Thursday",16,4,18,NA,NA,NA
