SiteID,ves_yn,n_hours,name,Perc_per_hour
Cod Grounds,N,1274,freq,0.7792048929663609
Cod Grounds,Y,361,freq,0.22079510703363914
DNE,N,656,freq,0.8817204301075269
DNE,Y,88,freq,0.11827956989247312
EP,N,418,freq,0.8708333333333333
EP,Y,62,freq,0.12916666666666668
GEO,N,1593,freq,0.8094512195121951
GEO,Y,375,freq,0.19054878048780488
JNE,N,1327,freq,0.8506410256410256
JNE,Y,233,freq,0.14935897435897436
MRE,N,1233,freq,0.9983805668016195
MRE,Y,2,freq,0.0016194331983805667
NGN,N,1233,freq,0.9693396226415094
NGN,Y,39,freq,0.030660377358490566
SWC,N,1686,freq,0.8363095238095238
SWC,Y,330,freq,0.1636904761904762
TRW D1,N,1519,freq,0.821969696969697
TRW D1,Y,329,freq,0.17803030303030304
