Filename,Date,Selection,used,pins_sm,pins_med,pins_lg,pins_ovrll,Dep_ID,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Partial,Notes,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
470581301.200924054149_sel01_S2.wav,200924054149,S2,1,1,0.86046511627907,0,0.870860927152318,DAMPIER_202009_DNE,2020-09-24,2,Spectrogram 1,1,11794.291922076,13969.385081781,20.3,11589.1,2020-09-24,08:58:23,09:34:38,2175.0932,Maneuver,NA,NA,DNE,0.6041925555555555,2020-09-23T22:58:23Z,2020-09-23T22:58:23Z,6,2020-09-24,Thursday
470581301.201010003926_sel01_S2.wav,201010003926,S2,1,1,0.702985074626866,0,0.72551724137931,DAMPIER_202009_DNE,2020-10-10,2,Spectrogram 1,1,14378.540360727,16142.87576206,17.7,9695.8,2020-10-10,04:39:04,05:08:28,1764.3354,Maneuver,NA,NA,DNE,0.49009316666666664,2020-10-09T18:39:04Z,2020-10-09T18:39:04Z,2,2020-10-10,Saturday
470581301.200909113836_sel01_S2.wav,200909113836,S2,1,1,0.562653562653563,0,0.595913734392736,DAMPIER_202009_DNE,2020-09-09,2,Spectrogram 1,1,2410.248446713,4423.391288678,28.7,15834.6,2020-09-09,12:18:49,12:52:22,2013.1428,Maneuver,NA,"could also e deployment vessel, sn",DNE,0.5592063333333334,2020-09-09T02:18:49Z,2020-09-09T02:18:49Z,10,2020-09-09,Wednesday
470581301.200912054340_sel05_S2.wav,200912054340,S2,1,1,0.24684804246848,NA,0.315027157513579,DAMPIER_202009_DNE,2020-09-12,2,Spectrogram 1,1,30224.645952704,31148.683225336,81.136,10223.124,2020-09-12,14:07:24,14:22:48,924.0373,Maneuver,NA,NA,DNE,0.2566770277777778,2020-09-12T04:07:24Z,2020-09-12T04:07:24Z,12,2020-09-12,Saturday
470581301.200922054210_sel01_S2.wav,200922054210,S2,1,1,0.110501567398119,NA,0.31128640776699,DAMPIER_202009_DNE,2020-09-22,2,Spectrogram 1,1,77306.527942495,83566.614886969,20.3,5111.6,2020-09-23,03:10:32,04:54:52,6260.0869,Maneuver,NA,m at 3:37:20,DNE,1.7389130277777778,2020-09-22T17:10:32Z,2020-09-22T17:10:32Z,1,2020-09-23,Wednesday
470581301.200924054149_sel01_S3.wav,200924054149,S3,1,1,0.24684804246848,NA,0.315027157513579,DAMPIER_202009_DNE,2020-09-24,3,Spectrogram 1,1,15438.267071571,16480.925448486,35.5,11244.9,2020-09-24,09:59:07,10:16:29,1042.6584,Maneuver,NA,NA,DNE,0.28962733333333335,2020-09-23T23:59:07Z,2020-09-23T23:59:07Z,7,2020-09-24,Thursday
470581301.200929054104_sel01_S1.wav,200929054104,S1,1,1,0.28005657708628,0,0.339390006489293,DAMPIER_202009_DNE,2020-09-29,1,Spectrogram 1,1,22468.099370769,35597.366450673,86.1,7917.3,2020-09-29,11:55:30,15:34:20,13129.2671,Maneuver,NA,NA,DNE,3.6470186388888886,2020-09-29T01:55:30Z,2020-09-29T01:55:30Z,9,2020-09-29,Tuesday
470581301.201001054046_sel23_S10.wav,201001054046,S10,1,1,0.0240756663800516,NA,0.309190505173463,DAMPIER_202009_DNE,2020-10-01,10,Spectrogram 1,1,29439.762243421,29644.557156798,971.37,4907.975,2020-10-01,13:51:23,13:54:48,204.7949,Maneuver,NA,LTSA,DNE,0.05688747222222223,2020-10-01T03:51:23Z,2020-10-01T03:51:23Z,11,2020-10-01,Thursday
470581301.201009003935_sel01_S2.wav,201009003935,S2,1,0.831404958677686,0,NA,0.307081807081807,DAMPIER_202009_DNE,2020-10-09,2,Spectrogram 1,1,31331.863342016,32292.12421294,86.1,9122.1,2020-10-09,09:21:45,09:37:46,960.2609,Maneuver,NA,NA,DNE,0.2667391388888889,2020-10-08T23:21:45Z,2020-10-08T23:21:45Z,7,2020-10-09,Friday
470581301.201010003926_sel01_S1.wav,201010003926,S1,1,0.938775510204082,0,NA,0.308348567946374,DAMPIER_202009_DNE,2020-10-10,1,Spectrogram 1,1,8363.068313367,9779.031051152,35.9,7314.9,2020-10-10,02:58:49,03:22:25,1415.9627,Maneuver,NA,NA,DNE,0.39332297222222223,2020-10-09T16:58:49Z,2020-10-09T16:58:49Z,0,2020-10-10,Saturday
