"","Filename","Date","Selection","used","pins_sm","pins_med","pins_lg","pins_ovrll","Dep_ID"
"1","805355546.180703024438_sel03_S1.wav","180703024438","S1",1,1,0.696428571428571,0,0.780645161290323,"CGMP_201807_CG"
"2","805355546.180709024338_sel09_S2.wav","180709024338","S2",1,1,0.919191919191919,0,0.938461538461538,"CGMP_201807_CG"
"3","805355546.180711024316_sel09_S16.wav","180711024316","S16",1,1,1,1,1,"CGMP_201807_CG"
"4","805355546.180711024316_sel01_S4.wav","180711024316","S4",1,1,0.826923076923077,0,0.871428571428571,"CGMP_201807_CG"
"5","805355546.180711024316_sel07_S9.wav","180711024316","S9",1,1,1,0.483870967741935,1,"CGMP_201807_CG"
"6","805355546.180717024218_sel05_S16.wav","180717024218","S16",1,1,0.759259259259259,0,0.824324324324324,"CGMP_201807_CG"
"7","805355546.180717024218_sel08_S27.wav","180717024218","S27",1,1,0.4609375,0,0.634920634920635,"CGMP_201807_CG"
"8","805355546.180717024218_sel14_S32.wav","180717024218","S32",1,1,1,1,1,"CGMP_201807_CG"
"9","805355546.180719024201_sel02_S10.wav","180719024201","S10",1,1,1,1,1,"CGMP_201807_CG"
"10","805355546.180723024124_sel06_S12.wav","180723024124","S12",1,1,1,0.758620689655172,1,"CGMP_201807_CG"
"11","805355546.180723024124_sel10_S13.wav","180723024124","S13",1,1,1,0.65,1,"CGMP_201807_CG"
"12","805355546.180723024124_sel18_S20.wav","180723024124","S20",1,1,0.89,0,0.916666666666667,"CGMP_201807_CG"
"13","805355546.180723024124_sel02_S4.wav","180723024124","S4",1,1,1,0.476190476190476,1,"CGMP_201807_CG"
"14","805355546.180725024106_sel01_S23.wav","180725024106","S23",1,1,1,0.859649122807018,1,"CGMP_201807_CG"
"15","805355546.180725024106_sel07_S29.wav","180725024106","S29",1,1,1,0.910714285714286,1,"CGMP_201807_CG"
"16","805355546.180725024106_sel12_S31.wav","180725024106","S31",1,1,1,1,1,"CGMP_201807_CG"
"17","805355546.180727024048_sel02_S14.wav","180727024048","S14",1,1,0.9,0,0.924242424242424,"CGMP_201807_CG"
"18","805355546.180727024048_sel07_S19.wav","180727024048","S19",1,1,1,0.616666666666667,1,"CGMP_201807_CG"
"19","805355546.180727024048_sel12_S27.wav","180727024048","S27",1,1,1,1,1,"CGMP_201807_CG"
"20","805355546.180727024048_sel17_S31.wav","180727024048","S31",1,1,1,0.694915254237288,1,"CGMP_201807_CG"
"21","805355546.180802023946_sel05_S9.wav","180802023946","S9",1,1,0.96875,0,0.976190476190476,"CGMP_201807_CG"
"22","805355546.180705024418_sel02_S11.wav","180705024418","S11",1,1,1,1,1,"CGMP_201807_CG"
"23","805355546.180707024358_sel18_S10.wav","180707024358","S10",1,1,1,1,1,"CGMP_201807_CG"
"24","805355546.180707024358_sel12_S2.wav","180707024358","S2",1,1,1,1,1,"CGMP_201807_CG"
"25","805355546.180707024358_sel16_S9.wav","180707024358","S9",1,1,1,1,1,"CGMP_201807_CG"
"26","805355546.180711024316_sel06_S28.wav","180711024316","S28",1,1,1,1,1,"CGMP_201807_CG"
"27","805355546.180713024252_sel03_S3.wav","180713024252","S3",1,1,1,1,1,"CGMP_201807_CG"
"28","805355546.180715024234_sel04_S15.wav","180715024234","S15",1,1,1,0.212121212121212,1,"CGMP_201807_CG"
"29","805355546.180715024234_sel14_S31.wav","180715024234","S31",1,1,1,0.292307692307692,1,"CGMP_201807_CG"
"30","805355546.180717024218_sel02_S13.wav","180717024218","S13",1,1,0.380952380952381,NA,0.604060913705584,"CGMP_201807_CG"
"31","805355546.180717024218_sel04_S30.wav","180717024218","S30",1,1,1,0.104477611940299,1,"CGMP_201807_CG"
"32","805355546.180721024142_sel16_S2.wav","180721024142","S2",1,1,1,1,1,"CGMP_201807_CG"
"33","805355546.180731024008_sel02_S25.wav","180731024008","S25",1,1,0.0930232558139535,NA,0.587301587301587,"CGMP_201807_CG"
"34","805355546.180802023946_sel02_S26.wav","180802023946","S26",1,1,1,1,1,"CGMP_201807_CG"
"35","805355546.180705024418_sel05_S1.wav","180705024418","S1",1,1,0.938775510204082,0,0.953125,"CGMP_201807_CG"
"36","805355546.180705024418_sel09_S13.wav","180705024418","S13",1,1,0.370967741935484,NA,0.604060913705584,"CGMP_201807_CG"
"37","805355546.180707024358_sel01_S4.wav","180707024358","S4",1,1,1,0.257575757575758,1,"CGMP_201807_CG"
"38","805355546.180707024358_sel10_S6.wav","180707024358","S6",1,1,0.646551724137931,0,0.748466257668712,"CGMP_201807_CG"
"39","805355546.180711024316_sel08_S12.wav","180711024316","S12",1,1,0.25,NA,0.595854922279793,"CGMP_201807_CG"
"40","805355546.180711024316_sel14_S14.wav","180711024316","S14",1,1,0.591666666666667,0,0.711764705882353,"CGMP_201807_CG"
"41","805355546.180711024316_sel18_S20.wav","180711024316","S20",1,1,0.204081632653061,NA,0.59375,"CGMP_201807_CG"
"42","805355546.180711024316_sel01_S5.wav","180711024316","S5",1,1,0.416666666666667,0,0.609137055837564,"CGMP_201807_CG"
"43","805355546.180713024252_sel03_S7.wav","180713024252","S7",1,1,0.601694915254237,0,0.720238095238095,"CGMP_201807_CG"
"44","805355546.180715024234_sel10_S10.wav","180715024234","S10",1,1,0.277777777777778,NA,0.597938144329897,"CGMP_201807_CG"
"45","805355546.180715024234_sel26_S25.wav","180715024234","S25",1,1,0.419847328244275,0,0.612244897959184,"CGMP_201807_CG"
"46","805355546.180715024234_sel29_S27.wav","180715024234","S27",1,0.901785714285714,0,NA,0.543010752688172,"CGMP_201807_CG"
"47","805355546.180715024234_sel44_S32.wav","180715024234","S32",1,1,0.536585365853659,0,0.679775280898876,"CGMP_201807_CG"
"48","805355546.180715024234_sel53_S35.wav","180715024234","S35",1,1,0.395348837209302,NA,0.604060913705584,"CGMP_201807_CG"
"49","805355546.180715024234_sel55_S38.wav","180715024234","S38",1,1,0.35,NA,0.604060913705584,"CGMP_201807_CG"
"50","805355546.180715024234_sel01_S6.wav","180715024234","S6",1,1,0.365853658536585,NA,0.604060913705584,"CGMP_201807_CG"
"51","805355546.180717024218_sel13_S17.wav","180717024218","S17",1,1,0.271028037383178,NA,0.595854922279793,"CGMP_201807_CG"
"52","805355546.180717024218_sel21_S18.wav","180717024218","S18",1,1,1,0.0895522388059701,1,"CGMP_201807_CG"
