network,npz_id,Site_ID,Dep_ID,Dep,n_days,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,mean_per_day,mean_overall,Inside_transit,Inside_transit_small,n_ves_used_inout,prop_inside,total_outside,prop_inside_small,total_out_small
Northwest,DMP,DNE,202009,DAMPIER_202009_DNE,58,138,3,24,1,14,2.3793103448275863,0.10087719298245613,2,10,68,0.04411764705882353,65,0.35294117647058826,44
Northwest,DMP,DSW,202009,DAMPIER_202009_DSW,58,238,4,12,2,4,4.103448275862069,0.1739766081871345,2,8,57,0.07017543859649122,53,0.21052631578947367,45
Northwest,NMP,NGN,201909,NINGALOO_201909_NGN,55,40,1,22,0,0,0.7272727272727273,0.030864197530864196,1,22,31,0.03225806451612903,30,0.7096774193548387,9
Northwest,NMP,NGS,201909,NINGALOO_201909_NGS,56,86,3,72,2,2,1.5357142857142858,0.06515151515151515,1,70,78,0.038461538461538464,75,0.9230769230769231,6
South-west,GMP,GEO,202201,GEOGRAPHE_202201_GEO,91,575,1,29,0,20,6.318681318681318,0.2662037037037037,1,9,390,0.002564102564102564,389,0.07435897435897436,361
South-west,JMP,JNE,202201,JURIEN_202201_JNE,66,286,13,77,1,40,4.333333333333333,0.18333333333333332,12,37,234,0.05555555555555555,221,0.32905982905982906,157
South-west,JMP,JSE,202201,JURIEN_202201_JSE,40,139,8,30,2,10,3.475,0.1485042735042735,6,20,111,0.07207207207207207,103,0.2702702702702703,81
South-west,MMP,MRE,202002,MURAT_202002_MRE,86,2,0,0,0,0,0.023255813953488372,9.689922480620155e-4,0,0,2,0,2,0,2
South-west,MMP,MRW,202002,MURAT_202002_MRW,78,2,0,0,0,0,0.02564102564102564,0.0010683760683760685,0,0,2,0,2,0,2
South-west,SWCMP,SWS,202201,SWC_202201_SWS,85,343,0,0,0,0,4.035294117647059,0.1701388888888889,0,0,264,0,264,0,264
South-west,TRMP,TRE,202105,TWOROCKS_202105_TRE,78,589,29,137,25,119,7.551282051282051,0.31872294372294374,4,18,424,0.06839622641509434,395,0.3231132075471698,287
South-west,TRMP,TRW,202105,TWOROCKS_202105_TRW,86,520,32,190,27,153,6.046511627906977,0.2549019607843137,5,37,407,0.07862407862407862,375,0.4668304668304668,217
Temperate East,CGMP,CG,201807,CGMP_201807_CG,35,364,41,201,15,45,10.4,0.43333333333333335,26,156,208,0.1971153846153846,167,0.9663461538461539,7
Temperate East,CGMP,CG,201812,CGMP_201812_CG,71,395,33,188,22,65,5.563380281690141,0.2318075117370892,11,123,216,0.1527777777777778,183,0.8703703703703703,28
Temperate East,CGMP,CG,201904,CGMP_201904_CG,75,473,57,297,33,72,6.306666666666667,0.2627777777777778,24,225,326,0.17484662576687116,269,0.911042944785276,29
Temperate East,SIMP,EP,201808,SIMP_201808_EP,34,240,13,45,6,27,7.0588235294117645,0.29411764705882354,7,18,49,0.2653061224489796,36,0.9183673469387755,4
Temperate East,SIMP,EP,201812,SIMP_201812_EP,35,222,17,72,13,46,6.3428571428571425,0.2642857142857143,4,26,130,0.13076923076923078,113,0.5538461538461539,58
Temperate East,SIMP,EP,201906,SIMP_201906_EP,20,96,19,50,19,37,4.8,0.2,0,13,74,0.25675675675675674,55,0.6756756756756757,24
Temperate East,SIMP,WP,201808,SIMP_201808_WP,33,283,28,58,6,30,8.575757575757576,0.3573232323232323,22,28,63,0.4444444444444444,35,0.9206349206349206,5
Temperate East,SIMP,WP,201812,SIMP_201812_WP,35,221,25,91,17,34,6.314285714285714,0.2630952380952381,8,57,135,0.18518518518518517,110,0.674074074074074,44
Temperate East,SIMP,WP,201906,SIMP_201906_WP,61,247,56,146,49,80,4.049180327868853,0.1687158469945355,7,66,167,0.33532934131736525,111,0.874251497005988,21
