network,npz_id,Dep_ID,n_days,Total_ves_npz,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,mean_per_day,n_used_inout,mean_overall,Inside_transit,Inside_transit_small,total_outside,total_out_small,prop_inside,prop_inside_small,prop_maneuver,prop_maneuver_small
Northwest,DMP,202009,116,376,7,36,3,18,3.2413793103448274,125,0.13742690058479531,4,18,118,89,0.056,0.288,0.42857142857142855,0.5
Northwest,NMP,201909,111,126,4,94,2,2,1.135135135135135,109,0.0481651376146789,2,92,105,15,0.03669724770642202,0.8623853211009175,0.5,0.02127659574468085
South-west,GMP,202201,91,575,1,29,0,20,6.318681318681318,390,0.2662037037037037,1,9,389,361,0.002564102564102564,0.07435897435897436,0,0.6896551724137931
South-west,JMP,202201,106,425,21,107,3,50,4.009433962264151,345,0.1702724358974359,18,57,324,238,0.06086956521739131,0.3101449275362319,0.14285714285714285,0.4672897196261682
South-west,MMP,202002,164,4,0,0,0,0,0.024390243902439025,2,0.0010162601626016261,0,0,2,2,0,0,NA,NA
South-west,SWCMP,202201,85,343,0,0,0,0,4.035294117647059,264,0.1701388888888889,0,0,264,264,0,0,NA,NA
South-west,TRMP,202105,164,1109,61,327,52,272,6.762195121951219,831,0.2852366255144033,9,55,770,504,0.07340553549939831,0.3935018050541516,0.8524590163934426,0.8318042813455657
Temperate East,CGMP,201807,35,364,39,198,14,45,10.4,208,0.43333333333333335,25,153,169,10,0.1875,0.3142857142857143,0.358974358974359,0.22727272727272727
Temperate East,CGMP,201812,71,395,1,72,0,0,5.563380281690141,95,0.2318075117370892,1,72,94,23,0.010526315789473684,0.11428571428571428,0,0
Temperate East,CGMP,201904,75,473,52,294,31,72,6.306666666666667,327,0.2627777777777778,21,222,275,33,0.15902140672782875,0.4666666666666667,0.5961538461538461,0.24489795918367346
Temperate East,SIMP,201808,67,523,37,202,8,54,7.8059701492537314,265,0.3252487562189055,29,148,228,63,0.13962264150943396,0.2619974059662776,0.21621621621621623,0.26732673267326734
Temperate East,SIMP,201812,70,443,40,157,29,79,6.328571428571428,265,0.2636904761904762,11,78,225,108,0.1509433962264151,0.20363164721141375,0.725,0.5031847133757962
Temperate East,SIMP,201906,81,343,72,188,65,115,4.234567901234568,241,0.17644032921810698,7,73,169,53,0.2987551867219917,0.24383916990920881,0.9027777777777778,0.6117021276595744
