network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-14,F,2020-09-11,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-14,Sa,2020-09-12,3,0,1,0,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-14,Su,2020-09-13,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-14,Th,2020-09-10,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-14,T,2020-09-08,0,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-14,W,2020-09-09,3,0,1,0,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-21,F,2020-09-18,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-21,M,2020-09-14,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-21,Sa,2020-09-19,0,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-21,Su,2020-09-20,3,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-21,Th,2020-09-17,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-21,T,2020-09-15,4,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-21,W,2020-09-16,3,0,1,0,0,0,1
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-28,F,2020-09-25,4,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-28,M,2020-09-21,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-28,Sa,2020-09-26,2,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-28,Su,2020-09-27,4,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-28,Th,2020-09-24,6,1,2,1,2,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-28,T,2020-09-22,1,0,0,0,0,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-09-28,W,2020-09-23,3,0,1,0,1,0,0
Northwest,DMP,202009,DAMPIER_202009_DNE,2020-10-05,F,2020-10-02,1,0,0,0,0,0,0
