Site_ID,ves_yn,network,npz_id,Dep,Date_week,n_hours,name,Perc_per_hour
CG,N,Temperate East,CGMP,CGMP_201807_CG,2025-07-01,23,freq,0.9583333333333334
CG,N,Temperate East,CGMP,CGMP_201807_CG,2025-07-08,147,freq,0.875
CG,N,Temperate East,CGMP,CGMP_201807_CG,2025-07-15,126,freq,0.75
CG,N,Temperate East,CGMP,CGMP_201807_CG,2025-07-22,110,freq,0.6547619047619048
CG,N,Temperate East,CGMP,CGMP_201807_CG,2025-07-29,100,freq,0.5952380952380952
CG,N,Temperate East,CGMP,CGMP_201807_CG,2025-08-05,103,freq,0.7152777777777778
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-01-08,142,freq,0.8452380952380952
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-01-15,105,freq,0.625
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-01-22,137,freq,0.8154761904761905
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-01-29,127,freq,0.7559523809523809
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-02-05,146,freq,0.8690476190476191
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-02-12,118,freq,0.7023809523809523
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-02-19,147,freq,0.875
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-02-26,62,freq,0.8611111111111112
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-12-16,114,freq,0.95
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-12-23,130,freq,0.7738095238095238
CG,N,Temperate East,CGMP,CGMP_201812_CG,2025-12-30,149,freq,0.8869047619047619
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-04-15,96,freq,1
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-04-22,135,freq,0.8035714285714286
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-04-29,121,freq,0.7202380952380952
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-05-06,141,freq,0.8392857142857143
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-05-13,143,freq,0.8511904761904762
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-05-20,113,freq,0.6726190476190477
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-05-27,111,freq,0.6607142857142857
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-06-03,149,freq,0.8869047619047619
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-06-10,142,freq,0.8452380952380952
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-06-17,101,freq,0.6011904761904762
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-06-24,151,freq,0.8988095238095238
CG,N,Temperate East,CGMP,CGMP_201904_CG,2025-07-01,23,freq,0.9583333333333334
CG,Y,Temperate East,CGMP,CGMP_201807_CG,2025-07-01,1,freq,0.041666666666666664
CG,Y,Temperate East,CGMP,CGMP_201807_CG,2025-07-08,21,freq,0.125
CG,Y,Temperate East,CGMP,CGMP_201807_CG,2025-07-15,42,freq,0.25
CG,Y,Temperate East,CGMP,CGMP_201807_CG,2025-07-22,58,freq,0.34523809523809523
CG,Y,Temperate East,CGMP,CGMP_201807_CG,2025-07-29,68,freq,0.40476190476190477
