Dep,Weekday,ves_yn,network,npz_id,Site_ID,Date_noyr,Begin_Date_loc,n_hours,name,Perc_per_hour
CGMP_201807_CG,F,N,Temperate East,CGMP,CG,2000-07-06,2018-07-06,20,freq,0.8333333333333334
CGMP_201807_CG,F,N,Temperate East,CGMP,CG,2000-07-13,2018-07-13,18,freq,0.75
CGMP_201807_CG,F,N,Temperate East,CGMP,CG,2000-07-20,2018-07-20,23,freq,0.9583333333333334
CGMP_201807_CG,F,N,Temperate East,CGMP,CG,2000-07-27,2018-07-27,14,freq,0.5833333333333334
CGMP_201807_CG,F,N,Temperate East,CGMP,CG,2000-08-03,2018-08-03,22,freq,0.9166666666666666
CGMP_201807_CG,F,Y,Temperate East,CGMP,CG,2000-07-06,2018-07-06,4,freq,0.16666666666666666
CGMP_201807_CG,F,Y,Temperate East,CGMP,CG,2000-07-13,2018-07-13,6,freq,0.25
CGMP_201807_CG,F,Y,Temperate East,CGMP,CG,2000-07-20,2018-07-20,1,freq,0.041666666666666664
CGMP_201807_CG,F,Y,Temperate East,CGMP,CG,2000-07-27,2018-07-27,10,freq,0.4166666666666667
CGMP_201807_CG,F,Y,Temperate East,CGMP,CG,2000-08-03,2018-08-03,2,freq,0.08333333333333333
CGMP_201807_CG,M,N,Temperate East,CGMP,CG,2000-07-02,2018-07-02,24,freq,1
CGMP_201807_CG,M,N,Temperate East,CGMP,CG,2000-07-09,2018-07-09,22,freq,0.9166666666666666
CGMP_201807_CG,M,N,Temperate East,CGMP,CG,2000-07-16,2018-07-16,14,freq,0.5833333333333334
CGMP_201807_CG,M,N,Temperate East,CGMP,CG,2000-07-23,2018-07-23,13,freq,0.5416666666666666
CGMP_201807_CG,M,N,Temperate East,CGMP,CG,2000-07-30,2018-07-30,19,freq,0.7916666666666666
CGMP_201807_CG,M,Y,Temperate East,CGMP,CG,2000-07-09,2018-07-09,2,freq,0.08333333333333333
CGMP_201807_CG,M,Y,Temperate East,CGMP,CG,2000-07-16,2018-07-16,10,freq,0.4166666666666667
CGMP_201807_CG,M,Y,Temperate East,CGMP,CG,2000-07-23,2018-07-23,11,freq,0.4583333333333333
CGMP_201807_CG,M,Y,Temperate East,CGMP,CG,2000-07-30,2018-07-30,5,freq,0.20833333333333334
CGMP_201807_CG,Sa,N,Temperate East,CGMP,CG,2000-07-07,2018-07-07,20,freq,0.8333333333333334
CGMP_201807_CG,Sa,N,Temperate East,CGMP,CG,2000-07-14,2018-07-14,22,freq,0.9166666666666666
CGMP_201807_CG,Sa,N,Temperate East,CGMP,CG,2000-07-21,2018-07-21,18,freq,0.75
CGMP_201807_CG,Sa,N,Temperate East,CGMP,CG,2000-07-28,2018-07-28,10,freq,0.4166666666666667
CGMP_201807_CG,Sa,N,Temperate East,CGMP,CG,2000-08-04,2018-08-04,15,freq,0.625
CGMP_201807_CG,Sa,Y,Temperate East,CGMP,CG,2000-07-07,2018-07-07,4,freq,0.16666666666666666
CGMP_201807_CG,Sa,Y,Temperate East,CGMP,CG,2000-07-14,2018-07-14,2,freq,0.08333333333333333
CGMP_201807_CG,Sa,Y,Temperate East,CGMP,CG,2000-07-21,2018-07-21,6,freq,0.25
CGMP_201807_CG,Sa,Y,Temperate East,CGMP,CG,2000-07-28,2018-07-28,14,freq,0.5833333333333334
CGMP_201807_CG,Sa,Y,Temperate East,CGMP,CG,2000-08-04,2018-08-04,9,freq,0.375
CGMP_201807_CG,Su,N,Temperate East,CGMP,CG,2000-07-01,2018-07-01,23,freq,0.9583333333333334
CGMP_201807_CG,Su,N,Temperate East,CGMP,CG,2000-07-08,2018-07-08,20,freq,0.8333333333333334
CGMP_201807_CG,Su,N,Temperate East,CGMP,CG,2000-07-15,2018-07-15,12,freq,0.5
CGMP_201807_CG,Su,N,Temperate East,CGMP,CG,2000-07-22,2018-07-22,15,freq,0.625
CGMP_201807_CG,Su,N,Temperate East,CGMP,CG,2000-07-29,2018-07-29,21,freq,0.875
CGMP_201807_CG,Su,Y,Temperate East,CGMP,CG,2000-07-01,2018-07-01,1,freq,0.041666666666666664
CGMP_201807_CG,Su,Y,Temperate East,CGMP,CG,2000-07-08,2018-07-08,4,freq,0.16666666666666666
CGMP_201807_CG,Su,Y,Temperate East,CGMP,CG,2000-07-15,2018-07-15,12,freq,0.5
CGMP_201807_CG,Su,Y,Temperate East,CGMP,CG,2000-07-22,2018-07-22,9,freq,0.375
CGMP_201807_CG,Su,Y,Temperate East,CGMP,CG,2000-07-29,2018-07-29,3,freq,0.125
CGMP_201807_CG,R,N,Temperate East,CGMP,CG,2000-07-05,2018-07-05,18,freq,0.75
CGMP_201807_CG,R,N,Temperate East,CGMP,CG,2000-07-12,2018-07-12,13,freq,0.5416666666666666
CGMP_201807_CG,R,N,Temperate East,CGMP,CG,2000-07-19,2018-07-19,13,freq,0.5416666666666666
CGMP_201807_CG,R,N,Temperate East,CGMP,CG,2000-07-26,2018-07-26,11,freq,0.4583333333333333
CGMP_201807_CG,R,N,Temperate East,CGMP,CG,2000-08-02,2018-08-02,17,freq,0.7083333333333334
CGMP_201807_CG,R,Y,Temperate East,CGMP,CG,2000-07-05,2018-07-05,6,freq,0.25
CGMP_201807_CG,R,Y,Temperate East,CGMP,CG,2000-07-12,2018-07-12,11,freq,0.4583333333333333
CGMP_201807_CG,R,Y,Temperate East,CGMP,CG,2000-07-19,2018-07-19,11,freq,0.4583333333333333
CGMP_201807_CG,R,Y,Temperate East,CGMP,CG,2000-07-26,2018-07-26,13,freq,0.5416666666666666
CGMP_201807_CG,R,Y,Temperate East,CGMP,CG,2000-08-02,2018-08-02,7,freq,0.2916666666666667
CGMP_201807_CG,T,N,Temperate East,CGMP,CG,2000-07-03,2018-07-03,23,freq,0.9583333333333334
CGMP_201807_CG,T,N,Temperate East,CGMP,CG,2000-07-10,2018-07-10,23,freq,0.9583333333333334
